Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
25.07.2022;86,34;86,34;83,96;83,96;70;5.901
22.07.2022;87,26;87,26;87,26;87,26;0;0
21.07.2022;87,01;87,53;86,79;86,79;28;2.436
20.07.2022;84,4;84,4;84,3;84,3;15;1.265
19.07.2022;80,73;80,73;80,73;80,73;0;0
18.07.2022;80,91;81,8;80,91;81,7;380;31.083
15.07.2022;78,9;78,9;78,9;78,9;0;0
14.07.2022;77,02;77,02;77,02;77,02;0;0
13.07.2022;76,11;77,63;74,8;77,63;294;22.000
12.07.2022;76,31;76,31;75,33;75,33;29;2.185
11.07.2022;77,4;77,4;77,4;77,4;0;0
08.07.2022;77,6;77,6;77,28;77,28;200;15.456
07.07.2022;74,21;78,68;74,21;78,68;12;944
06.07.2022;72,9;73,62;72,9;72,95;25;1.830
05.07.2022;70,61;72,22;70,61;72,22;25;1.787
04.07.2022;70,17;70,17;69,87;69,87;250;17.468
01.07.2022;72,21;72,21;70,23;70,23;43;3.020
30.06.2022;73,61;74,51;73,61;74,32;26;1.935
29.06.2022;77,3;77,3;73,45;73,45;1.276;93.982
28.06.2022;81,53;81,53;81,53;81,53;0;0
27.06.2022;82,98;82,98;81,53;81,53;150;12.302
24.06.2022;79,19;79,19;79,19;79,19;0;0
23.06.2022;79,36;79,36;79,31;79,31;10;793
22.06.2022;79,36;79,36;79,36;79,36;0;0
21.06.2022;78,9;80,91;78,9;80,91;50;4.046
20.06.2022;78,29;78,29;78,29;78,29;0;0
17.06.2022;78,31;78,31;78,31;78,31;0;0
16.06.2022;85;85,89;77,15;77,15;45;3.493
15.06.2022;84,24;84,6;83,54;84,6;85;7.127
14.06.2022;84,99;85,3;84,24;84,24;79;6.686
13.06.2022;88,29;88,29;86,51;86,51;651;56.354
10.06.2022;94,49;94,49;89,97;89,97;5;450
09.06.2022;94,49;94,49;94,49;94,49;0;0
08.06.2022;98,12;98,12;94,36;94,36;180;16.985
07.06.2022;96,7;96,7;96,7;96,7;0;0
06.06.2022;100,08;101,42;98,75;99,35;37;3.722
03.06.2022;101,3;101,3;100,78;100,78;80;8.062
02.06.2022;94,7;101,7;94,7;101,7;33;3.356
01.06.2022;95,2;95,2;93,98;93,98;6;564
31.05.2022;96,27;96,94;95,12;96,94;51;4.880
30.05.2022;96,11;96,11;96,11;96,11;0;0
27.05.2022;92,05;92,2;92,05;92,2;50;4.610
26.05.2022;84,5;91,94;84,5;91,94;20;1.839
25.05.2022;86,34;86,34;84,5;84,5;1;85
24.05.2022;86,99;86,99;86,99;86,99;0;0
23.05.2022;89,21;89,21;89,21;89,21;0;0
20.05.2022;93,29;93,29;84,99;84,99;306;27.747
19.05.2022;90,5;94,24;89,52;94,24;454;40.921
18.05.2022;97,17;97,17;92,27;92,27;214;20.252
17.05.2022;91,31;97,17;91,31;97,17;42;4.021
16.05.2022;91,18;93;91,18;93;120;11.160
13.05.2022;85,78;91,18;85,78;91,18;58;5.194
12.05.2022;83,57;83,69;80,95;80,95;658;54.288
11.05.2022;84,61;86,77;82,71;86,77;247;20.433
10.05.2022;82,66;83,14;82,66;83,14;22;1.829
09.05.2022;89,99;89,99;82,66;82,66;600;49.979
06.05.2022;89,49;91,58;89,49;91,58;160;14.632
05.05.2022;93,69;93,69;89,24;91,43;202;18.191
04.05.2022;92,42;93,26;91,9;93,26;31;2.871
03.05.2022;86,56;86,56;85,67;85,67;10;857
02.05.2022;82,21;82,21;81,35;81,44;800;65.094
29.04.2022;83,81;83,81;83,81;83,81;0;0
28.04.2022;82,7;82,7;82,7;82,7;0;0
27.04.2022;80,39;80,39;80,39;80,39;0;0
26.04.2022;84,91;84,91;84,91;84,91;0;0
25.04.2022;81,11;84,19;81,11;84,19;18;1.506
22.04.2022;82,72;83,79;82,41;83,79;28;2.327
21.04.2022;87,21;87,21;86,65;86,65;61;5.286
20.04.2022;88,57;90;86,5;86,5;38;3.325
19.04.2022;88,21;88,57;88,21;88,57;13;1.151
14.04.2022;90,07;90,07;90,07;90,07;0;0
13.04.2022;88,71;88,71;88,71;88,71;0;0
12.04.2022;89,22;89,4;87,52;87,79;340;29.776
11.04.2022;92,44;92,44;92,28;92,28;112;10.351
08.04.2022;95,73;95,73;92,69;92,69;25;2.324
07.04.2022;94,45;95,87;94,45;94,98;253;24.202
06.04.2022;97,86;98,53;93,53;95,29;175;16.927
05.04.2022;100,78;101,1;100,52;100,52;58;5.835
04.04.2022;98,4;98,4;98,4;98,4;0;0
01.04.2022;99,89;99,98;96,96;96,96;181;18.056
31.03.2022;106,46;106,46;98,73;99,95;219;22.008
30.03.2022;111,22;111,22;108,34;108,34;339;37.021
29.03.2022;109,22;111,22;109,22;111,22;17;1.873
28.03.2022;108,5;108,5;107,36;107,36;131;14.110
25.03.2022;109,12;109,12;108,2;108,2;1;108
24.03.2022;104,5;108,5;104,5;108,5;50;5.425
23.03.2022;104,18;104,18;104,02;104,02;30;3.121
22.03.2022;104,82;105,3;104,44;104,44;30;3.150
21.03.2022;102,88;103,04;102,52;103,04;113;11.591
18.03.2022;99,92;100,36;99,92;100,36;39;3.914
17.03.2022;104,54;104,54;101,14;101,14;10;1.011
16.03.2022;100,64;104,5;100,64;104,5;3;314
15.03.2022;93,73;99;93,73;99;40;3.960
14.03.2022;96,25;96,25;96,25;96,25;0;0
11.03.2022;96,31;98,44;96,31;96,76;175;17.093
10.03.2022;100,22;100,22;96,24;96,24;48;4.634
09.03.2022;98,6;99,26;97,87;99,26;520;51.587
08.03.2022;93,6;98,2;93,6;98,2;56;5.474
07.03.2022;98,47;98,48;95,18;95,18;252;24.298
04.03.2022;100,54;101,04;98,61;98,61;106;10.606
03.03.2022;105,92;106,26;103,48;103,48;40;4.195
02.03.2022;103,1;105,92;102,96;105,92;440;45.400
01.03.2022;110,02;111,1;102,7;102,7;227;24.653
28.02.2022;104,38;108,5;104,38;108,04;642;68.749
25.02.2022;104;104,26;104;104,26;2.300;239.798
24.02.2022;93,3;94,49;91,69;93,13;1.130;104.677
23.02.2022;103,18;103,18;102,2;102,2;172;17.578
22.02.2022;95;100,5;95;100,5;816;79.256
21.02.2022;100,52;100,52;92,91;92,91;563;53.159
18.02.2022;100,04;100,04;99,33;99,33;11;1.093
17.02.2022;102,28;102,28;100,04;100,04;13;1.301
16.02.2022;106,12;106,6;100,52;102,96;129;13.328
15.02.2022;101,48;105,72;101,48;105,72;1.254;131.470
14.02.2022;98,51;103,66;98,01;102;612;60.727
11.02.2022;108,96;108,96;104,32;104,36;8;837
10.02.2022;115,72;115,84;111,32;111,32;251;28.805
09.02.2022;112,62;114,04;112,62;114,04;143;16.303
08.02.2022;108,68;111,5;107,96;110,8;94;10.251
07.02.2022;109,12;109,12;107,68;108,92;395;42.793
04.02.2022;107,7;107,7;105,02;105,02;7;735
03.02.2022;105,98;109,16;105,14;105,14;197;21.163
02.02.2022;115,12;116,14;107,42;108,62;1.000;113.300
01.02.2022;103,3;103,3;100,78;101,94;150;15.251
31.01.2022;95;100,42;94,94;99,41;1.327;130.122
28.01.2022;93,2;93,58;89,95;93,58;397;35.980
27.01.2022;98,36;100,2;92,77;92,77;218;20.654
26.01.2022;98,7;103,34;98,7;99,46;82;8.275
25.01.2022;100,5;100,5;97,85;97,85;304;30.166
24.01.2022;104,6;104,76;97,22;100,74;971;99.753
21.01.2022;105,5;110,06;105,5;107,32;124;13.521
20.01.2022;114,2;114,2;109,22;109,28;172;19.162
19.01.2022;116,18;117,46;115,52;115,52;149;17.331
18.01.2022;118,58;118,58;118,58;118,58;0;0
17.01.2022;119,12;119,18;118,42;119,18;105;12.438
14.01.2022;116,2;119,44;116,2;118,02;282;33.182
13.01.2022;120,18;120,18;120,18;120,18;0;0
12.01.2022;122,4;122,4;120,24;120,24;94;11.432
11.01.2022;117,22;121,84;117,22;121,84;27;3.235
10.01.2022;117,04;117,28;111,22;113,46;537;60.724
07.01.2022;121,54;121,96;120,98;120,98;81;9.800
06.01.2022;119,98;120,56;117,14;119,4;340;40.788
05.01.2022;126,48;126,94;120,38;120,38;27;3.296
04.01.2022;133,54;134,16;125,2;125,2;174;22.900
03.01.2022;128,98;128,98;127,9;128,3;170;21.829
30.12.2021;130,44;130,66;130,44;130,66;170;22.212
29.12.2021;136,04;136,94;132,34;132,48;399;53.552
28.12.2021;136,34;138,04;134,24;134,24;63;8.494
27.12.2021;130,58;136,62;130,2;136,34;594;80.017
23.12.2021;127,24;130,72;127,24;129,92;92;11.944
22.12.2021;127,34;127,52;127,34;127,52;8;1.020
21.12.2021;123,34;126,48;122,22;126,48;221;27.136
20.12.2021;121,38;121,38;119,58;120,28;120;14.364
17.12.2021;121,56;124,94;120,14;124,94;296;36.579
16.12.2021;130,74;130,74;122,8;122,8;477;59.718
15.12.2021;120,04;124,62;118,88;124,62;404;49.461
14.12.2021;118,78;118,78;116,48;117,84;620;73.441
13.12.2021;123,18;123,8;118,26;119,7;217;26.329
10.12.2021;122,52;122,52;120,5;120,5;20;2.410
09.12.2021;127,6;127,6;122,52;122,52;140;17.506
08.12.2021;129,46;129,46;127,6;127,6;30;3.838
07.12.2021;124,24;129,46;124,24;129,46;51;6.396
06.12.2021;127,92;127,92;120,32;123,2;125;15.270
03.12.2021;132,72;132,78;124,82;125,76;282;35.915
02.12.2021;133,3;133,38;131,54;133,38;222;29.338
01.12.2021;142,04;142,04;133,02;133,02;413;56.653
30.11.2021;142,44;144,3;138,46;139,2;168;23.575
29.11.2021;138,48;142,18;138,48;142,18;309;43.536
26.11.2021;139,54;139,58;135,64;138,42;352;48.710
25.11.2021;141,66;141,94;140,54;140,54;442;62.531
24.11.2021;133,34;138,46;132,94;138,4;343;45.973
23.11.2021;135,56;135,56;133,54;135;181;24.246
22.11.2021;138,66;141;136,56;137;549;76.771
19.11.2021;137,46;138,66;137,06;138,66;290;40.010
18.11.2021;134,82;138,72;134,82;138,12;89;12.215
17.11.2021;134,74;135,04;134,22;134,44;203;27.312
16.11.2021;128,24;133,9;128,24;132,98;745;99.162
15.11.2021;129,88;129,88;126,76;126,76;396;51.060
12.11.2021;129,06;129,56;126,78;128,9;279;35.926
11.11.2021;123,16;124,24;123,06;124,24;212;26.103
10.11.2021;127,38;127,38;122,6;126,52;18;2.228
09.11.2021;130,66;132,86;125,52;127,54;594;76.856
08.11.2021;118,26;131,38;118,04;130,5;490;60.595
05.11.2021;119,22;121,18;116,78;117,74;381;45.220
04.11.2021;112,62;117,98;112,62;117,92;453;52.530
03.11.2021;110,44;111,86;110,22;111,86;190;21.154
02.11.2021;107,42;110,28;107,42;109,66;587;64.130
01.11.2021;104,18;106,28;104,18;106,28;247;26.201
29.10.2021;103,5;104,26;103,5;104,12;114;11.880
28.10.2021;106,88;106,88;104,38;104,38;5;522
27.10.2021;105,66;109,64;105,66;106,94;1.105;118.076
26.10.2021;106,02;109,12;106,02;107,4;525;56.506
25.10.2021;103,06;103,06;102,98;102,98;2;206
22.10.2021;103,24;104,56;103,06;103,06;70;7.293
