Name,Data,News,Evaluation
BIOGEN IDEC Inc.,02/05/2023,"Worldwide Hemophilia Treatment Industry to 2030 - by Product, Hemophilia Type and Region",still open
BIOGEN IDEC Inc.,02/05/2023,Biogen Inc. Agrees to Pay $900 Million to Settle Allegations Related ...,still open
BIOGEN IDEC Inc.,02/05/2023,Company,still open
BIOGEN IDEC Inc.,02/05/2023,Biosimilars Market Size is Anticipated to Witness Massive Growth ...,still open
BIOGEN IDEC Inc.,02/05/2023,Biogen agrees to $900 million drug kickback settlement on eve of trial,still open
BIOGEN IDEC Inc.,02/05/2023,A Hefty Speaking Fee: Biogen Inc. Agrees to Settle False Claims Act ...,still open
BIOGEN IDEC Inc.,02/05/2023,Oncology Biosimilars Market Future Business Opportunities 2023 ...,still open
BIOGEN IDEC Inc.,02/05/2023,Biogen Settlement Summary | Sheppard Mullin Richter & Hampton ...,still open
BIOGEN IDEC Inc.,02/05/2023,Biosimilars,still open
BIOGEN IDEC Inc.,02/05/2023,Environment,still open
BIOGEN IDEC Inc.,02/05/2023,Students & Graduates,still open
BIOGEN IDEC Inc.,02/05/2023,Biogen International,still open
BIOGEN IDEC Inc.,02/05/2023,"Biogen, having scrapped Aduhelm, tries to convince investors of ...",still open
BIOGEN IDEC Inc.,02/05/2023,Biogen Agrees To Pay $22 Million To Resolve Alleged False Claims ...,still open
BIOGEN IDEC Inc.,02/05/2023,Chronic Lymphocytic Leukemia Therapeutics Market Recovery and ...,still open
BIOGEN IDEC Inc.,02/05/2023,Interferon Beta Drugs Market Top Players Business Value Stated US ...,still open
BIOGEN IDEC Inc.,02/05/2023,Why Biogen's Alzheimer's drug Aduhelm is so controversial,still open
BIOGEN IDEC Inc.,02/05/2023,"Biogen Idec, Inc. v. GlaxoSmithKline LLC (Fed. Cir. 2013)",still open
BIOGEN IDEC Inc.,02/05/2023,BIIB Stock - Biogen Stock Price - NASDAQ,still open
BIOGEN IDEC Inc.,02/05/2023,Report: Biogen Eyes Massive Layoffs in Wake of Disappointing ...,still open
BIOGEN IDEC Inc.,02/05/2023,Biogen Idec's Rebranding Includes New Focus on ALS,still open
BIOGEN IDEC Inc.,02/05/2023,Will Biogen Stock Rise After The Recent 6% Fall?,still open
BIOGEN IDEC Inc.,02/05/2023,Biogen's roller coaster 2021 takes another surprising turn with report ...,still open
BIOGEN IDEC Inc.,02/05/2023,Worldwide Hemophilia Treatment Industry to 2030 - by Product ...,still open
BIOGEN IDEC Inc.,02/05/2023,Exclusive: Biogen prices hemophilia drug on par with older therapies,still open
BIOGEN IDEC Inc.,02/05/2023,"Biogen Idec: A Great Company, But Not An Alpha Opportunity ...",still open
BIOGEN IDEC Inc.,02/05/2023,"Classen Immunotherapies, Inc. v. Biogen IDEC (Fed. Cir. 2011)",still open
BIOGEN IDEC Inc.,02/05/2023,Chutes & Ladders—BIO CEO resigns amid reports of dissent within ...,still open
BIOGEN IDEC Inc.,02/05/2023,"Movers & Shakers, March 11 | BioSpace",still open
BIOGEN IDEC Inc.,02/05/2023,Biogen Idec provides coach commuting for suburban workers,still open
BIOGEN IDEC Inc.,02/05/2023,Manufacturing and Quality Advisory Board,still open
BIOGEN IDEC Inc.,02/05/2023,Biogen Lou Gehrig's disease drug fails in key trial,still open
BIOGEN IDEC Inc.,02/05/2023,Biogen not pursuing a sale: source,still open
BIOGEN IDEC Inc.,02/05/2023,Biogen Idec Snaps Up Convergence for Up-to-$675M,still open
BIOGEN IDEC Inc.,02/05/2023,GV20 Therapeutics Announces Appointment of Three Advisers,still open
BIOGEN IDEC Inc.,02/05/2023,Agios scores Biogen CFO as board member - Boston Business ...,still open
BIOGEN IDEC Inc.,02/05/2023,Some Biogen Idec employees are taking the `disco bus’ to work in Cambridge,still open
BIOGEN IDEC Inc.,02/05/2023,Biogen Idec and Genentech Tweak Anti-CD20 Alliance to Prevent ...,still open
BIOGEN IDEC Inc.,02/05/2023,FDA approves new Biogen MS drug,still open
BIOGEN IDEC Inc.,02/05/2023,Biogen confirms HQ move to Weston - Boston Business Journal,still open
BIOGEN IDEC Inc.,02/05/2023,FDA approves Biogen Idec’s multiple sclerosis drug,still open
BIOGEN IDEC Inc.,02/05/2023,Biogen Idec's Tecfidera,still open
BIOGEN IDEC Inc.,02/05/2023,Subcutaneous Biologics Market Market to See Huge Growth by ...,still open
BIOGEN IDEC Inc.,02/05/2023,How Biogen Makes Money: Treatments for Neurological Disorders,still open
