Name,Data,News,Evaluation
Brenntag,02/05/2023,Brenntag : announces partnership with project44 to enable transport visibility for all Brenntag shipments globally,still open
Brenntag,02/05/2023,Brenntag SE Appoints Michael Friede To Management Board,still open
Brenntag,02/05/2023,"Brenntag Stock: Moderate, Above-GDP Growth (OTCPK:BNTGF ...",still open
Brenntag,02/05/2023,Are Strong Financial Prospects The Force That Is Driving The ...,still open
Brenntag,02/05/2023,Brenntag : achieves with platinum the highest possible status in the EcoVadis sustainability assessment,still open
Brenntag,02/05/2023,BofA downgrades Brenntag to 'Neutral' and target to 73 euros,still open
Brenntag,02/05/2023,BRENNTAG : Goldman Sachs raises to Buy from Sell,still open
Brenntag,02/05/2023,Brenntag ends talks over Univar acquisition,still open
Brenntag,02/05/2023,Corpus Christi Water Permanganate Supply Update | City of Corpus ...,still open
Brenntag,02/05/2023,"Third-Party Chemical Distribution Market Size, Share – Forecast Till ...",still open
Brenntag,02/05/2023,Private equity takeout of Univar could come at $40/share or higher ...,still open
Brenntag,02/05/2023,Mayar Capital Q4 2022 Letter To Partners,still open
Brenntag,02/05/2023,Pea Starch Market worth $211 million by 2027 - Exclusive Report by MarketsandMarkets™,still open
Brenntag,02/05/2023,Germany's Brenntag ends takeover talks with U.S. rival Univar,still open
Brenntag,02/05/2023,"With a CAGR of 5.6%, Chemical Distribution Market to reach $411.81 Bn By 2030, Reports Insights",still open
Brenntag,02/05/2023,Brenntag shareholder PrimeStone calls for end to Univar takeover ...,still open
Brenntag,02/05/2023,Brenntag Is Said to Explore Takeover of Chemicals Rival Univar,still open
Brenntag,02/05/2023,Hackers Made $70m From Top 10 Ransomware Attacks,still open
Brenntag,02/05/2023,"Germany's Brenntag eyes North American market, doubles M&A ...",still open
Brenntag,02/05/2023,Univar Solutions to Acquire Kale Kimya,still open
Brenntag,02/05/2023,"HR TECH COMPANY, FIRST30, LINKS IMPRINTING TO ONBOARDING FOR EMPLOYEE RETENTION",still open
Brenntag,02/05/2023,Brenntag: Trading At A 10% FCF Yield And Pursuing M&A ...,still open
Brenntag,02/05/2023,Univar Solutions Confirms End to Preliminary Discussions with ...,still open
Brenntag,02/05/2023,European stocks lower; Brenntag slumps over acquisition talk,still open
Brenntag,02/05/2023,Brenntag to distribute MycoTechnology ingredients across Europe,still open
Brenntag,02/05/2023,Brenntag Expands Its Brazil Facilities to Serve Coatings Industry,still open
Brenntag,02/05/2023,Brenntag discussing possible acquisition of Univar,still open
Brenntag,02/05/2023,Brenntag Acquires Prime Surfactants Limited,still open
Brenntag,02/05/2023,Brenntag Acquires The Life Science Business From Ravenswood,still open
Brenntag,02/05/2023,European Stocks Close Lower After Cautious Session,still open
Brenntag,02/05/2023,Univar Solutions And Brenntag SE: Mega-Merger Is Likely ...,still open
Brenntag,02/05/2023,Vaccine Adjuvants Market is Booming with a Large Industrial Scope ...,still open
Brenntag,02/05/2023,Here's Why Brenntag (ETR:BNR) Can Manage Its Debt Responsibly,still open
Brenntag,02/05/2023,Do Brenntag's (ETR:BNR) Earnings Warrant Your Attention?,still open
Brenntag,02/05/2023,Brenntag's (ETR:BNR) Returns Have Hit A Wall,still open
Brenntag,02/05/2023,In the wake of Brenntag SE's (ETR:BNR) latest €312m market cap ...,still open
Brenntag,02/05/2023,Nouryon Enters Into Exclusive Agreement With Brenntag Specialties,still open
Brenntag,02/05/2023,"European Stocks Close Higher After ECB, BoE Announce Rate ...",still open
Brenntag,02/05/2023,Brenntag SE (BNTGF) Q3 2022 Earnings Call Transcript,still open
Brenntag,02/05/2023,White & Case advises Brenntag on €390 million/US$250 million ...,still open
Brenntag,02/05/2023,Declining Stock and Solid Fundamentals: Is The Market Wrong About Brenntag SE (ETR:BNR)?,still open
Brenntag,02/05/2023,Acquisitions for Brenntag in Australia and USA,still open
Brenntag,02/05/2023,Brenntag SE (BNTGF) CEO Christian Kohlpaintner on Q2 2022 ...,still open
Brenntag,02/05/2023,Is There An Opportunity With Brenntag SE's (ETR:BNR) 30% Undervaluation?,still open
Brenntag,02/05/2023,"Brenntag : acquires Tech Management (dba), building one of the largest platforms for energy business solutions in North America",still open
Brenntag,02/05/2023,Chinese business activity rebounds in January after COVID pivot - PMI,still open
Brenntag,02/05/2023,"Hedge fund Engine Capital urges Univar to consider sale, other ...",still open
Brenntag,02/05/2023,Brenntag has opened a new production and warehouse facility in ...,still open
Brenntag,02/05/2023,EPCA '22: Europe chemicals orders size shrinks as price concerns ...,still open
Brenntag,02/05/2023,"Sephora Sued Over 'Clean Beauty' Claims, Brenntag Targets Univar ...",still open
Brenntag,02/05/2023,Brenntag tops ICIS Top 100 Chemical Distributors global ranking,still open
Brenntag,02/05/2023,Fresh Baked Products Market Current Status and Future Prospects ...,still open
Brenntag,02/05/2023,Brenntag has presented the renovation and expansion of its facilities ...,still open
Brenntag,02/05/2023,Brenntag achieved record results in financial year 2021 which was ...,still open
Brenntag,02/05/2023,Workers at Winnipeg's Brenntag Canada Inc. Vote to Join the United ...,still open
Brenntag,02/05/2023,"Brenntag Opens Innovation Center At Duisburg, Germany Site",still open
Brenntag,02/05/2023,Animal Component Free Supplement Market Size and Forecast to ...,still open
Brenntag,02/05/2023,"Preservatives Market Size, Share, Growth Statistics By Top Key ...",still open
Brenntag,02/05/2023,Brenntag Specialties at in-cosmetics global,still open
Brenntag,02/05/2023,Global Durable Goods Merchant Wholesalers Market 2022 to 2031 ...,still open
Brenntag,02/05/2023,Brenntag enters the market in Israel with a acquisition of specialty ...,still open
Brenntag,02/05/2023,Chemical distributor pays $4.4 million to DarkSide ransomware,still open
Brenntag,02/05/2023,Brenntag SE (OTCMKTS:BNTGY) short interest falls by 96.3%.,still open
Brenntag,02/05/2023,Brenntag enters Israeli market with YS Ashkenazi purchase,still open
Brenntag,02/05/2023,Brenntag opens Innovation Center at its site in Duisburg,still open
