Name,Data,News,Evaluation
C. H. Robinson Worldwide,02/05/2023,Freight Broker C.H. Robinson Digs in Against Activist Investor,still open
C. H. Robinson Worldwide,02/05/2023,"C.H. Robinson Worldwide, Inc. (NASDAQ:CHRW) Q4 2022 Earnings Call Transcript",still open
C. H. Robinson Worldwide,02/05/2023,C.H. Robinson misses profit estimates as freight prices fall,still open
C. H. Robinson Worldwide,02/05/2023,"C.H. Robinson Worldwide, Inc. 2022 Q4 - Results - Earnings Call ...",still open
C. H. Robinson Worldwide,02/05/2023,Is C.H. Robinson Worldwide (NASDAQ:CHRW) Using Too Much Debt?,still open
C. H. Robinson Worldwide,02/05/2023,A Look At C.H. Robinson's Future In The Truck Brokerage Industry,still open
C. H. Robinson Worldwide,02/05/2023,"JPMorgan Adjusts Price Target on CH Robinson Worldwide to $87 From $90, Maintains Neutral Rating",still open
C. H. Robinson Worldwide,02/05/2023,C.H. Robinson Reaches Standstill Agreement With Activist Investor,still open
C. H. Robinson Worldwide,02/05/2023,"C.H. Robinson (CHRW) Q4 Earnings & Revenues Lag, Down Y/Y",still open
C. H. Robinson Worldwide,02/05/2023,KBC Group NV Boosts Stock Position in C.H. Robinson Worldwide ...,still open
C. H. Robinson Worldwide,02/05/2023,C.H. Robinson Is A Gift Near Its 52-Week Low (NASDAQ:CHRW),still open
C. H. Robinson Worldwide,02/05/2023,"C.H. Robinson Worldwide Inc. stock rises Friday, still underperforms market",still open
C. H. Robinson Worldwide,02/05/2023,C.H. Robinson Worldwide Inc. stock underperforms Thursday when compared to competitors,still open
C. H. Robinson Worldwide,02/05/2023,Susquehanna Maintains Neutral on C.H. Robinson Worldwide ...,still open
C. H. Robinson Worldwide,02/05/2023,C.H. Robinson: Q4 Earnings Snapshot,still open
C. H. Robinson Worldwide,02/05/2023,C. H. Robinson Worldwide Misses Q4 EPS by 33c By Investing.com,still open
C. H. Robinson Worldwide,02/05/2023,"""We're increasing our focus on delivering a scalable operating ...",still open
C. H. Robinson Worldwide,02/05/2023,"KeyCorp Weighs in on C.H. Robinson Worldwide, Inc.'s FY2022 ...",still open
C. H. Robinson Worldwide,02/05/2023,"JP Morgan Maintains Neutral on C.H. Robinson Worldwide, Lowers ...",still open
C. H. Robinson Worldwide,02/05/2023,"Evercore ISI Adjusts Price Target on CH Robinson Worldwide to $92 From $96, Maintains In-Line Rating",still open
C. H. Robinson Worldwide,02/05/2023,"C. H. ROBINSON WORLDWIDE, INC. : Entry into a Material Definitive Agreement, Financial Statements and Exhibits (form 8-K)",still open
C. H. Robinson Worldwide,02/05/2023,DekaBank Deutsche Girozentrale Purchases 28207 Shares of C.H. ...,still open
C. H. Robinson Worldwide,02/05/2023,"10 Industrials Stocks Whale Activity In Today's Session - C.H. Robinson Worldwide (NASDAQ:CHRW), Yellow (",still open
C. H. Robinson Worldwide,02/05/2023,Speece Thorson Capital Group Inc. Increases Its Holdings in C.H. ...,still open
C. H. Robinson Worldwide,02/05/2023,Speece Thorson Capital Group Inc. Boosts Stake in C.H. Robinson ...,still open
C. H. Robinson Worldwide,02/05/2023,3 New Dividend Aristocrats for 2023 -- And Your Portfolio,still open
C. H. Robinson Worldwide,02/05/2023,Business People: Schulze Foundation gives $4M to Children’s Minnesota for new MRI unit,still open
C. H. Robinson Worldwide,02/05/2023,Fourth Party Logistics Market 2022 by Keyplayers and Vendors:C.H ...,still open
C. H. Robinson Worldwide,02/05/2023,FedEx to cut senior jobs as part of larger staff reduction,still open
C. H. Robinson Worldwide,02/05/2023,Exclusive: Ancora Holdings urges Green Plains to put itself up for ...,still open
C. H. Robinson Worldwide,02/05/2023,"Uber Freight laying off 150, about 3% of workforce",still open
C. H. Robinson Worldwide,02/05/2023,"The Global Freight Transport Market size is expected to reach $57.1 billion by 2028, rising at a market growth of 10.8% CAGR during the forecast period",still open
C. H. Robinson Worldwide,02/05/2023,"Dow futures flat as Fed hikes 0.25%, Meta surges 19.4% after results",still open
C. H. Robinson Worldwide,02/05/2023,Canadian Pacific (CP) Q4 Earnings Top Estimates,still open
C. H. Robinson Worldwide,02/05/2023,C.H. Robinson Cuts 650 Jobs Amid Changing Market,still open
C. H. Robinson Worldwide,02/05/2023,"The Global Freight Logistics Market is forecast to grow by $319.65 mn during 2022-2027, accelerating at a CAGR of 5.74% during the forecast period",still open
C. H. Robinson Worldwide,02/05/2023,"Freight Transportation Management System Market is set to Fly High Growth in Years to Come | JDA Software, Cev",still open
C. H. Robinson Worldwide,02/05/2023,Freight Forwarder Flexport Is Laying Off 20% of Its Workforce,still open
C. H. Robinson Worldwide,02/05/2023,Freight Broker C.H. Robinson Ousts CEO Bob Biesterfeld,still open
C. H. Robinson Worldwide,02/05/2023,The week in GRC: Powell says Fed won't get involved in climate ...,still open
C. H. Robinson Worldwide,02/05/2023,"Beat the Market the Zacks Way: NVIDIA, Bilibili, Novo Nordisk in Focus",still open
C. H. Robinson Worldwide,02/05/2023,Bear of the Day: C.H. Robinson Worldwide (CHRW),still open
C. H. Robinson Worldwide,02/05/2023,"Why You Might Be Interested In C.H. Robinson Worldwide, Inc. (NASDAQ:CHRW) For Its Upcoming Dividend",still open
C. H. Robinson Worldwide,02/05/2023,"Target, 3M are top Minnesota companies on Fortune 'Most Admired' list",still open
C. H. Robinson Worldwide,02/05/2023,"If EPS Growth Is Important To You, C.H. Robinson Worldwide ...",still open
C. H. Robinson Worldwide,02/05/2023,"Uber Freight laying off 150, about 3% of workforce",still open
