Name,Data,News,Evaluation
Federated Investors Inc.,02/05/2023,"Federated Hermes, Inc. reports fourth quarter and full-year 2022 ...",still open
Federated Investors Inc.,02/05/2023,"Federated Hermes, Inc. (NYSE:FHI) Q4 2022 Earnings Call Transcript",still open
Federated Investors Inc.,02/05/2023,"Transcript : Federated Hermes, Inc., Q4 2022 Earnings Call, Jan 27, 2023",still open
Federated Investors Inc.,02/05/2023,"Federated Hermes, Inc. (NYSE:FHI) Holdings Raised by Cambria ...",still open
Federated Investors Inc.,02/05/2023,Retirement Systems of Alabama Sells 9898 Shares of Federated ...,still open
Federated Investors Inc.,02/05/2023,"AutoNation, Inc. (NYSE:AN) Shares Bought by Cambria Investment ...",still open
Federated Investors Inc.,02/05/2023,"Brokerages have given Douglas Emmett, Inc. (NYSE:DEI) an ...",still open
Federated Investors Inc.,02/05/2023,Victory Capital Management Inc. Purchases 10849 Shares of ...,still open
Federated Investors Inc.,02/05/2023,Brookfield Infrastructure Co. (NASDAQ:BIPC) Shares Acquired by ...,still open
Federated Investors Inc.,02/05/2023,Federated Hermes Increases Position in Annexon (ANNX),still open
Federated Investors Inc.,02/05/2023,"Spire Wealth Management buys 25,579 Omega Healthcare ...",still open
Federated Investors Inc.,02/05/2023,Moors & Cabot Inc. Makes New $431000 Investment in Gladstone ...,still open
Federated Investors Inc.,02/05/2023,"Mesirow Institutional Investment Management Inc. acquires 167,825 ...",still open
Federated Investors Inc.,02/05/2023,"Great West Life Assurance Co. purchased 25,059 shares of Astec ...",still open
Federated Investors Inc.,02/05/2023,"Nisa Investment Advisors LLC has acquired shares of Rollins, Inc ...",still open
Federated Investors Inc.,02/05/2023,Jump Financial LLC reduces its stake in American Eagle Outfitters ...,still open
Federated Investors Inc.,02/05/2023,National Retail Properties (NNN) Scheduled to Post Quarterly ...,still open
Federated Investors Inc.,02/05/2023,"Federated Hermes, Inc. (NYSE:FHI) Shares Sold by Royce ...",still open
Federated Investors Inc.,02/05/2023,Federated Hermes Cuts Stake in Amphastar Pharmaceuticals (AMPH),still open
Federated Investors Inc.,02/05/2023,"Rocket Pharmaceuticals, Inc. Is Owned by Barclays PLC for $2.39 ...",still open
Federated Investors Inc.,02/05/2023,Great West Life Assurance Co. Can Invests $292000 in LendingTree ...,still open
Federated Investors Inc.,02/05/2023,Liberty Mutual Group Asset Management Inc. Sells 41164 Shares of ...,still open
Federated Investors Inc.,02/05/2023,The Manufacturers Life Insurance Company increases its stake in ...,still open
Federated Investors Inc.,02/05/2023,Camden Capital LLC Buys 1885 Shares of United Parcel Service ...,still open
Federated Investors Inc.,02/05/2023,Russell Investments Group Ltd. Sells 95381 Shares of UMH ...,still open
Federated Investors Inc.,02/05/2023,Texas Pacific Land Co. (NYSE:TPL) Shares Acquired by Nisa ...,still open
Federated Investors Inc.,02/05/2023,Nisa Investment Advisors LLC reduces its stake in Garmin Ltd ...,still open
Federated Investors Inc.,02/05/2023,Insiders At Federated Hermes Sold US$12m Of Stock Potentially Indicating Weakness,still open
Federated Investors Inc.,02/05/2023,"Barclays PLC Purchases Zentalis Pharmaceuticals, Inc. (NASDAQ ...",still open
Federated Investors Inc.,02/05/2023,"Atom Investors LP Reduces Its Position in Nkarta, Inc. (NASDAQ ...",still open
Federated Investors Inc.,02/05/2023,"Easterly Government Properties, Inc. (NYSE:DEA) Stock Holdings ...",still open
Federated Investors Inc.,02/05/2023,"Arvinas, Inc. (NASDAQ:ARVN) Stock Holdings Lifted by Barclays PLC",still open
Federated Investors Inc.,02/05/2023,OLD National Bancorp IN Reduces Stock Holdings in Inter Parfums ...,still open
Federated Investors Inc.,02/05/2023,"CrossFirst Bankshares, Inc. (NASDAQ:CFB) Shares Sold by ...",still open
Federated Investors Inc.,02/05/2023,US fund manager under fire over sponsorship of climate sceptics,still open
Federated Investors Inc.,02/05/2023,Russell Investments Group Ltd. Buys 136480 Shares of Park Hotels ...,still open
Federated Investors Inc.,02/05/2023,"Great West Life Assurance Co. Can Purchases 29,300 Shares of ...",still open
Federated Investors Inc.,02/05/2023,Russell Investments Group Ltd. owns $9.38 million in Brigham ...,still open
Federated Investors Inc.,02/05/2023,"Church & Dwight (NYSE:CHD) Issues Earnings Results, Beats ...",still open
Federated Investors Inc.,02/05/2023,W.W. Grainger (NYSE:GWW) Issues Quarterly Earnings Results ...,still open
Federated Investors Inc.,02/05/2023,Prudential Financial Inc. Has $7.30 Million Holdings in Vornado ...,still open
Federated Investors Inc.,02/05/2023,"Analysts Issue Forecasts for Houlihan Lokey, Inc.'s Q4 2024 ...",still open
Federated Investors Inc.,02/05/2023,"Q3 2023 EPS Estimates for Applied Industrial Technologies, Inc ...",still open
Federated Investors Inc.,02/05/2023,"LSV Asset Management acquires 73,682 Fulton Financial Co ...",still open
Federated Investors Inc.,02/05/2023,Reynders McVeigh Capital Management LLC Lowers Stock Position ...,still open
Federated Investors Inc.,02/05/2023,Teacher Retirement System of Texas Has $700000 Holdings in ...,still open
Federated Investors Inc.,02/05/2023,"D.A. Davidson & CO. Boosts Stake in eXp World Holdings, Inc ...",still open
Federated Investors Inc.,02/05/2023,"Federated Hermes, Inc. reports third quarter 2022 earnings",still open
Federated Investors Inc.,02/05/2023,Prudential Financial Inc. Has $7.77 Million Holdings in Mr. Cooper ...,still open
Federated Investors Inc.,02/05/2023,"Federated Hermes, Inc. launches U.S. Strategic Dividend ETF",still open
Federated Investors Inc.,02/05/2023,"Federated Investors, Inc. to Change Name and Ticker Symbol",still open
Federated Investors Inc.,02/05/2023,"Federated Hermes, Inc. agrees to acquire the $3.63 billion ...",still open
Federated Investors Inc.,02/05/2023,Raymond James & Associates Reduces Stake in Aris Water ...,still open
Federated Investors Inc.,02/05/2023,New York State Common Retirement Fund Sells 3580 Shares of ...,still open
Federated Investors Inc.,02/05/2023,"SG Americas Securities LLC makes a $393,000 investment in TG ...",still open
Federated Investors Inc.,02/05/2023,"Federated Hermes, Inc. completes acquisition of C.W. Henderson ...",still open
Federated Investors Inc.,02/05/2023,Fox Run Management L.L.C. Invests $86000 in Ranpak Holdings ...,still open
Federated Investors Inc.,02/05/2023,"Federated Hermes, Inc. reports second quarter 2022 earnings",still open
Federated Investors Inc.,02/05/2023,The Lovesac Company (NASDAQ:LOVE) Receives Consensus ...,still open
Federated Investors Inc.,02/05/2023,Piper Sandler Companies has a $2.76 million stake in Barclays PLC ...,still open
Federated Investors Inc.,02/05/2023,Jump Financial LLC Has $1.03 Million Stake in Watts Water ...,still open
