Name,Data,News,Evaluation
"Fossil, Inc.",02/05/2023,Fossil Group: Declining Market Share And Pressure On Margins ...,still open
"Fossil, Inc.",02/05/2023,"Big Thought, Fossil Group to Host Annual Works of Heart Event on ...",still open
"Fossil, Inc.",02/05/2023,BlackRock Cuts Stake in Fossil Group (FOSL),still open
"Fossil, Inc.",02/05/2023,"Fossil Group, Inc. (NASDAQ:FOSL) Short Interest Update",still open
"Fossil, Inc.",02/05/2023,"India's G-20 energy meet to balance renewables, fossil fuels",still open
"Fossil, Inc.",02/05/2023,Fossil group moves UK headquarters into brand new Milton Keynes ...,still open
"Fossil, Inc.",02/05/2023,Fossil Group backs new jewellery and watch marketplace Katchin,still open
"Fossil, Inc.",02/05/2023,"California bills call for CalPERS, CalSTRS to divest fossil fuels ...",still open
"Fossil, Inc.",02/05/2023,The time is now to diversify NM from fossil fuels,still open
"Fossil, Inc.",02/05/2023,The EU Just Banned Diesel Imports from Russia,still open
"Fossil, Inc.",02/05/2023,"First putative occurrence in the fossil record of choanoflagellates, the ...",still open
"Fossil, Inc.",02/05/2023,What Is Permitting Reform? Here’s a Primer on the Drive to Fast ...,still open
"Fossil, Inc.",02/05/2023,‘Pure greenwashing’: Shell reports highest ever profits while ...,still open
"Fossil, Inc.",02/05/2023,Environmental Group Sues FEMA for Fossil Fuel Spending Records ...,still open
"Fossil, Inc.",02/05/2023,Radical climate group presses lawmakers to dismantle Alaska's ...,still open
"Fossil, Inc.",02/05/2023,Wall Street Faces Calls From Investors to Cut Fossil-Fuel Financing,still open
"Fossil, Inc.",02/05/2023,Sensational 500-Million-Year-Old Fossil Found In India Turns Out To Be A Case Of Mistaken Identity,still open
"Fossil, Inc.",02/05/2023,How to Get Government Aid to Ditch Fossil Fuels,still open
"Fossil, Inc.",02/05/2023,Fossil Group backs new jewellery and watch marketplace,still open
"Fossil, Inc.",02/05/2023,Super ancient fish skull holds oldest backboned animal brain fossil,still open
"Fossil, Inc.",02/05/2023,"Everything you need to know about the Tucson Gem, Mineral, Fossil Showcase 2023",still open
"Fossil, Inc.",02/05/2023,"Digital Watch Market Growth Holds Strong | Apple Inc., Fossil Group ...",still open
"Fossil, Inc.",02/05/2023,New York Company Proposes Repowering Fossil Fuel Plant with ...,still open
"Fossil, Inc.",02/05/2023,"Exxon reports record profits, doubles down on fossil fuels",still open
"Fossil, Inc.",02/05/2023,"Energy CEO Fights Climate Science. And LinkedIn. North Face, Too.",still open
"Fossil, Inc.",02/05/2023,Revealed: how world’s biggest fossil fuel firms ‘profited in Myanmar after coup’,still open
"Fossil, Inc.",02/05/2023,How Wall Street’s fossil-fuel money pipeline undermines the fight to save the planet,still open
"Fossil, Inc.",02/05/2023,UAE oil company employees given roles in office hosting Cop28,still open
"Fossil, Inc.",02/05/2023,"Citi, BofA Lead Wall Street Banks Funding Fossil-Fuel Expansion",still open
"Fossil, Inc.",02/05/2023,Don't wait for COP: the end of the fossil-fuel age must start now,still open
"Fossil, Inc.",02/05/2023,Are There Fossils at the Bottom of the East River?,still open
"Fossil, Inc.",02/05/2023,Even Oil Giant BP Is Calling Time on the Fossil Fuel Era,still open
"Fossil, Inc.",02/05/2023,The New Soldiers in Propane’s Fight Against Climate Action: Television Stars,still open
"Fossil, Inc.",02/05/2023,Oil companies in 2022 had their most profitable year in history,still open
"Fossil, Inc.",02/05/2023,"Synthetic fossil fuels made from light, water, and CO2 in the air ...",still open
"Fossil, Inc.",02/05/2023,Puerto Rico Hands Control of its Power Plants to a Natural Gas ...,still open
"Fossil, Inc.",02/05/2023,"Fossil fuel producers must be forced to ‘take back’ carbon, say scientists",still open
"Fossil, Inc.",02/05/2023,'Inconsistent with human survival': UN chief slams fossil fuel industry expansion in Davos speech,still open
"Fossil, Inc.",02/05/2023,"This ""Green"" Steel Process Burns Fossil Fuels",still open
"Fossil, Inc.",02/05/2023,"February 3, 2023 Dark Money Is Fueling Climate Denial and ...",still open
"Fossil, Inc.",02/05/2023,Consumer goods giants team up to tackle fossil fuel feedstocks,still open
"Fossil, Inc.",02/05/2023,The Abrupt Origins of Treeshrews and Colugos,still open
"Fossil, Inc.",02/05/2023,Appointment of Abu Dhabi National Oil Company CEO as climate ...,still open
"Fossil, Inc.",02/05/2023,India sets 2030 target to produce 50% of its energy need through non-fossil fuels,still open
"Fossil, Inc.",02/05/2023,BP predicts drop in fossil fuel demand but claims investment needed ...,still open
"Fossil, Inc.",02/05/2023,Foulden Maar: Dunedin City Council saves fossil site from mining by ...,still open
