Name,Data,News,Evaluation
Kohl's Corp.,02/05/2023,Kohl's Corp. names Kingsbury new CEO,still open
Kohl's Corp.,02/05/2023,Kohl's names Kingsbury as permanent CEO,still open
Kohl's Corp.,02/05/2023,Kohl's Corp. names Tom Kingsbury as permanent CEO,still open
Kohl's Corp.,02/05/2023,Kohl's Corp. names Tom Kingsbury permanent CEO,still open
Kohl's Corp.,02/05/2023,Kohl's Corp. enters 2023 on shaky ground after rough 2022,still open
Kohl's Corp.,02/05/2023,Kohl's Corp. stock outperforms competitors on strong trading day,still open
Kohl's Corp.,02/05/2023,"KOHLS CORP : Entry into a Material Definitive Agreement, Change in Directors or Principal Officers, Other Events, Financial Statements and Exhibits (form 8-K)",still open
Kohl's Corp.,02/05/2023,Kohl's Corp. general counsel Jason Kelroy to depart retailer ...,still open
Kohl's Corp.,02/05/2023,Kohl's Corp. stock outperforms market on strong trading day,still open
Kohl's Corp.,02/05/2023,"Kohl's Corp. stock falls Friday, underperforms market",still open
Kohl's Corp.,02/05/2023,"KOHLS CORP : Entry into a Material Definitive Agreement, Termination of a Material Definitive Agreement, Financial Statements and Exhibits (form 8-K)",still open
Kohl's Corp.,02/05/2023,Kohl's cuts about 60 positions in reorganization - Milwaukee ...,still open
Kohl's Corp.,02/05/2023,Kohl's names Tom Kingsbury as permanent CEO,still open
Kohl's Corp.,02/05/2023,Milwaukee-Based Retail Giant Kohl's Finds New CLO Just Down the ...,still open
Kohl's Corp.,02/05/2023,After Hours Alert: What's Going On With Kohl's And Macy's Shares? - Kohl's (NYSE:KSS),still open
Kohl's Corp.,02/05/2023,Truckers Expect an Inventory-Driven Rebound Later This Year,still open
Kohl's Corp.,02/05/2023,Bed Bath & Beyond Is Circling the Drain,still open
Kohl's Corp.,02/05/2023,Levi's Celebrating 150 Years of 501s With 'Greatest Story Ever Worn',still open
Kohl's Corp.,02/05/2023,Kohl's Corp. negotiating company sale to owner of The Vitamin ...,still open
Kohl's Corp.,02/05/2023,Kohl's is no longer in talks to sell the company. But the pressure to ...,still open
Kohl's Corp.,02/05/2023,"Kohl's Corp. reports bad quarter, withdraws its projections for year",still open
Kohl's Corp.,02/05/2023,Kohl's Falls After Cutting Outlook as Retailer's Woes Deepen,still open
Kohl's Corp.,02/05/2023,Michelle Gass resigns as CEO of Kohl's Corp. - Bizwomen,still open
Kohl's Corp.,02/05/2023,Pressure for changes in Kohl's corporate operation intensifies,still open
Kohl's Corp.,02/05/2023,Top 5 4th Quarter Trades of KESTREL INVESTMENT ...,still open
Kohl's Corp.,02/05/2023,"UPDATE 2-Macy's tempers holiday sales view, warns of more inflation pain ahead",still open
Kohl's Corp.,02/05/2023,UPDATE 2-Bed Bath & Beyond in talks with Sycamore Partners for sale of assets - NYT,still open
Kohl's Corp.,02/05/2023,EXCLUSIVE Oak Street in $2 bln bid for Kohl's real estate-sources,still open
Kohl's Corp.,02/05/2023,We Asked ChatGPT to Make a Market-Beating ETF. Here's What ...,still open
Kohl's Corp.,02/05/2023,Online orders represent 30% of Q1 sales at Kohl’s,still open
Kohl's Corp.,02/05/2023,Kohl's Corp. stock underperforms Friday when compared to competitors,still open
Kohl's Corp.,02/05/2023,Kohl's sells two corporate campus storage buildings for $6 million,still open
Kohl's Corp.,02/05/2023,"Tyre Nichols, Monterey Park, classified documents, Chiefs, Eagles ...",still open
Kohl's Corp.,02/05/2023,"Wealthy Russian undertook $90 mln hack-and-trade scheme, U.S. ...",still open
Kohl's Corp.,02/05/2023,"Hedge fund Ancora seeks ouster of Kohl's CEO, chairman",still open
Kohl's Corp.,02/05/2023,Kohl's Corp. fends off activist investor board takeover bid,still open
Kohl's Corp.,02/05/2023,"Kohl's Corp. expands self-pickup for online orders to all 1,100 stores",still open
Kohl's Corp.,02/05/2023,"Kohl's Corp. stock rises Monday, outperforms market",still open
Kohl's Corp.,02/05/2023,Retailer Kohl's faces fresh call for board rejig from activist group ...,still open
Kohl's Corp.,02/05/2023,Starboard slashes stake in Kohl's after seeking to buy it in January,still open
Kohl's Corp.,02/05/2023,Kohl's Corp. stock outperforms competitors despite losses on the day,still open
Kohl's Corp.,02/05/2023,"Activist investor Macellum renews pressure on Kohl's, targets board",still open
Kohl's Corp.,02/05/2023,"Kohl's Corp. to hire nearly 1,000 seasonal workers in Milwaukee area",still open
Kohl's Corp.,02/05/2023,EXCLUSIVE Franchise Group joins bidding for Kohl's,still open
Kohl's Corp.,02/05/2023,"Stocks Set To Open Lower As Investors Await Fed Meeting, Big Tech ...",still open
Kohl's Corp.,02/05/2023,"Kohl's Corp. stock rises Wednesday, outperforms market",still open
Kohl's Corp.,02/05/2023,Two top executives leaving Kohl’s,still open
Kohl's Corp.,02/05/2023,What is Wall Street's Target Price for Kohl's Corporation (KSS) Stock Thursday?,still open
Kohl's Corp.,02/05/2023,Commentary: Unhappy Kohl’s investors get their wish,still open
Kohl's Corp.,02/05/2023,Kohl's set to sell another Menomonee Falls property to Luther Group ...,still open
Kohl's Corp.,02/05/2023,New Kohl's store will open in downtown Milwaukee in 2023,still open
Kohl's Corp.,02/05/2023,How Kohl's became such a mess,still open
Kohl's Corp.,02/05/2023,Kohl's joins Target in disappointing first-quarter report,still open
Kohl's Corp.,02/05/2023,"Kohl's brings holiday promotion to TikTok, metaverse",still open
Kohl's Corp.,02/05/2023,Activists may continue to pressure Kohl's Corp. management to sell,still open
Kohl's Corp.,02/05/2023,Kohl's Corp.'s $4.3 million sale of building at corporate headquarters ...,still open
Kohl's Corp.,02/05/2023,Investors in shares of Kohl's Corporation (NYSE: KSS),still open
Kohl's Corp.,02/05/2023,The future of Kohl's is about to be decided,still open
Kohl's Corp.,02/05/2023,Kohl's sets pay for interim CEO Thomas Kingsbury - Milwaukee ...,still open
Kohl's Corp.,02/05/2023,"Lawsuit accuses Kohl's executives, directors of securities violations ...",still open
Kohl's Corp.,02/05/2023,Kohl's offering free EV charging to customers through Oct. 2 for ...,still open
Kohl's Corp.,02/05/2023,Kohl's promotes Siobhan McFeeney to chief technology officer ...,still open
Kohl's Corp.,02/05/2023,Hudson's Bay bidding for Kohl's - source,still open
Kohl's Corp.,02/05/2023,Why Hudson's Bay Co. Wants Kohl's Corp.,still open
Kohl's Corp.,02/05/2023,Kohl's says it's no longer a department store,still open
Kohl's Corp.,02/05/2023,"With CEO search underway, Kohl's CFO in line for retention bonuses ...",still open
Kohl's Corp.,02/05/2023,Is Kohl's heading for another proxy fight with hedge funds ...,still open
Kohl's Corp.,02/05/2023,TJ Maxx renews downtown lease right after Kohl's store ...,still open
Kohl's Corp.,02/05/2023,Kohl's Corp. stock underperforms Monday when compared to competitors despite daily gains,still open
Kohl's Corp.,02/05/2023,Kohl's Corp. targeted with $9 billion unsolicited purchase offer,still open
Kohl's Corp.,02/05/2023,Kohl's enhances retail media network,still open
Kohl's Corp.,02/05/2023,"Kohl’s To Roll Out Sephora Beauty Shops To All 1,100 Stores For $2 Billion In Sales By 2025",still open
Kohl's Corp.,02/05/2023,Kohl's pushes inventory reduction ahead of holiday - Milwaukee ...,still open
Kohl's Corp.,02/05/2023,Why Kohl's was pursued by Franchise Group revealed by CEO Brian ...,still open
Kohl's Corp.,02/05/2023,Kohl's says board reviewing multiple buyout offers,still open
Kohl's Corp.,02/05/2023,Kohl's (KSS) Says Inflation Is Attracting Wealthier Shoppers Looking ...,still open
Kohl's Corp.,02/05/2023,"Kohl's Corp. future uncertain as investor fight nears end, sale of ...",still open
Kohl's Corp.,02/05/2023,Kohl’s Debt Ratings Downgraded,still open
Kohl's Corp.,02/05/2023,"Market position, deteriorated credit metrics lead Moody's to ...",still open
Kohl's Corp.,02/05/2023,Boulder biotech firm Biodesix leases former Kohl’s store in Louisville,still open
Kohl's Corp.,02/05/2023,"Macy's Profits From Wealthy Shoppers, Kohl's Feels Inflation Pinch",still open
Kohl's Corp.,02/05/2023,"Kohl’s sales in Q2 are down 8.5% overall compared with last year, digital sales are flat",still open
Kohl's Corp.,02/05/2023,Kohl's Corp. says current offers to buy retail chain are too low,still open
Kohl's Corp.,02/05/2023,"STOCK MARKET NEWS: Apple, Amazon, Starbucks report earnings ...",still open
Kohl's Corp.,02/05/2023,Kohl's doubles down on strategy amid report of lower sale bids,still open
Kohl's Corp.,02/05/2023,Kohl's to donate $5 million to nonprofits nationwide this holiday season,still open
Kohl's Corp.,02/05/2023,Analysts sound off on what Kohl's needs to do now that sales talks ...,still open
Kohl's Corp.,02/05/2023,"Franchise Group considers lowering Kohl's bid closer to $50 a share from about $60, source says",still open
Kohl's Corp.,02/05/2023,Kohl's names Siobhan McFeeney chief technology officer - Bizwomen,still open
Kohl's Corp.,02/05/2023,Activist investor makes pitch to Kohl's shareholders in SEC filing,still open
Kohl's Corp.,02/05/2023,CNBC reports Simon Property Group expressing interest in Kohl's ...,still open
Kohl's Corp.,02/05/2023,Is Kohl’s New Strategy Merely A Slightly Better Version Of Mediocre?,still open
Kohl's Corp.,02/05/2023,"What to Watch: The CEO Search Goes On at VF, Kohl's, Gap and ...",still open
Kohl's Corp.,02/05/2023,"Macellum launches criticism, details plans for Kohl's in 168-page presentation",still open
Kohl's Corp.,02/05/2023,Kohl's stock surges on report bidders are still competing for company amid market volatility,still open
Kohl's Corp.,02/05/2023,Fitch Affirms Kohl's LT IDR at 'BBB-'; Outlook Stable,still open
Kohl's Corp.,02/05/2023,"JCPenney Owners Offer $8.6 Billion for Kohl's, N.Y. Post Reports",still open
Kohl's Corp.,02/05/2023,Kohl's recognized by government for energy efficiency,still open
Kohl's Corp.,02/05/2023,"Kohl's sale negotiations could drag on for weeks, possibly longer, amid market volatility",still open
