Name,Data,News,Evaluation
Titanium Metals Corp,02/05/2023,Nebraskans Are Sitting on Strategic Metals. Is Mining a Patriotic Duty?,still open
Titanium Metals Corp,02/05/2023,"Demand for Global 3D Printing Metals Market Size to Surpass USD 2034.4 Million by 2028, Exhibit a CAGR of 24.6% | 3D Printing Metals Industry Trends, Share, Value, Growth, Analysis & Forecast Report by Facts & Factors",still open
Titanium Metals Corp,02/05/2023,Titanium dioxide market to grow by 5.36% Y-O-Y from 2022 to 2023: Growing demand for lightweight vehicles will drive growth - Technavio,still open
Titanium Metals Corp,02/05/2023,"Titanium plant furnace blast causes roof damage, no injuries",still open
Titanium Metals Corp,02/05/2023,Rare earth metals market to grow by 8.1% Y-O-Y in 2023; Growing demand for electronic appliances and personal equipment will drive growth - Technavio,still open
Titanium Metals Corp,02/05/2023,Temas Resources Makes Additional Management Change,still open
Titanium Metals Corp,02/05/2023,8761 Shares in Carpenter Technology Co. (NYSE:CRS) Purchased ...,still open
Titanium Metals Corp,02/05/2023,Advanced Materials Market for Nuclear Fusion Technology Value to ...,still open
Titanium Metals Corp,02/05/2023,BlackRock Increases Position in Uranium Energy (UEC),still open
Titanium Metals Corp,02/05/2023,Validea's Top Ten Basic Materials Stocks Based On Joel Greenblatt ...,still open
Titanium Metals Corp,02/05/2023,Reliance Steel & Aluminum Co. (NYSE:RS) Shares Sold by LSV ...,still open
Titanium Metals Corp,02/05/2023,"News snapshot: American Resources Corp, PyroGenesis, CULT ...",still open
Titanium Metals Corp,02/05/2023,Aerospace Materials Market Size & Share to Surpass $ 61.1 Billion ...,still open
Titanium Metals Corp,02/05/2023,"3D Printing Industry News Sliced: 6K Additive, Axial3D, Lithoz ...",still open
Titanium Metals Corp,02/05/2023,Mitsui signs MOU with Atlas Lithium for up to 100% of production ...,still open
Titanium Metals Corp,02/05/2023,OPINION | EDITORIAL: Another giant step,still open
Titanium Metals Corp,02/05/2023,"Global Metal Magnesium Market 2022 to 2031 - Featuring Alliance Magnesium, Wenxi YinGuang Magnesium Industry and Nippon Kinzoku Among Others",still open
Titanium Metals Corp,02/05/2023,Atlas Lithium Corporation Announces Closing of Underwritten Public Offering and Nasdaq Uplisting Including Full Exercise of Over-Allotment Option,still open
Titanium Metals Corp,02/05/2023,Equity Analyst Professionals: Best 2022 Interviews for 2023 ...,still open
Titanium Metals Corp,02/05/2023,Global High Performance Alloys Market Report 2022: Substitution of Metals Including Steel with Aluminum and Titanium-Based High-Performance Alloys Driving Growth,still open
Titanium Metals Corp,02/05/2023,Russian Titanium Maker Is Pulled Off Sanctions List - WSJ,still open
Titanium Metals Corp,02/05/2023,Gov. Justice: BHE Renewables and WV announce $500m ...,still open
Titanium Metals Corp,02/05/2023,NioCorp Announces Finalized Financing Agreements with Yorkville ...,still open
Titanium Metals Corp,02/05/2023,Tennessee key to U.S. titanium independence from Russia and China,still open
Titanium Metals Corp,02/05/2023,Aluminum Market is expected to generate a revenue of USD 188.98 ...,still open
Titanium Metals Corp,02/05/2023,A titan of titanium - with a big HAMR,still open
Titanium Metals Corp,02/05/2023,"Ti-6Al-4V Titanium Alloy Market Size to Grow by USD 707.41 Mn, 54% of Growth will Originate from APAC - Technavio",still open
Titanium Metals Corp,02/05/2023,"Valued to be $9.6 Billion by 2026, High Performance Alloys Slated for Robust Growth Worldwide",still open
Titanium Metals Corp,02/05/2023,The Aerospace Industry Is Grappling With A Titanium Supply Shortage,still open
Titanium Metals Corp,02/05/2023,Wentzville titanium plant 'indefinitely' idled,still open
Titanium Metals Corp,02/05/2023,11 Best Metal Stocks to Invest In,still open
Titanium Metals Corp,02/05/2023,Lion Copper and Gold Corp. Announces Convertible Debenture Financing,still open
Titanium Metals Corp,02/05/2023,Rare earth miner NioCorp to merge with Nasdaq-listed blank check ...,still open
Titanium Metals Corp,02/05/2023,Titanium in the Global Aerospace Market: A $3.4 Billion Market by ...,still open
Titanium Metals Corp,02/05/2023,Van ECK Associates Corp owns $3.66 million shares of POSCO ...,still open
Titanium Metals Corp,02/05/2023,"TIMET officials announce expansion plans | News, Sports, Jobs",still open
Titanium Metals Corp,02/05/2023,IperionX and ORNL to develop low-cost titanium alloys for metal 3D ...,still open
Titanium Metals Corp,02/05/2023,Strategic in critical metals RTO deal with BlackRock Metals ...,still open
Titanium Metals Corp,02/05/2023,"Airbus Defends Russian Titanium Use, Says Sanctions Won't Work",still open
Titanium Metals Corp,02/05/2023,"Metal Forging Market to Touch USD 130.51 Billion by 2028, Recording a CAGR of 6.34% - Report by Market Research Future (MRFR)",still open
Titanium Metals Corp,02/05/2023,15 Biggest Aluminum Companies In The World,still open
Titanium Metals Corp,02/05/2023,The Global Ti-6Al-4V Titanium Alloy Market is expected to grow by ...,still open
Titanium Metals Corp,02/05/2023,"Renewable-powered industrial site coming to Jackson County, West ...",still open
Titanium Metals Corp,02/05/2023,Magellan to provide machined titanium components for F-35 jets,still open
Titanium Metals Corp,02/05/2023,Could Russian mining mergers counter Western sanctions?,still open
Titanium Metals Corp,02/05/2023,Las Vegas-area water company files bankruptcy as Lake Mead ‘straw’ runs dry,still open
Titanium Metals Corp,02/05/2023,Go Metals Announces Initial Drill Results from PGE Central Zone,still open
Titanium Metals Corp,02/05/2023,Titanium Industry Leaders Join Hyperion Advisory Board,still open
Titanium Metals Corp,02/05/2023,All the Metals We Mined in 2021 in One Visualization,still open
Titanium Metals Corp,02/05/2023,Platinex Appoints Dr. Fred Breaks to Muskrat Dam Critical Minerals Project Advisory Board and Increases Project Size,still open
Titanium Metals Corp,02/05/2023,"Cytotoxicity of Commercially Pure Titanium (cpTi), Silver-Palladium ...",still open
Titanium Metals Corp,02/05/2023,"The Global Titanium Dioxide Market is expected to grow by $ 6,899.93 mn during 2023-2027, accelerating at a CAGR of 5.66% during the forecast period",still open
Titanium Metals Corp,02/05/2023,"Titanium Alloys Market [2022-2028] Insights and Forecast | Market Size, Share, Growth Rate, Demands, Trends, Key Players, Geographical Segmentation, Challenges, Revenue Analysis Research | Market Reports World",still open
Titanium Metals Corp,02/05/2023,Metal Magnesium Global Market Report 2022,still open
Titanium Metals Corp,02/05/2023,Vanadium Miners News For The Month Of November 2022,still open
Titanium Metals Corp,02/05/2023,Falcon Gold acquires strategic nickel-copper claims adjacent to Go ...,still open
Titanium Metals Corp,02/05/2023,TIMET to pay $500K for accidental 2012 chlorine gas release in Henderson,still open
Titanium Metals Corp,02/05/2023,U.S. launches national security probe into titanium sponge imports,still open
Titanium Metals Corp,02/05/2023,"Metal Exchange Corp. names COO, chief financial officers",still open
Titanium Metals Corp,02/05/2023,Ukraine risks losing vast mineral resources to Russian occupation,still open
Titanium Metals Corp,02/05/2023,Bentley's new Batur offers customised metal 3D printed options,still open
Titanium Metals Corp,02/05/2023,Vanadium Miners News For The Month Of July 2022,still open
Titanium Metals Corp,02/05/2023,Vanadium Miners News For The Month Of September 2022,still open
Titanium Metals Corp,02/05/2023,Precision Castparts Completes Acquisition of Timet,still open
Titanium Metals Corp,02/05/2023,Reconstruction of maxillofacial bone defects using patient-specific ...,still open
Titanium Metals Corp,02/05/2023,"Investors pressure metals, mining companies with ties to Russia",still open
Titanium Metals Corp,02/05/2023,Vanadium Miners News For The Month Of December 2022,still open
Titanium Metals Corp,02/05/2023,Titanium Metals Share Price Today | %EXCHANGE_SYMBOL% TIE ...,still open
Titanium Metals Corp,02/05/2023,Small Business Exporter of the Year: Viv Helwig’s Vested Metals on ...,still open
Titanium Metals Corp,02/05/2023,"Biden wants minerals, but mine permitting lags",still open
Titanium Metals Corp,02/05/2023,What does the replacement of the Australian Strategic Materials ...,still open
Titanium Metals Corp,02/05/2023,5 Best Mining Stocks: Dig Deep Into These Top Portfolio Picks,still open
Titanium Metals Corp,02/05/2023,Specialty metals firm to open plant in Fort Wayne – Inside INdiana ...,still open
Titanium Metals Corp,02/05/2023,"China has encroached on Canada's critical minerals industry, with ...",still open
Titanium Metals Corp,02/05/2023,6 Best Rare Earth Stocks To Invest in High Technologies,still open
Titanium Metals Corp,02/05/2023,"Battery metals miner Atlas Lithium files to uplist to Nasdaq, raise $6 ...",still open
Titanium Metals Corp,02/05/2023,Boeing suspends Moscow engineering center and halts support to ...,still open
Titanium Metals Corp,02/05/2023,Hyperion Metals’ Taso Arima on the company’s plans to become a ...,still open
Titanium Metals Corp,02/05/2023,Metal Additive Manufacturing Market Size to Grow by USD 7.19 bn ...,still open
Titanium Metals Corp,02/05/2023,Scrap Expo hits Louisville next week,still open
Titanium Metals Corp,02/05/2023,JX Nippon to produce tantalum at Brazil's Mibra mine - MINING.COM,still open
Titanium Metals Corp,02/05/2023,TNG secures $140m for Australian vanadium-titanium-iron project,still open
Titanium Metals Corp,02/05/2023,Can the Defense Industry Unkink Supply Chains to Meet Demands?,still open
