Name,Data,News,Evaluation
Urban Outfitters,02/05/2023,Urban Outfitters Stock: Still Looks Undervalued (NASDAQ:URBN),still open
Urban Outfitters,02/05/2023,"Urban Outfitters, Inc. is purchased by First Republic Investment ...",still open
Urban Outfitters,02/05/2023,First Republic Investment Management Inc. Buys 7529 Shares of ...,still open
Urban Outfitters,02/05/2023,Urban Outfitters and Drexel Launch Innovative Fashion Design ...,still open
Urban Outfitters,02/05/2023,"Urban Outfitters just refreshed its dreamy furniture lines, and I'm ...",still open
Urban Outfitters,02/05/2023,Urban Outfitters closes in downtown Norfolk,still open
Urban Outfitters,02/05/2023,Why Urban Outfitters Stock Jumped This Week,still open
Urban Outfitters,02/05/2023,Westfield's distinctive Urban Outfitters building gets new owner,still open
Urban Outfitters,02/05/2023,Here's Why Urban Outfitters (URBN) Stock Looks Promising,still open
Urban Outfitters,02/05/2023,I'm a Fashion Editor—27 Chic Recent Arrivals I'm Eyeing at Urban ...,still open
Urban Outfitters,02/05/2023,Urban Outfitters' parent opening fulfillment center — for its rental brand,still open
Urban Outfitters,02/05/2023,"Gypsy Sport Brings Genderless, Chicano-inspired Style to Urban ...",still open
Urban Outfitters,02/05/2023,Illenium responds after Urban Outfitters leaks his whole album tracklist,still open
Urban Outfitters,02/05/2023,Urban Outfitters Parent Chooses Kansas City for Clothing Rental Hub,still open
Urban Outfitters,02/05/2023,Norwich: When is Urban Outfitters opening in Chantry Place?,still open
Urban Outfitters,02/05/2023,‘Birds’ to Ruffle Urban Outfitters’ Feathers Over Down Industry Exposé,still open
Urban Outfitters,02/05/2023,Video: PETA Supporters Invade Urban Outfitters Conference to Call ...,still open
Urban Outfitters,02/05/2023,"Urban Outfitters Celebrates Black Influence, History and Culture With Exclusive Collections and Initiatives in",still open
Urban Outfitters,02/05/2023,ICYMI: Urban Outfitters Sells (Really Good) Sex Toys — & They’re Cute AF,still open
Urban Outfitters,02/05/2023,"Urban Outfitters (URBN) Posts Holiday Results, Sales Up 2.3%",still open
Urban Outfitters,02/05/2023,"Zacks Industry Outlook Highlights Holdings Limited, American Eagle ...",still open
Urban Outfitters,02/05/2023,11 best Urban Outfitters home accessories to shop now,still open
Urban Outfitters,02/05/2023,Thoughts on Urban Outfitter's Balletcore From a Ballet Dancer,still open
Urban Outfitters,02/05/2023,Great West Life Assurance Co. Can Invested $1.47 Million in Urban ...,still open
Urban Outfitters,02/05/2023,Abrand Jeans Launches TikTok Model Search to Find New Faces ...,still open
Urban Outfitters,02/05/2023,Great West Life Assurance Co. Can Has $1.47 Million Stock Position ...,still open
Urban Outfitters,02/05/2023,"Deutsche Bank Adjusts Urban Outfitters Price Target to $25 From $22, Maintains Hold Rating",still open
Urban Outfitters,02/05/2023,"31085 Shares in Urban Outfitters, Inc. (NASDAQ:URBN) Purchased ...",still open
