Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2022-04-05;109,32;110,08;103,52;105,26;611.853;64.747.887
2022-04-04;111,34;111,92;108,08;110,08;351.823;38.714.794
2022-04-01;109,90;111,70;109,78;110,92;305.390;33.839.983
2022-03-31;110,90;112,28;110,16;110,24;329.835;36.559.962
2022-03-30;112,22;112,90;110,30;111,08;504.273;56.079.058
2022-03-29;109,32;113,74;108,98;113,62;443.111;49.620.546
2022-03-28;107,44;109,36;107,38;107,82;289.456;31.326.018
2022-03-25;108,00;109,28;106,70;107,56;316.006;34.129.303
2022-03-24;106,92;108,20;106,20;107,40;286.299;30.704.934
2022-03-23;108,32;108,84;106,56;107,12;319.363;34.354.107
2022-03-22;105,52;108,50;105,28;108,24;338.912;36.365.201
2022-03-21;105,36;106,82;104,82;105,34;348.290;36.771.232
2022-03-18;106,52;107,48;103,94;106,14;1.132.365;119.409.355
2022-03-17;106,68;107,52;104,98;107,14;433.453;46.166.388
2022-03-16;105,84;109,50;104,76;106,84;1.080.259;115.343.367
2022-03-15;103,08;103,92;101,24;103,16;651.383;66.905.939
2022-03-14;104,00;107,32;104,00;104,54;808.931;85.472.099
2022-03-11;99,80;106,34;99,76;103,36;1.024.051;106.264.969
2022-03-10;102,98;103,52;97,50;99,74;846.472;84.862.472
2022-03-09;96,86;103,40;96,30;103,24;1.560.389;157.570.683
2022-03-08;92,00;97,78;91,78;94,08;1.535.638;146.259.427
2022-03-07;91,59;98,41;90,32;94,00;1.672.916;156.697.181
2022-03-04;103,40;103,60;96,84;97,02;1.344.655;132.677.880
2022-03-03;109,22;109,90;104,24;105,12;701.188;75.150.466
2022-03-02;104,02;111,12;102,28;109,70;1.059.983;113.522.870
2022-03-01;114,60;115,22;104,00;104,00;1.016.531;110.569.035
2022-02-28;116,06;116,30;110,96;115,16;1.244.772;141.433.658
2022-02-25;110,10;115,98;108,46;115,98;1.166.145;131.320.843
2022-02-24;107,54;111,02;105,72;108,90;1.823.665;197.990.044
2022-02-23;114,24;117,28;113,08;113,78;797.133;91.802.434
2022-02-22;110,20;115,16;109,42;114,02;946.357;106.985.848
2022-02-21;116,56;117,12;111,72;111,94;619.171;70.137.950
2022-02-18;117,82;117,82;114,20;114,94;650.650;75.269.044
2022-02-17;119,80;120,34;115,68;116,24;577.053;67.650.350
2022-02-16;118,24;119,46;116,76;117,78;365.320;43.123.643
2022-02-15;115,34;118,48;115,14;118,44;597.929;70.346.144
2022-02-14;114,50;117,02;112,48;116,30;712.612;81.867.445
2022-02-11;116,82;118,94;115,90;118,40;458.698;54.168.178
2022-02-10;117,16;118,50;116,20;118,28;323.709;38.101.477
2022-02-09;116,02;117,76;115,72;117,48;259.230;30.366.940
2022-02-08;113,46;115,66;112,14;115,66;362.929;41.701.694
2022-02-07;112,46;113,00;110,06;112,88;358.543;40.096.894
2022-02-04;111,92;112,14;108,68;110,26;383.458;42.121.874
2022-02-03;112,60;113,52;111,12;111,54;342.749;38.353.024
2022-02-02;114,90;115,56;112,92;113,12;636.757;72.587.618
2022-02-01;113,00;115,36;113,00;115,26;408.396;46.719.358
2022-01-31;112,40;113,64;110,98;112,20;352.917;39.617.571
2022-01-28;113,10;113,74;109,90;111,28;575.741;64.075.430
2022-01-27;111,90;115,02;111,54;114,26;414.389;47.324.840
2022-01-26;111,04;114,34;110,86;114,18;567.131;64.394.553
2022-01-25;108,82;110,10;106,24;108,20;645.149;69.861.605
2022-01-24;112,42;113,78;106,80;107,24;700.628;76.755.137
2022-01-21;113,74;114,44;112,20;113,28;747.255;84.735.597
2022-01-20;114,86;115,58;114,00;115,58;300.784;34.578.922
2022-01-19;115,42;117,42;114,30;115,12;428.978;49.719.783
2022-01-18;116,06;116,44;114,16;115,86;316.262;36.478.729
2022-01-17;117,46;118,44;116,78;116,80;220.613;25.917.970
2022-01-14;115,80;118,08;115,80;117,28;452.996;53.139.081
2022-01-13;117,80;118,50;116,20;117,24;521.635;61.061.811
2022-01-12;119,00;119,74;117,58;118,54;520.000;61.521.647
2022-01-11;118,14;119,04;117,16;118,40;367.891;43.377.093
2022-01-10;118,00;119,16;116,66;117,84;259.986;30.684.201
2022-01-07;118,10;118,60;116,36;117,66;356.661;41.848.030
2022-01-06;118,64;120,06;117,38;118,38;445.549;52.918.636
2022-01-05;118,96;121,06;117,16;120,30;339.089;40.522.614
2022-01-04;116,42;119,80;116,00;118,88;417.581;49.411.892
2022-01-03;113,82;116,26;113,16;116,26;357.184;41.209.980
2021-12-30;112,34;112,34;111,30;111,72;233.913;26.151.835
2021-12-29;113,18;113,96;111,64;112,10;245.181;27.648.932
2021-12-28;112,32;113,80;112,30;113,56;198.457;22.456.480
2021-12-27;110,76;112,96;110,10;112,44;168.703;18.906.739
2021-12-23;111,02;112,42;110,66;111,84;305.059;34.058.813
2021-12-22;107,52;111,00;107,52;111,00;445.982;48.675.953
2021-12-21;103,42;106,74;102,82;106,74;302.053;31.667.830
2021-12-20;101,30;103,38;100,30;102,08;386.190;39.394.776
2021-12-17;103,42;104,92;102,16;104,16;765.808;79.224.945
2021-12-16;103,72;104,32;102,38;102,90;606.553;62.493.525
2021-12-15;102,90;102,94;99,78;100,06;226.196;22.836.269
2021-12-14;103,64;104,82;102,28;102,50;374.241;38.697.183
2021-12-13;105,28;105,68;102,40;103,14;326.322;33.965.459
2021-12-10;104,02;107,06;103,38;105,52;338.773;35.890.512
2021-12-09;107,80;107,86;104,98;105,48;263.708;27.917.932
2021-12-08;105,60;108,06;103,66;107,32;662.685;70.390.483
2021-12-07;103,84;106,38;103,22;105,78;557.684;58.694.571
2021-12-06;99,84;103,22;99,11;102,70;492.343;49.854.161
2021-12-03;102,16;103,70;98,03;98,54;574.437;57.704.431
2021-12-02;100,20;102,20;99,93;100,86;506.926;51.172.200
2021-12-01;100,72;102,16;99,21;101,90;722.827;73.208.509
2021-11-30;97,74;101,36;96,83;98,77;924.318;91.497.201
2021-11-29;100,70;102,64;98,72;99,72;769.429;77.310.083
2021-11-26;100,72;102,80;96,64;99,29;1.746.659;174.673.345
2021-11-25;111,68;112,74;110,68;112,26;243.243;27.206.610
2021-11-24;110,84;111,94;109,20;111,54;479.307;53.104.409
2021-11-23;108,72;111,84;108,32;110,40;424.200;46.850.845
2021-11-22;109,86;110,92;108,60;108,86;422.610;46.169.319
2021-11-19;113,50;113,50;108,86;109,48;833.875;92.076.737
2021-11-18;114,68;114,68;112,62;113,34;341.271;38.774.012
2021-11-17;114,58;115,16;114,10;114,50;269.706;30.903.806
2021-11-16;114,70;115,64;113,92;115,06;299.766;34.413.223
2021-11-15;115,00;115,74;113,66;114,14;323.178;37.047.528
2021-11-12;114,20;115,22;112,24;112,24;311.460;35.356.687
2021-11-11;115,90;116,78;113,94;114,54;278.348;32.060.901
2021-11-10;116,30;117,60;115,40;116,22;183.514;21.333.588
2021-11-09;115,28;117,16;115,20;116,34;235.918;27.475.234
2021-11-08;113,88;115,60;113,54;115,60;260.003;29.894.106
2021-11-05;108,32;114,14;107,52;113,90;576.427;64.287.378
2021-11-04;108,90;109,80;107,72;108,88;343.232;37.353.062
2021-11-03;110,20;110,20;107,82;107,98;277.374;30.137.639
2021-11-02;109,14;111,12;108,68;110,18;240.429;26.479.914
2021-11-01;110,96;111,58;109,16;109,72;205.924;22.666.299
2021-10-29;110,70;112,86;109,90;110,56;232.902;25.864.200
2021-10-28;112,58;113,48;110,28;111,96;270.481;30.239.900
2021-10-27;108,98;110,38;108,62;109,84;178.253;19.536.222
