Name,Data,News,Evaluation
Brown-Forman Corporation,02/05/2023,Brown–Forman Announces Chief Information Officer and Jack ...,still open
Brown-Forman Corporation,02/05/2023,Brown-Forman Corporation unveils new Global Travel Retail ...,still open
Brown-Forman Corporation,02/05/2023,Brown‑Forman Declares Cash Dividend,still open
Brown-Forman Corporation,02/05/2023,"Brown-Forman Names New CIO, Jack Daniel's Distillery Appointment",still open
Brown-Forman Corporation,02/05/2023,"Brown-Forman, Churchill Downs announces partnership for ...",still open
Brown-Forman Corporation,02/05/2023,These 4 Measures Indicate That Brown-Forman (NYSE:BF.B) Is Using Debt Safely,still open
Brown-Forman Corporation,02/05/2023,Jack Daniel’s Owner Is Getting Into the Rum Game in a Big Way,still open
Brown-Forman Corporation,02/05/2023,"Premium Spirit Market Size, Share, Growth Statistics By Top Key ...",still open
Brown-Forman Corporation,02/05/2023,Brown–Forman to Purchase Diplomático Rum Brand (October 6 ...,still open
Brown-Forman Corporation,02/05/2023,Brown–Forman Announces Distribution Change in Slovakia in 2023 ...,still open
Brown-Forman Corporation,02/05/2023,Brown–Forman Reports Continued Momentum With Strong First ...,still open
Brown-Forman Corporation,02/05/2023,Brown-Forman builds 'contextually relevant' brands through BBDO ...,still open
Brown-Forman Corporation,02/05/2023,"Brown–Forman to Purchase Gin Mare Brands (September 6, 2022 ...",still open
Brown-Forman Corporation,02/05/2023,Brown–Forman Completes Purchase of Gin Mare Brands ...,still open
Brown-Forman Corporation,02/05/2023,Brown–Forman Delivers Double-Digit Net Sales Growth in the First ...,still open
Brown-Forman Corporation,02/05/2023,Brown–Forman and The Coca-Cola Company Announce Plans to ...,still open
Brown-Forman Corporation,02/05/2023,Brown-Forman to Ring New York Stock Exchange Closing Bell on ...,still open
Brown-Forman Corporation,02/05/2023,"Marshall Farrer, President, Europe, Expands Leadership Role and ...",still open
Brown-Forman Corporation,02/05/2023,Brown–Forman Increases Cash Dividend for 39th Consecutive Year ...,still open
Brown-Forman Corporation,02/05/2023,"Brown–Forman Reports Very Strong, Broad-Based Fiscal 2022 ...",still open
Brown-Forman Corporation,02/05/2023,Brown–Forman Stockholders Elect Directors and Board Approves ...,still open
Brown-Forman Corporation,02/05/2023,Brown–Forman Foundation Announces Partnership with Five ...,still open
Brown-Forman Corporation,02/05/2023,The GlenDronach Distillery Announces Over £30m Investment to ...,still open
Brown-Forman Corporation,02/05/2023,Brown-Forman Second Quarter Earnings Release and Conference ...,still open
Brown-Forman Corporation,02/05/2023,Brown–Forman First Quarter Earnings Release and Conference Call ...,still open
Brown-Forman Corporation,02/05/2023,Brown–Forman to Present at Deutsche Bank's Global Consumer ...,still open
Brown-Forman Corporation,02/05/2023,"Brown–Forman Declares Cash Dividend (May 26, 2022) | Brown ...",still open
Brown-Forman Corporation,02/05/2023,Lakeland Industries Announces CFO Transition,still open
Brown-Forman Corporation,02/05/2023,Brown–Forman to Participate in Barclays Global Consumer Staples ...,still open
Brown-Forman Corporation,02/05/2023,Rodiek Named New Head of Brown–Forman Global Travel Retail ...,still open
Brown-Forman Corporation,02/05/2023,Brown–Forman Announces Chief Information Officer and Chief ...,still open
Brown-Forman Corporation,02/05/2023,The 7 Best Dividend Stocks to Buy for 2023,still open
Brown-Forman Corporation,02/05/2023,Brown–Forman Statement on U.S. and U.K. Tariff Agreement ...,still open
Brown-Forman Corporation,02/05/2023,Brown-Forman Corporation (BF.B) Q2 2023 Earnings Call Transcript,still open
Brown-Forman Corporation,02/05/2023,12 Countries That Export the Most Whiskey in the World,still open
Brown-Forman Corporation,02/05/2023,Brown–Forman Fourth Quarter Earnings Release and Conference ...,still open
Brown-Forman Corporation,02/05/2023,Black History Month 2023: Louisville events and celebrations,still open
Brown-Forman Corporation,02/05/2023,Flavored Spirits Market size was valued at USD 1.9 billion in 2021 ...,still open
Brown-Forman Corporation,02/05/2023,Diageo buys Don Papa rum brand for initial €260mn,still open
Brown-Forman Corporation,02/05/2023,"Jack-and-Coke in a can: Coca-Cola, Brown-Forman debut new drink",still open
Brown-Forman Corporation,02/05/2023,Diageo & Brown-Forman: Like Them Both For Different Reasons,still open
Brown-Forman Corporation,02/05/2023,Where We Operate,still open
Brown-Forman Corporation,02/05/2023,Woodford Reserve Double Double Oaked Is Back For 2023,still open
