Name,Data,News,Evaluation
Diamond Offshore Drilling,02/05/2023,Diamond Offshore-managed drillship kicks off its new gig in Gulf of ...,still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore Drilling Inc (DO) is up 1.53% Wednesday In Premarket Trading,still open
Diamond Offshore Drilling,02/05/2023,"DIAMOND OFFSHORE DRILLING, INC. : Change in Directors or Principal Officers (form 8-K)",still open
Diamond Offshore Drilling,02/05/2023,Transocean Bags Another High-Margin Drillship Contract - Buy ...,still open
Diamond Offshore Drilling,02/05/2023,Beach Energy still on track for first gas from one of its major growth ...,still open
Diamond Offshore Drilling,02/05/2023,"Energy Stocks on the Move Tuesday: FRO, GLOP, DO, INSW, EURN, CEI, PIFYF, CRK",still open
Diamond Offshore Drilling,02/05/2023,Revealed: how world’s biggest fossil fuel firms ‘profited in Myanmar after coup’,still open
Diamond Offshore Drilling,02/05/2023,Offshore Drilling Rigs Market Trends & Opportunities and Forecast to ...,still open
Diamond Offshore Drilling,02/05/2023,Burmese Military Extends State of Emergency as “Silent Protest ...,still open
Diamond Offshore Drilling,02/05/2023,DIAMOND OFFSHORE TO PRESENT AT THE FEARNLEY ...,still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore Drilling (DO) Q3 2022 Earnings Call Transcript,still open
Diamond Offshore Drilling,02/05/2023,"Loss-Making Diamond Offshore Drilling, Inc. (NYSE:DO) Expected To Breakeven In The Medium-Term",still open
Diamond Offshore Drilling,02/05/2023,"Diamond Offshore Seems Cheap, But Beware Of Its Risk (NYSE:DO)",still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore Announces Third Quarter 2022 Results and $429 ...,still open
Diamond Offshore Drilling,02/05/2023,"Positive week for Diamond Offshore Drilling, Inc. (NYSE:DO) institutional investors who control 72% of the company",still open
Diamond Offshore Drilling,02/05/2023,Penny Stocks & What To Watch in the Stock Market This Week 2/6-2/10,still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore Reports Second Quarter 2022 Results and ...,still open
Diamond Offshore Drilling,02/05/2023,DIAMOND OFFSHORE ANNOUNCES NEW FLOATER ...,still open
Diamond Offshore Drilling,02/05/2023,"Headlines for February 02, 2023",still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore Stock: Aiming For A Strong 2023 (NYSE:DO),still open
Diamond Offshore Drilling,02/05/2023,"Offshore Drilling Rigs Market 2023 Size, Industry Share, Emerging Trends | Halliburton, Baker Hughes, Transoce",still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore Nets $429M Drilling Contract in Brazil,still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore Announces First Quarter 2022 Results,still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore Stock: Strong Buy On Discounted Valuation,still open
Diamond Offshore Drilling,02/05/2023,"Elliott Management adds Triple Flag Precious Metals, exits Diamond ...",still open
Diamond Offshore Drilling,02/05/2023,"Aquadrill, Diamond Offshore Extend Auriga Drillship Deal",still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore Drilling Wins New Trial in Personal Injury Suit,still open
Diamond Offshore Drilling,02/05/2023,"Aquadrill, Diamond Offshore in 150-day U.S. GoM Drillship Charter with BP",still open
Diamond Offshore Drilling,02/05/2023,"Fed Raises Interest Rates by 0.25%, with More Hikes Expected",still open
Diamond Offshore Drilling,02/05/2023,85+ People at Washington State Migrant Prison Go on Hunger Strike,still open
Diamond Offshore Drilling,02/05/2023,Iranian Court Sentences Dancing Couple to 5 Years in Prison Amid ...,still open
Diamond Offshore Drilling,02/05/2023,"Black Lives Matter, Slavery Reparations & Queer Theory Stripped ...",still open
Diamond Offshore Drilling,02/05/2023,Half a Million Teachers and Other Workers Bring U.K. to Standstill in ...,still open
Diamond Offshore Drilling,02/05/2023,"Russian Missiles Pound Eastern Ukraine, U.S. to Send Another $2B ...",still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore Announces Relisting on NYSE,still open
Diamond Offshore Drilling,02/05/2023,NYC Police Clear Encampment of Asylum Seekers Outside ...,still open
Diamond Offshore Drilling,02/05/2023,Filipino Activists Protest Deal Granting Greater U.S. Military Access ...,still open
Diamond Offshore Drilling,02/05/2023,House GOP Moves One Step Closer to Ousting Ilhan Omar from ...,still open
Diamond Offshore Drilling,02/05/2023,OTC names 2023 Distinguished Achievement Award recipients,still open
Diamond Offshore Drilling,02/05/2023,Indian shares struggle for direction as Adani rout deepens,still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore's giant semi-sub rig reaches UK,still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore shares making a comeback to NYSE,still open
Diamond Offshore Drilling,02/05/2023,Apache to boost North Sea spending as Diamond Offshore wins rig ...,still open
Diamond Offshore Drilling,02/05/2023,"Diamond Offshore files for bankruptcy, citing 'price war,' coronavirus",still open
Diamond Offshore Drilling,02/05/2023,﻿Oil and Gas Analytics Market 2022 key developmental strategies ...,still open
Diamond Offshore Drilling,02/05/2023,ChampionX Corporation Down 10.65% To $29.04 After Earnings Beat,still open
Diamond Offshore Drilling,02/05/2023,Two Offshore Drilling Firms Set To Merge,still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore Completes Financial Restructuring,still open
Diamond Offshore Drilling,02/05/2023,Stranded Newbuild Drillships Soon to be History,still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore Names CEO,still open
Diamond Offshore Drilling,02/05/2023,"Diamond Offshore Drilling emerges from bankruptcy, CEO leaves ...",still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore Drilling - Consensus Indicates Potential 21.7 ...,still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore emerges from Chapter 11,still open
Diamond Offshore Drilling,02/05/2023,Offshore Drilling Rigs New Products And Geographical Expansion ...,still open
Diamond Offshore Drilling,02/05/2023,"Offshore Drilling Rigs Market Share, Demand, Growth Opportunities ...",still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore To Manage Aquadrill Rig During One-Year GOM Deal,still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore to Manage Aquadrill's Rig for One-year Deal in GoM,still open
Diamond Offshore Drilling,02/05/2023,Transocean Q1 Earnings: Offshore Drilling Recovery Gaining Some ...,still open
Diamond Offshore Drilling,02/05/2023,"Offshore Drilling Market Size Worth USD 56.97 Billion, Globally, by ...",still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore to Wipe $1.8 Billion Debt in Approved Reorg Plan,still open
Diamond Offshore Drilling,02/05/2023,UH Energy Event: Offshore Oil and Gas Workers Well-being and ...,still open
Diamond Offshore Drilling,02/05/2023,Well-Safe Solutions Finds P&A Work for Newly Bought Rig,still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore Drilling CFO joins Great Lakes Dredge & Dock ...,still open
Diamond Offshore Drilling,02/05/2023,"Diamond Offshore, Creditors Agree Debt Restructuring Plan",still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore's New CEO to Earn $700k + Bonuses,still open
Diamond Offshore Drilling,02/05/2023,BHP Books Aquadrill's Vela Drillship for Gulf of Mexico Drilling,still open
Diamond Offshore Drilling,02/05/2023,Seadrill makes NYSE comeback - Splash247,still open
Diamond Offshore Drilling,02/05/2023,Let's go surfing now: Beach wraps up landmark offshore drilling ...,still open
Diamond Offshore Drilling,02/05/2023,SapuraOMV Set to Spud Kanga-1 Well Offshore W. Australia,still open
Diamond Offshore Drilling,02/05/2023,Seadrill Names Ex-Borr Drilling Boss as Its New CEO,still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore names new leadership,still open
Diamond Offshore Drilling,02/05/2023,Australia news live: Hillsong names married couple as church ...,still open
Diamond Offshore Drilling,02/05/2023,SapuraOMV Drills Duster at Kanga Prospect Offshore W. Australia,still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore Latest in Industry to Complete Restructuring Plan,still open
Diamond Offshore Drilling,02/05/2023,Well-Safe Solutions Takes Over WilPhoenix Rig from Awilco Drilling,still open
Diamond Offshore Drilling,02/05/2023,Maersk Training in 3-year Deal with Diamond Offshore,still open
Diamond Offshore Drilling,02/05/2023,Will Diamond Offshore Drilling Inc (DO) Stay at the Top of the Energy Sector?,still open
Diamond Offshore Drilling,02/05/2023,Mariners advised of offshore drilling rig off Victorian coast - Daily ...,still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore Sells Semi-Sub Ocean Guardian (NYSE:DO),still open
Diamond Offshore Drilling,02/05/2023,"Offshore Drilling Rigs Market : Industry Analysis, Size, Share,Future ...",still open
Diamond Offshore Drilling,02/05/2023,Rigs report: Total to drill off Lebanon in 2023; Guyana block auctions ...,still open
Diamond Offshore Drilling,02/05/2023,Former Pacific Drilling boss to lead Diamond Offshore - Splash247,still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore Sells Off After Q1 Results Despite Material New ...,still open
Diamond Offshore Drilling,02/05/2023,"COLUMN | Riding the rollercoaster (again): ARO, Deep Value Driller ...",still open
Diamond Offshore Drilling,02/05/2023,Cramer's lightning round: I like Blackstone over Apollo Global,still open
Diamond Offshore Drilling,02/05/2023,New assignment for Aquadrill drillship in Indonesia,still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore scores work for floater pair - Splash247,still open
Diamond Offshore Drilling,02/05/2023,Fossil Fuel Industry Plans To Hijack Offshore Wind In Gulf Of Mexico,still open
Diamond Offshore Drilling,02/05/2023,All approvals ready for Australian well drilling to kick off next month,still open
Diamond Offshore Drilling,02/05/2023,Offshore buoyant on rising tide,still open
Diamond Offshore Drilling,02/05/2023,Do Traders Think Diamond Offshore Drilling Inc (DO) Can Keep Climbing Wednesday?,still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore Drilling: New Fleet Analysis As Of December 16 ...,still open
Diamond Offshore Drilling,02/05/2023,"Beach Energy, Diamond Offshore Settle Dispute over Ocean Onyx Rig Deal. Sign New Contract",still open
Diamond Offshore Drilling,02/05/2023,The Offshore Drilling Comeback Takes the Road Less Profitable,still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore Drilling: Scrapping Ahead (NYSE:DO),still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore Set To Reactivate Ocean Onyx (NYSE:DO),still open
Diamond Offshore Drilling,02/05/2023,Wood hired to support Senegal's first offshore oil development,still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore February 2019 Fleet Status Report Analysis ...,still open
Diamond Offshore Drilling,02/05/2023,"Diamond Offshore to Scrap Half-Dozen Rigs, Fleet Now Contracted ...",still open
Diamond Offshore Drilling,02/05/2023,Greatwhite mega-rig resurfaces at Kishorn Port after four years,still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore Drilling Inc (DO) is up 1.53% Wednesday In Premarket Trading,still open
Diamond Offshore Drilling,02/05/2023,"Borr Drilling Stock: Impressive Results & Outlook, Buy (NYSE:BORR)",still open
Diamond Offshore Drilling,02/05/2023,Transocean Bags Another High-Margin Drillship Contract - Buy ...,still open
Diamond Offshore Drilling,02/05/2023,"Energy Stocks on the Move Tuesday: FRO, GLOP, DO, INSW, EURN, CEI, PIFYF, CRK",still open
Diamond Offshore Drilling,02/05/2023,"DIAMOND OFFSHORE DRILLING, INC. : Change in Directors or Principal Officers (form 8-K)",still open
Diamond Offshore Drilling,02/05/2023,Penny Stocks & What To Watch in the Stock Market This Week 2/6-2/10,still open
Diamond Offshore Drilling,02/05/2023,"Diamond Offshore Seems Cheap, But Beware Of Its Risk (NYSE:DO)",still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore Stock: Aiming For A Strong 2023 (NYSE:DO),still open
Diamond Offshore Drilling,02/05/2023,"Positive week for Diamond Offshore Drilling, Inc. (NYSE:DO) institutional investors who control 72% of the company",still open
Diamond Offshore Drilling,02/05/2023,"Loss-Making Diamond Offshore Drilling, Inc. (NYSE:DO) Expected To Breakeven In The Medium-Term",still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore Stock: Strong Buy On Discounted Valuation,still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore Drilling (DO) Q3 2022 Earnings Call Transcript,still open
Diamond Offshore Drilling,02/05/2023,"Elliott Management adds Triple Flag Precious Metals, exits Diamond ...",still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore Drilling Posts Q3 Profit Of $5.51 Mln,still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore shares making a comeback to NYSE,still open
Diamond Offshore Drilling,02/05/2023,ChampionX Corporation Down 10.65% To $29.04 After Earnings Beat,still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore Announces Relisting on NYSE,still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore Announces First Quarter 2022 Results,still open
Diamond Offshore Drilling,02/05/2023,Rigs report: Diamond Offshore lands US$429M contract; Guyana to ...,still open
Diamond Offshore Drilling,02/05/2023,Seadrill Limited Announces Agreement to Acquire Aquadrill LLC in ...,still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore Reports Second Quarter 2022 Results and ...,still open
Diamond Offshore Drilling,02/05/2023,DIAMOND OFFSHORE ANNOUNCES NEW FLOATER ...,still open
Diamond Offshore Drilling,02/05/2023,Seadrill makes NYSE comeback - Splash247,still open
Diamond Offshore Drilling,02/05/2023,Transocean Q1 Earnings: Offshore Drilling Recovery Gaining Some ...,still open
Diamond Offshore Drilling,02/05/2023,Cramer's lightning round: I like Blackstone over Apollo Global,still open
Diamond Offshore Drilling,02/05/2023,"Diamond Offshore files for bankruptcy, citing 'price war,' coronavirus",still open
Diamond Offshore Drilling,02/05/2023,Rising market set to be tested by Reserve Bank - weekly review,still open
Diamond Offshore Drilling,02/05/2023,Transocean: Long-Term Contract Commitments Are Back (NYSE:RIG),still open
Diamond Offshore Drilling,02/05/2023,Borr Drilling Stock: Recent Outperformance Unlikely To Persist ...,still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore Completes Financial Restructuring,still open
Diamond Offshore Drilling,02/05/2023,Will Diamond Offshore Drilling Inc (DO) Stay at the Top of the Energy Sector?,still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore Sells Semi-Sub Ocean Guardian (NYSE:DO),still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore Drilling - Consensus Indicates Potential 21.7 ...,still open
Diamond Offshore Drilling,02/05/2023,Transocean Stock: Strong Fleet Status Report But Issues Remain ...,still open
Diamond Offshore Drilling,02/05/2023,Diamond Offshore Sells Off After Q1 Results Despite Material New ...,still open
Diamond Offshore Drilling,02/05/2023,Do Traders Think Diamond Offshore Drilling Inc (DO) Can Keep Climbing Wednesday?,still open
Diamond Offshore Drilling,02/05/2023,Vantage Drilling: Will It Be Up For Sale After Recent Jackup ...,still open
Diamond Offshore Drilling,02/05/2023,Why Offshore Drilling Stocks Are Sinking Today,still open
Diamond Offshore Drilling,02/05/2023,Valaris Stock: Jackup Sale To ADES Is Great News (NYSE:VAL),still open
Diamond Offshore Drilling,02/05/2023,Borr Drilling: Convertible Debt Overhang; Constructive Outlook,still open
