Name,Data,News,Evaluation
Electronic Arts,02/05/2023,EA's surprise Apex Legends Mobile shutdown leads to a pivot,still open
Electronic Arts,02/05/2023,Electronic Arts (EA) Cancels and Delays Upcoming Game Titles,still open
Electronic Arts,02/05/2023,Electronic Arts stock plunges more than 10% as mobile versions of popular games shelved amid cuts,still open
Electronic Arts,02/05/2023,Russian officials are considering a 'Russian Electronic Arts' to save the country's crumbling games industry,still open
Electronic Arts,02/05/2023,"Stocks making the biggest moves after hours: Snap, Electronic Arts, Advanced Micro Devices and more",still open
Electronic Arts,02/05/2023,Electronic Arts Cancels Secret Apex Legends Game in Development,still open
Electronic Arts,02/05/2023,"Stocks making the biggest premarket moves: Peloton, Snap, AMD, Electronic Arts & more",still open
Electronic Arts,02/05/2023,Electronic Arts cuts bookings view on 'Star Wars' game delay ...,still open
Electronic Arts,02/05/2023,"Electronic Arts Falls on Weak Forecast, Star Wars Game Delay",still open
Electronic Arts,02/05/2023,Why Electronic Arts Stock Dropped Today,still open
Electronic Arts,02/05/2023,Electronic Arts (EA) Cancels and Delays Upcoming Game Titles,still open
Electronic Arts,02/05/2023,EA reportedly cancels single-player Apex Legends game set in ...,still open
Electronic Arts,02/05/2023,Electronic Arts Inc. Forecasted to Post Q1 2024 Earnings of $0.37 ...,still open
Electronic Arts,02/05/2023,Electronic Arts Stock: Low Net Bookings Growth Concerning ...,still open
Electronic Arts,02/05/2023,"Electronic Arts, WestRock fall; Stryker, Peloton rise",still open
Electronic Arts,02/05/2023,Electronic Arts Spotlights Accessibility Features In Motive’s All-New ‘Dead Space’ Revival,still open
Electronic Arts,02/05/2023,Electronic Arts to shut down popular mobile game title co-developed with Tencent,still open
Electronic Arts,02/05/2023,Electronic Arts (EA) Declares $0.19 Dividend,still open
Electronic Arts,02/05/2023,Electronic Arts (EA) to Present NFL Pro Bowl 2023 on Feb 4,still open
Electronic Arts,02/05/2023,"Midday movers: Peloton Interactive, Electronic Arts, Match Group and more",still open
Electronic Arts,02/05/2023,Here's What To Expect From Electronic Arts' Q3,still open
Electronic Arts,02/05/2023,Berklee College & Electronic Arts Music Announce 'Next Gen ...,still open
Electronic Arts,02/05/2023,"Stocks to Watch: Snap, Electronic Arts, AMD, Match",still open
Electronic Arts,02/05/2023,Electronic Arts cuts bookings view on 'Star Wars' game delay ...,still open
Electronic Arts,02/05/2023,Electronic Arts Enters Oversold Territory (EA),still open
Electronic Arts,02/05/2023,Two-Time Formula 1 World Champion Max Verstappen Inks ...,still open
Electronic Arts,02/05/2023,Investing In Electronic Arts Three Years Ago Fetches Shareholders A 12% Gain,still open
Electronic Arts,02/05/2023,Electronic Arts and Respawn Delay Star Wars Jedi: Survivor for a Month!,still open
Electronic Arts,02/05/2023,"Electronic Arts Inc. stock falls Friday, underperforms market",still open
Electronic Arts,02/05/2023,"Electronic Arts Inc. stock falls Tuesday, underperforms market",still open
Electronic Arts,02/05/2023,Alaska Permanent Fund Corp Purchases 1576 Shares of Electronic ...,still open
Electronic Arts,02/05/2023,Electronic Arts Inc. (NASDAQ:EA) Stock Position Decreased by Tobam,still open
Electronic Arts,02/05/2023,"Goldman Sachs Cuts Price Target on Electronic Arts to $118 From $131, Maintains Neutral Rating",still open
Electronic Arts,02/05/2023,"Truist Securities Cuts Price Target on Electronic Arts to $130 From $150, Maintains Buy Rating",still open
Electronic Arts,02/05/2023,Rumor: EA Iron Man Game Could Be Using Unreal Engine,still open
Electronic Arts,02/05/2023,KeyCorp Weighs in on Electronic Arts Inc.'s Q1 2024 Earnings ...,still open
Electronic Arts,02/05/2023,"Truist Securities Maintains Buy on Electronic Arts, Lowers Price ...",still open
Electronic Arts,02/05/2023,Bard Film and Electronic Arts Professors Ephraim Asili MFA '11 and ...,still open
Electronic Arts,02/05/2023,2 Gaming Stocks That Could Help Make You a Fortune,still open
Electronic Arts,02/05/2023,Amazon not expected to bid for Electronic Arts,still open
Electronic Arts,02/05/2023,Electronic Arts Awards Scholarships to UCF Students to Increase Diversity in Gaming Industry,still open
Electronic Arts,02/05/2023,Can Electronic Arts Buck the Downturn in Videogaming?,still open
