Name,Data,News,Evaluation
Family Dollar Stores,02/05/2023,"Overcharged: Reports detail price mistakes at Ohio’s Dollar General, Family Dollar stores",still open
Family Dollar Stores,02/05/2023,Houston Family Dollar robbery: 18-year-old shot in chin on Airline Drive; 4 people on the run,still open
Family Dollar Stores,02/05/2023,Monroe woman accused of threatening Family Dollar Store worker after being questioned about motor oil; arrested,still open
Family Dollar Stores,02/05/2023,A combined Family Dollar/Dollar Tree store set for Wilmington NC area,still open
Family Dollar Stores,02/05/2023,"Amid food inflation, more shoppers turn to dollar stores for groceries",still open
Family Dollar Stores,02/05/2023,"6 Family Dollar stores, 4 Dollar Generals in eastern NC fined for ...",still open
Family Dollar Stores,02/05/2023,"RR man wanted in Store Next Door, Family Dollar heists",still open
Family Dollar Stores,02/05/2023,"Instead of the Family Dollar, try family-run",still open
Family Dollar Stores,02/05/2023,"Danger in stock: Department of Labor finds Columbus, Ohio, Dollar ...",still open
Family Dollar Stores,02/05/2023,Family Dollar store clerk expected to survive after being shot by robbery suspect in North Houston on Airline Drive,still open
Family Dollar Stores,02/05/2023,Akron police searching for suspected man in Family Dollar robbery,still open
Family Dollar Stores,02/05/2023,Seligman Man Arrested After He Drove Into A Family Dollar Store In ...,still open
Family Dollar Stores,02/05/2023,Ocala man jailed after carrying machete in Family Dollar store,still open
Family Dollar Stores,02/05/2023,Man Stabbed Inside Yonkers Family Dollar Store,still open
Family Dollar Stores,02/05/2023,"Family Dollar employee disciplined for calling in sick too much pulls gun on boss, records show",still open
Family Dollar Stores,02/05/2023,Three defendants given life in prison in Flint Family Dollar homicide case,still open
Family Dollar Stores,02/05/2023,10 Ways the Dollar Store Could Actually Be Costing You More,still open
Family Dollar Stores,02/05/2023,Ross County - Attempted Break-In at Local Family Dollar Store,still open
Family Dollar Stores,02/05/2023,"Vigo County food inspections: Jan. 23-27, 2023 | Local News ...",still open
Family Dollar Stores,02/05/2023,OSHA News Releases – Enforcement | Occupational Safety and ...,still open
Family Dollar Stores,02/05/2023,Dollar stores pose increasing threat: report,still open
Family Dollar Stores,02/05/2023,Police: Armed man robbed two Detroit stores in less than an hour,still open
Family Dollar Stores,02/05/2023,"Suspects wanted after robbing Detroit dollar store twice, assaulting employee",still open
Family Dollar Stores,02/05/2023,Retail Store Openings In 2023 And Beyond,still open
Family Dollar Stores,02/05/2023,Man reportedly admits to sex crimes to store employees after ...,still open
Family Dollar Stores,02/05/2023,Reclaiming history,still open
Family Dollar Stores,02/05/2023,Dollar Tree sees increase in customers due to El Pasoans tightening budgets,still open
Family Dollar Stores,02/05/2023,4 Investigates: The impact of retail crime - KOB.com,still open
Family Dollar Stores,02/05/2023,Family of teen fatally shot by Gulfport officer demands release of bodycam footage,still open
Family Dollar Stores,02/05/2023,"'Pass me the fire, bae': Woman pulls gun on pair over online gossip ...",still open
Family Dollar Stores,02/05/2023,"Bargain Town closes Bessemer store, the final location in once booming chain",still open
Family Dollar Stores,02/05/2023,Shreveport PD settles suit over alleged beating of Black man for ...,still open
Family Dollar Stores,02/05/2023,2 Stocks to Buy Other Than Meta With Unusual Options Activity ...,still open
Family Dollar Stores,02/05/2023,"The Supply Side: Retail store closures, openings expected to ...",still open
Family Dollar Stores,02/05/2023,Accused mother-daughter bank robbers now face federal charges,still open
Family Dollar Stores,02/05/2023,"Operation Love Drop preparing hygiene gifts for elderly, disabled in ...",still open
Family Dollar Stores,02/05/2023,Minneapolis Man Pleads Guilty to Firearms Charges,still open
Family Dollar Stores,02/05/2023,"Insteel earnings down, outlook still up",still open
Family Dollar Stores,02/05/2023,Phyllis Mama D Benson Dollar Obituary (1946 - 2023),still open
Family Dollar Stores,02/05/2023,US Consumer Tracker Extra: Which Consumers Are Trading Down ...,still open
Family Dollar Stores,02/05/2023,Police identify suspect killed in gunfire exchange with store clerk during robbery attempt in East Hartford,still open
Family Dollar Stores,02/05/2023,'Get Organized With The Home Edit' Makes Organizing a Hobby for ...,still open
Family Dollar Stores,02/05/2023,"Think globally, at locally: get paid",still open
Family Dollar Stores,02/05/2023,Voluntary Recall of Certain Colgate Products Sold at Family Dollar ...,still open
Family Dollar Stores,02/05/2023,US Department of Labor finds Family Dollar Stores again exposing ...,still open
Family Dollar Stores,02/05/2023,Mount Airy man jailed in Stuart shooting,still open
Family Dollar Stores,02/05/2023,"Earnings Estimates for Dollar Tree, Inc. are Reduced by Telsey ...",still open
Family Dollar Stores,02/05/2023,Recall alert: Family Dollar recalls some Colgate products sold in Georgia stores,still open
Family Dollar Stores,02/05/2023,Family Dollar store in James City to close its doors permanently,still open
Family Dollar Stores,02/05/2023,Family Dollar is a mess. It hopes lowering prices will help,still open
Family Dollar Stores,02/05/2023,Family Dollar hit with $1.2 million in OSHA fines for violations at 2 Ohio stores,still open
Family Dollar Stores,02/05/2023,"Alabama tornado updates: Damage reported in Selma, Autauga ...",still open
Family Dollar Stores,02/05/2023,US Department of Labor proposes more than $330K in penalties to ...,still open
Family Dollar Stores,02/05/2023,"Auditor: Overcharging at local Dollar General, Family Dollar stores unprecedented",still open
Family Dollar Stores,02/05/2023,City teacher gets ‘Going Local’ grant,still open
Family Dollar Stores,02/05/2023,US Dep of Labor Finds Family Dollar Stores Again Exposing ...,still open
Family Dollar Stores,02/05/2023,Family Dollar recalls 425 over-the-counter products that were improperly stored,still open
Family Dollar Stores,02/05/2023,Dollar Tree & Family Dollar to Host Nationwide Hiring Event on ...,still open
Family Dollar Stores,02/05/2023,‘Bait advertising’ Ohio AG sues Family Dollar after more Butler County stores fail price checks,still open
Family Dollar Stores,02/05/2023,Suspect arrested in connection to shooting death of Dallas store employee,still open
Family Dollar Stores,02/05/2023,Dollar Tree trims profit forecast on price cuts at Family Dollar,still open
Family Dollar Stores,02/05/2023,Video shows Family Dollar workers holding thief in chokehold after stealing from store,still open
Family Dollar Stores,02/05/2023,Local Family Dollar stores impacted by FDA recalls - Daily Leader,still open
Family Dollar Stores,02/05/2023,Vicksburg Family Dollar stores affected by regional warehouse ...,still open
