Name,Data,News,Evaluation
HeidelbergCement,02/05/2023,HeidelbergCement AG (OTCMKTS:HDELY) Given Average ...,still open
HeidelbergCement,02/05/2023,HeidelbergCement : Declaration of Compliance 13/30 January 2023,still open
HeidelbergCement,02/05/2023,HeidelbergCement : Heidelberg Materials places first sustainability-linked bond – Interest rate linked to industry's most ambitious climate targets,still open
HeidelbergCement,02/05/2023,"HeidelbergCement India Ltd Share Price, HEIDELBERG Stock Price ...",still open
HeidelbergCement,02/05/2023,HeidelbergCement : Heidelberg Materials to build one-of-a-kind hybrid carbon capture unit at its Belgian Antoing cement plant,still open
HeidelbergCement,02/05/2023,"Construction Materials Market Size, Share, Growth Statistics By Top ...",still open
HeidelbergCement,02/05/2023,"Holcim: I Like Heidelberg More, But Holcim Is Safer (OTCMKTS ...",still open
HeidelbergCement,02/05/2023,Cement Market to Register CAGR 5.00% Growth by 2028 | CEMEX ...,still open
HeidelbergCement,02/05/2023,Piezo Ceramic Technology Market Biggest Innovation with Top Key ...,still open
HeidelbergCement,02/05/2023,HeidelbergCement (HDELY): Showcasing A Massive Upside; Buy,still open
HeidelbergCement,02/05/2023,Best Value Stocks to Buy for January 13th,still open
HeidelbergCement,02/05/2023,Circular economy expanded : Heidelberg Materials acquires leading recycling company in Southern Germany,still open
HeidelbergCement,02/05/2023,HeidelbergCement: Positive Q3 Results (OTCMKTS:HDELY),still open
HeidelbergCement,02/05/2023,"Construction Materials Sales Market Share, Trends, Size And ...",still open
HeidelbergCement,02/05/2023,"Marcelino Ugarte, General Manager, Heidelberg Cement Asia ...",still open
HeidelbergCement,02/05/2023,“Our future is sustainable”: HeidelbergCement rebrands as ...,still open
HeidelbergCement,02/05/2023,"Lightweight Aggregate Concrete Market Size, Share, Growth ...",still open
HeidelbergCement,02/05/2023,Shotcrete/Sprayed Concrete Market is Projected to Reach at a ...,still open
HeidelbergCement,02/05/2023,HeidelbergCement: Again A Buy (OTCMKTS:HDELY),still open
HeidelbergCement,02/05/2023,HeidelbergCement AG (HLBZF) Q3 2022 Earnings Call Transcript,still open
HeidelbergCement,02/05/2023,"Accused Of Polluting, Georgian Cement Giant Faces Few Consequences",still open
HeidelbergCement,02/05/2023,European Stocks Close Higher,still open
HeidelbergCement,02/05/2023,HeidelbergCement To Build Its Largest Ever Carbon Capture Project ...,still open
HeidelbergCement,02/05/2023,HeidelbergCement : Heidelberg Materials weathers high energy costs,still open
HeidelbergCement,02/05/2023,HeidelbergCement India net profit falls 88% in July-September,still open
HeidelbergCement,02/05/2023,"HeidelbergCement Stock: Exposure In Russia, Confirming Buy Rating",still open
HeidelbergCement,02/05/2023,"Holcim, HeidelbergCement Said to Compete for Sika US Unit",still open
HeidelbergCement,02/05/2023,HeidelbergCement invests in maturity sensor technology developer ...,still open
HeidelbergCement,02/05/2023,Heidelberg Cement Headquarters / AS+P,still open
HeidelbergCement,02/05/2023,Construction Aggregates Market to Witness Massive Growth by ...,still open
HeidelbergCement,02/05/2023,"This cement stock fixes record date for 90% dividend, takes the yield to 4.78% | Mint",still open
HeidelbergCement,02/05/2023,"HeidelbergCement CEO optimistic for 2022, flags new CO2 roadmap",still open
HeidelbergCement,02/05/2023,Significant H1 revenue growth for HeidelbergCement,still open
HeidelbergCement,02/05/2023,HeidelbergCement buys 50% share in CBI,still open
HeidelbergCement,02/05/2023,HeidelbergCement steps up Slite CCS project,still open
HeidelbergCement,02/05/2023,HeidelbergCement freezes investments in Russian operations ...,still open
HeidelbergCement,02/05/2023,HeidelbergCement to mine circular building materials in Heidelberg,still open
