Name,Data,News,Evaluation
Humana Inc.,02/05/2023,Humana profit beats estimates as investment income exceeds ...,still open
Humana Inc.,02/05/2023,Humana Inc. (NYSE:HUM) Q4 2022 Earnings Call Transcript,still open
Humana Inc.,02/05/2023,Medicare Advantage Health Insurer Humana Seeks Details on ...,still open
Humana Inc.,02/05/2023,"Humana Inc. stock falls Friday, underperforms market",still open
Humana Inc.,02/05/2023,Humana Announces Senior Leadership Appointments,still open
Humana Inc.,02/05/2023,Signaturefd LLC Has $995000 Holdings in Humana Inc. (NYSE:HUM),still open
Humana Inc.,02/05/2023,Humana Inc. stock underperforms Friday when compared to competitors,still open
Humana Inc.,02/05/2023,Humana Inc Q4 Earnings Summary,still open
Humana Inc.,02/05/2023,Fitch Affirms Humana's IDR at 'BBB+'; Outlook Stable,still open
Humana Inc.,02/05/2023,Humana Inc. (HUM) is Attracting Investor Attention: Here is What ...,still open
Humana Inc.,02/05/2023,Humana CFO: Primary Care Growth To Accelerate Home Health ...,still open
Humana Inc.,02/05/2023,"Humana Inc. stock falls Tuesday, still outperforms market",still open
Humana Inc.,02/05/2023,BlackRock Inc. Cuts Stake in Humana Inc (HUM),still open
Humana Inc.,02/05/2023,"Humana Inc. stock falls Monday, underperforms market",still open
Humana Inc.,02/05/2023,Go365 by Humana Announces Winners of Fifth Annual National ...,still open
Humana Inc.,02/05/2023,Health-insurance stocks drop after Medicare Advantage proposes ...,still open
Humana Inc.,02/05/2023,"Humana, an insurance company that doesn't lack appeal",still open
Humana Inc.,02/05/2023,Humana Inc. (HUM) Is a Trending Stock: Facts to Know Before ...,still open
Humana Inc.,02/05/2023,"Humana Inc. stock rises Friday, still underperforms market",still open
Humana Inc.,02/05/2023,"Why United Health, Humana And CVS Health Shares Are Moving Lower In Monday's After-Hours Session - United",still open
Humana Inc.,02/05/2023,"Humana, Feeding America® Partner to Support Mobile Food Pantries",still open
Humana Inc.,02/05/2023,Q1 2023 EPS Estimates for Humana Inc. (NYSE:HUM) Increased by ...,still open
Humana Inc.,02/05/2023,Rite Aid names ex-Humana exec Elizabeth Burr as interim CEO,still open
Humana Inc.,02/05/2023,Mn Services Vermogensbeheer B.V. Sells 3700 Shares of Humana ...,still open
Humana Inc.,02/05/2023,Humana Inc. (NYSE:HUM) Shares Acquired by Russell Investments ...,still open
Humana Inc.,02/05/2023,Q4 2022 EPS Estimates for Humana Inc. Decreased by Analyst ...,still open
Humana Inc.,02/05/2023,"Transcript : Humana Inc. Presents at 41st Annual J.P. Morgan Healthcare Conference, Jan-09-2023 03",still open
Humana Inc.,02/05/2023,Medicare Advantage Health Plans Face $4.7B Clawback From ...,still open
Humana Inc.,02/05/2023,Humana (NYSE:HUM) Releases FY23 Earnings Guidance,still open
Humana Inc.,02/05/2023,10 Hot Insurance Stocks To Buy Now,still open
Humana Inc.,02/05/2023,Humana is Oversold,still open
Humana Inc.,02/05/2023,"Cigna (CI) Q4 Earnings Top on U.S. Commercial Unit, Dividend Up",still open
Humana Inc.,02/05/2023,"Notable Friday Option Activity: XOM, HUM, GS",still open
Humana Inc.,02/05/2023,U.S. stock futures shift lower as investors brace for Fed policy decision,still open
Humana Inc.,02/05/2023,Avanlee Care Joins Forces with Major Retailer on Caregiver Support,still open
Humana Inc.,02/05/2023,"Movers: 1800 Flowers, Advanced Drainage, Becton Dickinson ...",still open
Humana Inc.,02/05/2023,"Meta Platforms, Snap And 3 Stocks To Watch Heading Into Wednesday",still open
Humana Inc.,02/05/2023,Thermo Fisher Scientific To Rally Over 20%? Here Are 10 Other Analyst Forecasts For Thursday - Alaska Air,still open
Humana Inc.,02/05/2023,Oak Hill partners up with Renick to form new platform Petauri Health,still open
Humana Inc.,02/05/2023,"Thursday, February 2, 2023",still open
Humana Inc.,02/05/2023,"Can Market Sustain Upward Momentum In Tech-Heavy Earnings Week? Apple, Amazon, AMD, Alphabet, Ford Among",still open
Humana Inc.,02/05/2023,NATR: 5 No-Brainer Medical Stocks to Buy in 2023,still open
Humana Inc.,02/05/2023,Thermo Fisher Scientific Guides FY23 Above Estimates - Update,still open
Humana Inc.,02/05/2023,Forty-six community leaders selected for Bingham Fellows Class of ...,still open
Humana Inc.,02/05/2023,Humana Eclipses $1 Billion Profit On Medicare Growth And Lower Costs,still open
Humana Inc.,02/05/2023,Striking Truckers picket Roads near Somerset | Community ...,still open
Humana Inc.,02/05/2023,Humana Share Price (NYSE:HUM) Falls as Medical Costs ...,still open
Humana Inc.,02/05/2023,Humana Inc. (HUM) Q3 2022 Earnings Call Transcript,still open
Humana Inc.,02/05/2023,"Getting to Know the Humana Inc. Leaders, Founders, and Executives",still open
Humana Inc.,02/05/2023,Humana to Expand Medicaid Services in Wisconsin with Acquisition ...,still open
Humana Inc.,02/05/2023,Humana Plans To Close Majority Of Its SeniorBridge Home Care ...,still open
Humana Inc.,02/05/2023,AM Best Assigns Issue Credit Rating to Humana Inc.'s Senior ...,still open
Humana Inc.,02/05/2023,What Are the Top Humana Government Contracts?,still open
Humana Inc.,02/05/2023,Is Humana (HUM) an Attractive Investment Opportunity?,still open
Humana Inc.,02/05/2023,"Humana Inc. Leaders, Founders, and Executives: Who Are They?",still open
Humana Inc.,02/05/2023,Bull of the Day: Humana Inc. (HUM),still open
Humana Inc.,02/05/2023,Humana Inc. stock underperforms Thursday when compared to competitors,still open
