Name,Data,News,Evaluation
Phillips 66,02/05/2023,Two world-class projects anchor CPChem's growth ambitions,still open
Phillips 66,02/05/2023,Refiner Phillips 66 joins rivals in posting sky-high profit,still open
Phillips 66,02/05/2023,Phillips 66 plans refineries to run at mid-80% of capacity in Q1 2023 ...,still open
Phillips 66,02/05/2023,Layoffs hit DCP Midstream amid Phillips 66 acquisition - Houston ...,still open
Phillips 66,02/05/2023,Diversity conferences deliver networking and growth opportunities,still open
Phillips 66,02/05/2023,Sweeny Refinery certified to process pyrolysis oil from waste plastics,still open
Phillips 66,02/05/2023,State Street Increases Position in Phillips 66 (PSX),still open
Phillips 66,02/05/2023,Returns Are Gaining Momentum At Phillips 66 (NYSE:PSX),still open
Phillips 66,02/05/2023,Six injured in fire at Phillips 66 Texas refinery tank farm,still open
Phillips 66,02/05/2023,Phillips 66 (PSX) Gears Up for Q4 Earnings: What's in Store?,still open
Phillips 66,02/05/2023,"$1M Bet On Phillips 66? Check Out These 3 Stocks Insiders Are Buying - Byline Bancorp (NYSE:BY), Motorspo",still open
Phillips 66,02/05/2023,"Phillips 66, Vivakor the only losers among Energy/Materials stocks ...",still open
Phillips 66,02/05/2023,"Price Gouging Payout: Exxon, Marathon & Phillips 66 Posts $82.5B ...",still open
Phillips 66,02/05/2023,BRR OpCo LLC Sells 6113 Shares of Phillips 66 (NYSE:PSX),still open
Phillips 66,02/05/2023,Phillips 66 (NYSE:PSX) Shares Acquired by Citizens National Bank ...,still open
Phillips 66,02/05/2023,Phillips 66: Q4 Earnings Snapshot,still open
Phillips 66,02/05/2023,Phillips 66 (PSX) to Acquire All Public DCP Midstream Units,still open
Phillips 66,02/05/2023,Chevron Sold Venezuelan Oil To Phillips 66,still open
Phillips 66,02/05/2023,We Think Phillips 66 (NYSE:PSX) Can Stay On Top Of Its Debt,still open
Phillips 66,02/05/2023,Phillips 66 Reports Above-Normal Emissions at Texas Oil Refinery,still open
Phillips 66,02/05/2023,"Up 50% in The 2022 Bear Market, Is Phillips 66 Still a Winner?",still open
Phillips 66,02/05/2023,"Phillips 66 refinery provides $1.2M in gifts, work during 2022",still open
Phillips 66,02/05/2023,Phillips 66 confirms death of Austin Industrial contractor following ...,still open
Phillips 66,02/05/2023,Phillips 66’s Santa Maria Refinery on Nipomo Mesa shuttered Friday,still open
Phillips 66,02/05/2023,Phillips 66 responds to odorant spill - Jefferson City,still open
Phillips 66,02/05/2023,"Marathon Petroleum tops profit estimates on high demand, tight ...",still open
Phillips 66,02/05/2023,"Phillips 66 stock rises Thursday, outperforms market",still open
Phillips 66,02/05/2023,"Phillips 66 Company (PSX) And DCP Midstream, LP (DCP) Reach ...",still open
Phillips 66,02/05/2023,Babcock & Wilcox Awarded Contract to Support Phillips 66 Carbon ...,still open
Phillips 66,02/05/2023,Phillips 66 recently made a donation of $50 | Ponca City News,still open
Phillips 66,02/05/2023,4 Firms Lead $3.8B Phillips 66 Midstream Stock Acquisition,still open
Phillips 66,02/05/2023,Why Phillips 66 is a Top Socially Responsible Dividend Stock (PSX),still open
Phillips 66,02/05/2023,Rice named Phillips 66 Big 12 Men’s Basketball Newcomer of the ...,still open
Phillips 66,02/05/2023,Phillips 66 (PSX) is Attracting Investor Attention: Here is What You ...,still open
Phillips 66,02/05/2023,U.S. refiners expect Russian fuel sanctions to keep margins high,still open
Phillips 66,02/05/2023,Phillips 66 Misses Q4 EPS by 47c By Investing.com,still open
Phillips 66,02/05/2023,Cowboys Rout Oklahoma in First Phillips 66 Bedlam Series Matchup,still open
Phillips 66,02/05/2023,"Zacks Value Investor Highlights: Deutsche Bank, LendingTree ...",still open
Phillips 66,02/05/2023,"Grover Phillips, 66 - The Advocate-Messenger",still open
Phillips 66,02/05/2023,"Vintage ""Phillips 66"" Signs Stolen in Brookings | Local News ...",still open
Phillips 66,02/05/2023,Avantax Advisory Services Inc. Buys 1146 Shares of Phillips 66 ...,still open
Phillips 66,02/05/2023,Phillips 66 Wood River Refinery | Let's Talk | advantagenews.com,still open
