Name,Data,News,Evaluation
Reynolds American Inc.,02/05/2023,Driving Faster Transformation at BAT: Management Board changes ...,still open
Reynolds American Inc.,02/05/2023,TOP NEWS: British American Tobacco revamps...,still open
Reynolds American Inc.,02/05/2023,BAT Restructures its Operations,still open
Reynolds American Inc.,02/05/2023,"Reynolds turns to 'fresh, crisp' for marketing traditional cigarettes in ...",still open
Reynolds American Inc.,02/05/2023,One Company's Trick to Getting 95000 Hours Back? Canceling ...,still open
Reynolds American Inc.,02/05/2023,FDA orders menthol Vuse vape products off the market,still open
Reynolds American Inc.,02/05/2023,BAT recognised as a Global Top Employer for a sixth consecutive year,still open
Reynolds American Inc.,02/05/2023,FDA updates potential tobacco regulatory timelines,still open
Reynolds American Inc.,02/05/2023,Consumer Pressures Continue to Weigh on Cigarette Volumes,still open
Reynolds American Inc.,02/05/2023,Winston Cup artifacts at center of sports marketing lawsuit,still open
Reynolds American Inc.,02/05/2023,American Library Association announces 2023 Youth Media Award ...,still open
Reynolds American Inc.,02/05/2023,Reynolds American Inc. Progresses on ESG Journey by ...,still open
Reynolds American Inc.,02/05/2023,Reynolds' Tobaccoville Facility Earns Alliance for Water ...,still open
Reynolds American Inc.,02/05/2023,Tobacco Cos. Settle Nicotine Trade Secret Fight Before Trial,still open
Reynolds American Inc.,02/05/2023,Gong Cha Makes Key Hires to Fuel Expansion Across the Americas,still open
Reynolds American Inc.,02/05/2023,E-cigarettes Market to See Booming Growth 2023-2030 | Japan ...,still open
Reynolds American Inc.,02/05/2023,Global e-Cigarette and Vape Market Analysis Report 2023: A ...,still open
Reynolds American Inc.,02/05/2023,Gong Cha hires 4 execs to leadership team,still open
Reynolds American Inc.,02/05/2023,"Global Software Applications of Connected E-Cigarettes, Electrical ...",still open
Reynolds American Inc.,02/05/2023,Reynolds American cutting 350 full-time jobs by 2025,still open
Reynolds American Inc.,02/05/2023,Reynolds Executive Aaron Gwinner named Consumer Goods ...,still open
Reynolds American Inc.,02/05/2023,12 Countries that Export the Most Tobacco in the World,still open
Reynolds American Inc.,02/05/2023,"London pre-open: Stocks seen down on weak US, Asian cues",still open
Reynolds American Inc.,02/05/2023,Reynolds set to begin 2023 with sizable price hikes on cigarettes ...,still open
Reynolds American Inc.,02/05/2023,Reynolds American announced as a sponsor of TruAge™,still open
Reynolds American Inc.,02/05/2023,Reynolds gains legal victory in e-cigarette patent dispute,still open
Reynolds American Inc.,02/05/2023,US Supreme Court turns away Reynolds' appeal of California ...,still open
Reynolds American Inc.,02/05/2023,Penny Stocks & What To Watch in the Stock Market This Week 2/6-2/10,still open
Reynolds American Inc.,02/05/2023,FDA Authorizes 6 More Products From R.J. Reynolds Vapor,still open
Reynolds American Inc.,02/05/2023,Reynolds parent company is expanding investment in cannabis ...,still open
Reynolds American Inc.,02/05/2023,City snapshot: Grocery price inflation soars to new record high,still open
Reynolds American Inc.,02/05/2023,Reynolds American of Winston-Salem to cut 350 jobs in operations ...,still open
Reynolds American Inc.,02/05/2023,Reynolds has 10% workforce reduction during 2021; BAT chief ...,still open
Reynolds American Inc.,02/05/2023,Reynolds American Sponsors TruAge - Tobacco,still open
Reynolds American Inc.,02/05/2023,Hundreds of politicians are getting money from tobacco giant Reynolds American: document,still open
Reynolds American Inc.,02/05/2023,Reynolds American Inc. Scores 100% in Human Rights Campaign ...,still open
Reynolds American Inc.,02/05/2023,"Reynolds affiliates sue California, San Diego over voter-approved ...",still open
Reynolds American Inc.,02/05/2023,Reynolds Vapor faces $95.2 million jury award in patent ...,still open
Reynolds American Inc.,02/05/2023,Reynolds American plans to cut 350 jobs in consolidation effort,still open
Reynolds American Inc.,02/05/2023,A US farmer was accused of abusing his workers. Then Big Tobacco ...,still open
Reynolds American Inc.,02/05/2023,BAT's latest research study initiative focus on oral nicotine product ...,still open
Reynolds American Inc.,02/05/2023,"BAT, Reynolds accelerate pace of price hikes for traditional ...",still open
Reynolds American Inc.,02/05/2023,Hollywood stars Ryan Reynolds and Rob McElhenney revel in FA ...,still open
Reynolds American Inc.,02/05/2023,Judge: ITG is liable for Florida tobacco settlement payments,still open
Reynolds American Inc.,02/05/2023,Global E-Cigarettes Market Analysis Report 2022 Featuring Major ...,still open
Reynolds American Inc.,02/05/2023,Reynolds Vapor requests new trial in e-cigarette patent dispute; jury ...,still open
Reynolds American Inc.,02/05/2023,"Layoffs in Oxford: R.J. Reynolds to close Santa Fe Natural Tobacco Company plant, will lay off 114 workers",still open
Reynolds American Inc.,02/05/2023,Reynolds' latest traditional cigarette price hike set for Sunday launch,still open
Reynolds American Inc.,02/05/2023,Reynolds Completes 2020 PMTA Submissions with Vuse Alto E ...,still open
Reynolds American Inc.,02/05/2023,FDA says Reynolds withdraws modified-risk applications for 6 ...,still open
Reynolds American Inc.,02/05/2023,"Fla. Supreme Court hands Reynolds, Philip Morris Engle legal wins",still open
Reynolds American Inc.,02/05/2023,BAT Invests $57 Million in CBD Company Charlotte’s Web,still open
