Name,Data,News,Evaluation
SAIC,02/05/2023,SAIC Launches New Data Science Platform - HS Today,still open
SAIC,02/05/2023,Science Applications (SAIC) Unveils Data Science Platform Tenjin,still open
SAIC,02/05/2023,SAIC Launches Centralized Data Science Platform for AI/ML Model ...,still open
SAIC,02/05/2023,SAIC Recognized for C-UAS Innovation - HS Today,still open
SAIC,02/05/2023,Science Applications International Co. (NYSE:SAIC) Shares ...,still open
SAIC,02/05/2023,SAIC Awarded $2.3 Billion Contract to Support FAA Programs - HS ...,still open
SAIC,02/05/2023,Top 10 Science Applications International Corp. (SAIC) Government ...,still open
SAIC,02/05/2023,SAIC Wins $349M Contract to Support Navy Tactical Networks,still open
SAIC,02/05/2023,"Science Applications International Corp. (SAIC) Leaders, Founders ...",still open
SAIC,02/05/2023,New SAIC Cloud Survey Highlights Federal Government's ...,still open
SAIC,02/05/2023,Former SAIC Exec Aidan Fitzgerald Appointed Ball Aerospace ...,still open
SAIC,02/05/2023,SAIC Announces Appointment of Two New Board Members,still open
SAIC,02/05/2023,Key Scottish salmon producers join SAIC board,still open
SAIC,02/05/2023,Bingo! The SAIC-GM-Wuling Joint Venture Gets It,still open
SAIC,02/05/2023,SAIC Stock Receives A $114 Price Target (SAIC),still open
SAIC,02/05/2023,SAIC-GM-Wuling Getting Ready To Unleash Another Smash Hit ...,still open
SAIC,02/05/2023,Science Applications International's (NYSE:SAIC) Dividend Will Be $0.37,still open
SAIC,02/05/2023,Op-ed: SAIC CEO names trends shaping Scottish aquaculture in 2023,still open
SAIC,02/05/2023,Hesai Technology Announces New Lidar Design Win with SAIC's ...,still open
SAIC,02/05/2023,Winter EV range test pegs Tesla Model S a winner with Kia and ...,still open
SAIC,02/05/2023,17015 Shares in Science Applications International Co. (NYSE:SAIC ...,still open
SAIC,02/05/2023,Saudi: SAIC’s shareholders approve 20% capital increase,still open
SAIC,02/05/2023,Hydrogen Vehicle Sales Market Is Thriving Worldwide-Toyota ...,still open
SAIC,02/05/2023,Chinese automaker SAIC Motor reports robust sales in 2022,still open
SAIC,02/05/2023,"Top dog? Toyota pips VW Group, Hyundai-Kia, SAIC and Renault ...",still open
SAIC,02/05/2023,"India Auto Expo: EVs of Foreign Carmakers SAIC, BYD, Hyundai ...",still open
SAIC,02/05/2023,Breakingviews - Europe's autos have weak defences against China,still open
SAIC,02/05/2023,Linear Electric Actuators Market Research Report 2023 - Tefulong ...,still open
SAIC,02/05/2023,"India raises tax on imported cars, motorbikes, including EVs",still open
SAIC,02/05/2023,22% of New Car Sales in China Were 100% Electric in 2022!,still open
SAIC,02/05/2023,SAIC Awarded $757 Million U.S. Army Contract for Software ...,still open
SAIC,02/05/2023,SAIC and SecureXperts to Develop Alternative Work Environments ...,still open
SAIC,02/05/2023,Volkswagen Chairman: China is our most important market,still open
SAIC,02/05/2023,PEMFC and Fuel Cell Electric Vehicle Sales Market Booming ...,still open
SAIC,02/05/2023,SAIC Awarded $150 Million TSA Equipment Evaluation Contract ...,still open
SAIC,02/05/2023,Bigger is better in India’s nascent electric car market,still open
SAIC,02/05/2023,SAIC getting past headwinds from lost contracts,still open
SAIC,02/05/2023,SAIC Recognized for Commitment to Hiring Veterans - HS Today,still open
SAIC,02/05/2023,SAIC to Provide $1.5 Million to Alabama School of Cyber ...,still open
SAIC,02/05/2023,SAIC Wins Contract to Support U.S. Navy Networks - HS Today,still open
SAIC,02/05/2023,SAIC Selected for $150M U.S. Transportation Command Enterprise ...,still open
SAIC,02/05/2023,SAIC Lands $151M TRANSCOM IT Support Contract,still open
SAIC,02/05/2023,SAIC Unveils Corporate Responsibility Report,still open
SAIC,02/05/2023,SAIC Lands $349M Contract for Navy Tactical Network Engineering ...,still open
SAIC,02/05/2023,SAIC lands $319M Kessel Run program to improve Air Force C2 ...,still open
SAIC,02/05/2023,SAIC holding to optimism after flat quarter,still open
SAIC,02/05/2023,SAIC reports organic growth for sixth consecutive quarter,still open
SAIC,02/05/2023,SAIC Receives $170M NASA Contract to Provide Systems and ...,still open
SAIC,02/05/2023,SAIC Awarded $390 Million Task Order for U.S. Space Force GPS ...,still open
SAIC,02/05/2023,SAIC wins $757M Army IT management contract,still open
SAIC,02/05/2023,SAIC to build small satellites with startup Rogue Space,still open
SAIC,02/05/2023,Former SAIC Exec Sanjay Sardar Joins ASRC Federal to Head ...,still open
SAIC,02/05/2023,Pony.ai and SAIC AI Lab to develop fully driverless EV robotaxi,still open
SAIC,02/05/2023,Elon Musk says a Chinese automaker will likely be second to Tesla: 'They work the smartest',still open
SAIC,02/05/2023,CSRWire - What Does SAIC Do?,still open
SAIC,02/05/2023,SAIC Wins Exclusive Contract to Support One of IRS's Mainframes,still open
SAIC,02/05/2023,SAIC CIO Nathan Rogers on moving past the office-centric mentality,still open
SAIC,02/05/2023,Video Interview: SAIC CEO Nazzic Keene On Defense Landscape ...,still open
SAIC,02/05/2023,Auto expo 2023: MG Motor drives in Euniq 7 hydrogen cell MPV with 605 km range & a 3-minute refuelling tim,still open
SAIC,02/05/2023,"Agencies Want Best Value Solutions, and SAIC's Bruce Feldman is ...",still open
SAIC,02/05/2023,SAIC CEO Nazzic Keene Accepts 5th Wash100 Award From ...,still open
SAIC,02/05/2023,SAIC (SAIC) Tops Q3 Earnings and Revenue Estimates,still open
SAIC,02/05/2023,Top CIOs to Watch in 2022: SAIC's Nathan Rogers,still open
SAIC,02/05/2023,MG Motor India's vehicle sales down by 4% in Jan | Mint,still open
SAIC,02/05/2023,SAIC receives $319M Air Force contract,still open
SAIC,02/05/2023,SAIC Emphasizing Digital Engineering for JADC2,still open
SAIC,02/05/2023,SAIC considering sale of logistics business - report (NYSE:SAIC),still open
SAIC,02/05/2023,"Executive Spotlight: Bruce Feldman, SVP of Business Development ...",still open
SAIC,02/05/2023,SAIC Wins $200M Army Forces Command Contract,still open
SAIC,02/05/2023,SAIC Lands $63M Contract for Air Combat Command Support ...,still open
SAIC,02/05/2023,Luminar Achieves Start of Production with SAIC’s Rising Auto; Reports Q3 Financials,still open
SAIC,02/05/2023,SAIC Enters Loitering Munition Production Assistance Pact With ...,still open
SAIC,02/05/2023,SAIC Awarded $50M DISA IDIQ for Unisys Operating System ...,still open
SAIC,02/05/2023,Navy Awards $163M Network Contract to SAIC,still open
SAIC,02/05/2023,SAIC Funds Alabama A&M University Scholarship - HS Today,still open
SAIC,02/05/2023,SAIC says it's big enough for any competition,still open
SAIC,02/05/2023,Top HR Execs to Watch in 2022: SAIC's Heather Wilson,still open
SAIC,02/05/2023,Top Health Care Execs to Watch in 2022: SAIC's Vishal Tulsian,still open
SAIC,02/05/2023,New hires bring innovation and talent development focus to SAIC,still open
SAIC,02/05/2023,"Deloitte, SAIC clash over $900M defense network contract",still open
SAIC,02/05/2023,Huntsville Hosts Successful Demo of SAIC's Counter Unmanned ...,still open
SAIC,02/05/2023,"SAIC Appoints Hilary Hageman as EVP, General Counsel and ...",still open
SAIC,02/05/2023,ZF launches 4D Imaging Radar with SAIC in China,still open
SAIC,02/05/2023,Photos: 2022 SAIC Fashion Show,still open
SAIC,02/05/2023,SAIC Awarded $757M Software Project with United States Army,still open
SAIC,02/05/2023,"KLDiscovery Names Lawrence B. Prior III, Chair of the Board, Adds ...",still open
SAIC,02/05/2023,Kanye West’s Honorary Degree Rescinded From School of the Art Institute,still open
SAIC,02/05/2023,Former SAIC VP Sarah Sanchez Named Chief Growth Officer at ATG ...,still open
SAIC,02/05/2023,"As US shifts space strategy, SAIC seeks to expand role as space ...",still open
SAIC,02/05/2023,SAIC and Pony.ai to co-develop level 4 autonomous robotaxis,still open
SAIC,02/05/2023,Science Applications International Corporation (SAIC) Q3 2023 ...,still open
SAIC,02/05/2023,This sleek sensor helps self-driving cars look less like self-driving cars,still open
SAIC,02/05/2023,Heavy Machinery Market 2023 by Keyplayers and Vendors:Daimler ...,still open
SAIC,02/05/2023,Non-tenured faculty at the School of the Art Institute of Chicago hold ...,still open
SAIC,02/05/2023,China's SAIC Expects NEV Sales to Top One Million This Year,still open
SAIC,02/05/2023,Top Cyber Execs to Watch in 2022: SAIC's Kevin Brown,still open
