Name,Data,News,Evaluation
SCANA Corp,02/05/2023,$63M settlement ends 2 lawsuits by SCANA shareholders ...,still open
SCANA Corp,02/05/2023,Robbins Geller Rudman & Dowd LLP and Bragar Eagel & Squire ...,still open
SCANA Corp,02/05/2023,Former SCANA CEO Sentenced to Two Years for Defrauding ...,still open
SCANA Corp,02/05/2023,Editorial: Latest VC Summer problem shows importance of those ...,still open
SCANA Corp,02/05/2023,Dominion Energy Combines With SCANA Corporation,still open
SCANA Corp,02/05/2023,Judge signs off on 2-year sentence for ex-CEO behind failed nuclear ...,still open
SCANA Corp,02/05/2023,Judge OKs Distribution For $192M South Carolina Failed Nuclear Project Settlement,still open
SCANA Corp,02/05/2023,Former SCANA CEO Will Land in Prison as Result of V.C. Summer ...,still open
SCANA Corp,02/05/2023,SCANA Corp. Dividend Stock Analysis (NYSE:SCG),still open
SCANA Corp,02/05/2023,Dominion Energy and SCANA Corp. Merger: What Investors Need to ...,still open
SCANA Corp,02/05/2023,Former exec readies for 2 years in prison in nuclear debacle,still open
SCANA Corp,02/05/2023,"Ex-Westinghouse official, the last defendant in SC’s SCANA nuclear case, headed for May trial",still open
SCANA Corp,02/05/2023,Ex-utility exec pleads guilty to $1B fraud in South Carolina,still open
SCANA Corp,02/05/2023,SCANA investors seek to settle shareholder suits for $63M,still open
SCANA Corp,02/05/2023,"Dominion, SCANA agree to $14.6B all-stock merger",still open
SCANA Corp,02/05/2023,"Santee Cooper, SCANA abandon Summer nuclear plant construction",still open
SCANA Corp,02/05/2023,South Carolina Utility Agrees to $137.5 Million Settlement to Resolve Fraud Charges,still open
SCANA Corp,02/05/2023,3rd guilty plea in South Carolina nuclear project failure,still open
SCANA Corp,02/05/2023,Charles A. Munn,still open
SCANA Corp,02/05/2023,Northern Ocean Buys Deepwater Riser System from Scana's PSW Technology,still open
SCANA Corp,02/05/2023,Georgia regulators approve Dominion-SCANA merger,still open
SCANA Corp,02/05/2023,Dominion-SCANA merger in doubt as South Carolina mulls nixing ...,still open
SCANA Corp,02/05/2023,Ex-SCANA CEO pleads guilty to fraud in SC nuclear fiasco: 'I'm sorry ...,still open
SCANA Corp,02/05/2023,"SEC Charges South Carolina Companies, Executives in Failed Nuclear Project Case",still open
SCANA Corp,02/05/2023,Trial of ex-Westinghouse exec in VC Summer fraud case faces ...,still open
SCANA Corp,02/05/2023,History of Power: Dominion Energy's Fluid Transition,still open
SCANA Corp,02/05/2023,Battle brewing in Carolinas over utility monopolies - Charlotte ...,still open
SCANA Corp,02/05/2023,SCANA settles $2 billion lawsuit over VC Summer project’s failure,still open
SCANA Corp,02/05/2023,"Report: SCANA, Dominion offered $1500 refunds to escape ...",still open
SCANA Corp,02/05/2023,Westinghouse agrees to pay $20 million over failed nuclear project,still open
SCANA Corp,02/05/2023,"Dominion proposes to buy SCANA with larger rate cut, no up-front ...",still open
SCANA Corp,02/05/2023,Toshiba reaches $2.2 billion deal over SCANA's South Carolina ...,still open
SCANA Corp,02/05/2023,"Efforts to revive V.C. Summer project continue, but SCANA and ...",still open
SCANA Corp,02/05/2023,Fluor prevails in layoff notices lawsuit,still open
SCANA Corp,02/05/2023,On business: SCANA breaks with tradition by splitting chairman ...,still open
SCANA Corp,02/05/2023,"Dominion, SCANA inch closer to merger with North Carolina PSC ...",still open
