Name,Data,News,Evaluation
Sysco Corp.,02/05/2023,Sysco Corp. stock underperforms Thursday when compared to competitors,still open
Sysco Corp.,02/05/2023,"Sysco Corp. reports fiscal Q2 2023 earnings, decreases earnings ...",still open
Sysco Corp.,02/05/2023,Sysco Reports Second Quarter Results,still open
Sysco Corp.,02/05/2023,"Sysco Corp. Q2 Profit Decreases, misses estimates",still open
Sysco Corp.,02/05/2023,"Sysco Co. (NYSE:SYY) Receives Consensus Rating of ""Moderate ...",still open
Sysco Corp.,02/05/2023,Braun Stacey Associates Inc. Reduces Stock Holdings in Sysco Co ...,still open
Sysco Corp.,02/05/2023,"Sysco Corp. stock falls Thursday, underperforms market",still open
Sysco Corp.,02/05/2023,Sysco Corporation (SYY) Readies for Q2 Earnings: Things to Note,still open
Sysco Corp.,02/05/2023,"Sysco Corp. stock rises Friday, still underperforms market",still open
Sysco Corp.,02/05/2023,"General Motors, UPS rise; Caterpillar, Sysco fall",still open
Sysco Corp.,02/05/2023,Sysco Corporation 2023 Q2 - Results - Earnings Call Presentation ...,still open
Sysco Corp.,02/05/2023,"Sysco Corp. stock falls Thursday, still outperforms market",still open
Sysco Corp.,02/05/2023,"Sysco Corp. stock rises Friday, outperforms market",still open
Sysco Corp.,02/05/2023,Sysco Labs rounds up a year of community empowerment,still open
Sysco Corp.,02/05/2023,Sysco Corp. Misses Q2 EPS by 4c By Investing.com,still open
Sysco Corp.,02/05/2023,Sysco: A Tasty Addition To A Dividend Growth Portfolio (NYSE:SYY),still open
Sysco Corp.,02/05/2023,"Sysco, the world's largest food distributor, should stop using harmful ...",still open
Sysco Corp.,02/05/2023,Sysco: Fiscal Q2 Earnings Snapshot,still open
Sysco Corp.,02/05/2023,Cardinal Health hires Sysco CFO Aaron Alt - Houston Business ...,still open
Sysco Corp.,02/05/2023,Dozens of cars broken into outside Sysco warehouse,still open
Sysco Corp.,02/05/2023,Bearish Bets: 3 Stocks You Should Consider Shorting This Week,still open
Sysco Corp.,02/05/2023,SYY: 2 Food Maker Stocks to Buy Right Now and 2 to Avoid,still open
Sysco Corp.,02/05/2023,Sysco (NYSE:SYY) Rating Reiterated by Stephens,still open
Sysco Corp.,02/05/2023,Zimmermann Investment Management & Planning LLC Invests ...,still open
Sysco Corp.,02/05/2023,"The Zacks Analyst Blog Highlights Caterpillar, Equinor, GSK, Sysco ...",still open
Sysco Corp.,02/05/2023,"BMO Capital Cuts Price Target on Sysco to $90 From $96, Maintains Outperform Rating",still open
Sysco Corp.,02/05/2023,Pacific Global Investment Management Co. Acquires 1266 Shares of ...,still open
Sysco Corp.,02/05/2023,Rathbones Group Plc Reduces Stock Holdings in Sysco Co. (NYSE ...,still open
