Name,Data,News,Evaluation
United Health Group Inc.,02/05/2023,Zions Bancorporation N.A. Buys 330 Shares of UnitedHealth Group ...,still open
United Health Group Inc.,02/05/2023,Better Buy: UnitedHealth Group or Elevance Health?,still open
United Health Group Inc.,02/05/2023,Better Buy: UnitedHealth Group or Elevance Health?,still open
United Health Group Inc.,02/05/2023,"UnitedHealth stock can be blamed for most of the Dow's decline, while the rest of the stock market rallies",still open
United Health Group Inc.,02/05/2023,"UnitedHealth Group Inc. stock rises Friday, outperforms market",still open
United Health Group Inc.,02/05/2023,UnitedHealth Group Reports $4.7 Billion Profit As Optum And Health Plans Maintain Momentum,still open
United Health Group Inc.,02/05/2023,This Week in Chancery Court: UnitedHealth Unit's Insurer Deal,still open
United Health Group Inc.,02/05/2023,LHC Group-UnitedHealth Group Deal Hits Another Roadbump,still open
United Health Group Inc.,02/05/2023,UnitedHealth Group Announces Free Behavioral Health Coaching,still open
United Health Group Inc.,02/05/2023,Health-insurance stocks drop after Medicare Advantage proposes ...,still open
United Health Group Inc.,02/05/2023,"UnitedHealth Group Inc. stock falls Friday, underperforms market",still open
United Health Group Inc.,02/05/2023,"UnitedHealth Group Inc. stock falls Tuesday, underperforms market",still open
United Health Group Inc.,02/05/2023,"Midday movers: Meta Platforms, Align Technology, UnitedHealth Group and more",still open
United Health Group Inc.,02/05/2023,UnitedHealth Group and Allianz SE Remain Atop AM Best's Largest ...,still open
United Health Group Inc.,02/05/2023,UnitedHealth Group Enters Oversold Territory,still open
United Health Group Inc.,02/05/2023,"UnitedHealth Group Inc. stock rises Friday, still underperforms market",still open
United Health Group Inc.,02/05/2023,"Why United Health, Humana And CVS Health Shares Are Moving Lower In Monday's After-Hours Session - United",still open
United Health Group Inc.,02/05/2023,UnitedHealth’s EMIS Group acquisition faces U.K. competition probe,still open
United Health Group Inc.,02/05/2023,UnitedHealth Group Incorporated (NYSE:UNH) is TD Asset ...,still open
United Health Group Inc.,02/05/2023,Dow Analyst Moves: UNH,still open
United Health Group Inc.,02/05/2023,UnitedHealth : Press Release,still open
United Health Group Inc.,02/05/2023,LHC Group stock ticks higher amid report about confidence in ...,still open
United Health Group Inc.,02/05/2023,"Deutsche Bank Adjusts UnitedHealth Group Price Target to $617 From $615, Maintains Buy Rating",still open
United Health Group Inc.,02/05/2023,UnitedHealth Group Incorporated Forecasted to Post Q1 2024 ...,still open
United Health Group Inc.,02/05/2023,United Health Foundation Awards $3 Million Grant to Children's Minnesota To Address Health Disparities,still open
United Health Group Inc.,02/05/2023,Appeals Court Rules Against Plaintiffs in Wit v. United Behavioral ...,still open
United Health Group Inc.,02/05/2023,UnitedHealth Group Reports Fourth Quarter and Full Year 2022 Financial Results,still open
United Health Group Inc.,02/05/2023,Sector Update : Healthcare Stocks Stage Thursday Retreat,still open
United Health Group Inc.,02/05/2023,"CMS To Address Overpayments, Increase Oversight Of MA Plans In ...",still open
United Health Group Inc.,02/05/2023,"Bright Health Group, Inc. (NYSE:BHG) Receives Consensus Rating ...",still open
United Health Group Inc.,02/05/2023,"AbbVie's Humira gets a U.S. rival, but costs could stay high",still open
United Health Group Inc.,02/05/2023,"Target, 3M are top Minnesota companies on Fortune 'Most Admired' list",still open
United Health Group Inc.,02/05/2023,UNH: 2 Stocks to Help Your Portfolio Counter a Recession,still open
United Health Group Inc.,02/05/2023,"Stock Market News for Feb 3, 2023",still open
United Health Group Inc.,02/05/2023,Walmart and UnitedHealth Group Collaborate To Deliver Access to ...,still open
United Health Group Inc.,02/05/2023,Bright Health plans 2nd round of layoffs at Bloomington headquarters,still open
United Health Group Inc.,02/05/2023,What Can We Do to Forestall the Impending Train Wreck of U.S. ...,still open
United Health Group Inc.,02/05/2023,Resources Investment Advisors LLC. Decreases Stake in Privia ...,still open
United Health Group Inc.,02/05/2023,UnitedHealth Group Updates Business Outlook Ahead of Investor ...,still open
United Health Group Inc.,02/05/2023,UnitedHealth Group Reports Third Quarter 2022 Results,still open
United Health Group Inc.,02/05/2023,UNH: 2 Large-Cap Stocks to Buy Before the End of January,still open
United Health Group Inc.,02/05/2023,Andrew Witty,still open
United Health Group Inc.,02/05/2023,Our Board of Directors,still open
United Health Group Inc.,02/05/2023,UnitedHealth Group 2021 Sustainability Report Includes New ...,still open
United Health Group Inc.,02/05/2023,UnitedHealthcare Awards Community Grants in New Mexico to ...,still open
United Health Group Inc.,02/05/2023,UnitedHealth Group COO: Behavioral Health Among Key 'Building ...,still open
United Health Group Inc.,02/05/2023,Ethics & Compliance,still open
United Health Group Inc.,02/05/2023,Home Depot co-founder blames ‘woke diversity’ for businesses failing to ‘hit the bottom line’ — here are 3 stock picks you shouldn't snooze on if you agree,still open
United Health Group Inc.,02/05/2023,UnitedHealth Group Board Authorizes Payment of Quarterly Dividend,still open
United Health Group Inc.,02/05/2023,UnitedHealthcare and Peloton to Provide Millions of More People ...,still open
United Health Group Inc.,02/05/2023,United Health Foundation,still open
United Health Group Inc.,02/05/2023,UnitedHealthcare Donates $2.5 Million to Nonprofits in Texas,still open
United Health Group Inc.,02/05/2023,"Healthcare BPO Market Share, Regional Outlook, Sales Statistics ...",still open
United Health Group Inc.,02/05/2023,UNH: 3 Large-Cap Stocks Worth Buying in 2023,still open
United Health Group Inc.,02/05/2023,Jennifer Smoter,still open
United Health Group Inc.,02/05/2023,Optum and Change Healthcare Complete Combination,still open
United Health Group Inc.,02/05/2023,Judge denies U.S. bid to stop UnitedHealth plan to buy Change,still open
United Health Group Inc.,02/05/2023,EXCLUSIVE UnitedHealth struggling to sell Brazilian unit Amil ...,still open
United Health Group Inc.,02/05/2023,UnitedHealth buys third building this year near Minnetonka headquarters,still open
United Health Group Inc.,02/05/2023,Sandeep Dadlani,still open
United Health Group Inc.,02/05/2023,"Move Over, ChatGPT. AI-Powered ETF Outperforms This Year",still open
United Health Group Inc.,02/05/2023,These 20 stocks led the January rally -2-,still open
United Health Group Inc.,02/05/2023,Lawsuit between UnitedHealth Group and former employees over $1B business ends,still open
United Health Group Inc.,02/05/2023,12 Best Performing S&P 500 Stocks in the Last 5 Years,still open
United Health Group Inc.,02/05/2023,America's $31 Trillion Debt Is Getting Dangerous As Yearly Interest Crosses $500 Billion Mark,still open
United Health Group Inc.,02/05/2023,AmerisourceBergen Corp. stock outperforms competitors on strong trading day,still open
United Health Group Inc.,02/05/2023,UnitedHealth Group Reports Second Quarter Results,still open
United Health Group Inc.,02/05/2023,Kristen Gil Joins UnitedHealth Group Board of Directors,still open
United Health Group Inc.,02/05/2023,UnitedHealth Group's Deal For LHC Group Now Set To Close In ...,still open
United Health Group Inc.,02/05/2023,UnitedHealth Deal Questioned by DOJ on Risk of Data Misuse,still open
United Health Group Inc.,02/05/2023,UnitedHealth says deferred care demand not as high as feared ...,still open
United Health Group Inc.,02/05/2023,UnitedHealth Group's Acquisition Of LHC Group Could Reportedly ...,still open
United Health Group Inc.,02/05/2023,Change Healthcare and Optum Extend Merger Agreement,still open
United Health Group Inc.,02/05/2023,UnitedHealthcare to Help Millions of AARP Members Save on ...,still open
United Health Group Inc.,02/05/2023,What Will UnitedHealth's New Trove of Claims Data Mean for ...,still open
