Name,Data,News,Evaluation
Walt Disney Co.,02/05/2023,Disney Explores the Sale of More Films and TV Series to Rivals,still open
Walt Disney Co.,02/05/2023,Disney could license content to rivals as part of Iger's new direction (NYSE:DIS),still open
Walt Disney Co.,02/05/2023,Peltz's Trian seeks to rally Disney shareholders against board director Froman,still open
Walt Disney Co.,02/05/2023,"DeSantis says he will call special session on Disney's Reedy Creek, other issues",still open
Walt Disney Co.,02/05/2023,Disney Board Urges Shareholders to Ignore Activist Investor Nelson Peltz’s Proposals,still open
Walt Disney Co.,02/05/2023,Billionaire Disney insider becomes pivotal figure in Nelson Peltz's proxy fight,still open
Walt Disney Co.,02/05/2023,Disney California Adventure's New World Of Color Almost Didn't Include Walt Disney,still open
Walt Disney Co.,02/05/2023,"Disney Reportedly in Talks to Acquire ""Harry Potter"" from Warner Bros. Entertainment",still open
Walt Disney Co.,02/05/2023,Florida Legislature will hold a special session next week to consider a state takeover of Disney World's Reedy Creek ...,still open
Walt Disney Co.,02/05/2023,Walt Disney Co. stock underperforms Friday when compared to competitors,still open
Walt Disney Co.,02/05/2023,The Walt Disney Company (NYSE:DIS) Receives Consensus ...,still open
Walt Disney Co.,02/05/2023,Should You Add Walt Disney Co (DIS) Stock to Your Portfolio Friday?,still open
Walt Disney Co.,02/05/2023,Form DFAN14A Walt Disney Co Filed by: TRIAN FUND ...,still open
Walt Disney Co.,02/05/2023,Disney argues TV streamers' antitrust lawsuits over ESPN ...,still open
Walt Disney Co.,02/05/2023,Metis Global Partners LLC Boosts Stock Position in The Walt Disney ...,still open
Walt Disney Co.,02/05/2023,"Disney World workers overwhelmingly 'stand together, vote no' on ...",still open
Walt Disney Co.,02/05/2023,Disney braces for boardroom battle,still open
Walt Disney Co.,02/05/2023,Disney share price forecast and Q1 earnings preview,still open
Walt Disney Co.,02/05/2023,Disney Says Investor Seeking Board Seat ‘Does Not Understand’ Company,still open
Walt Disney Co.,02/05/2023,Disney Revises Pricing Policies at Its Parks,still open
Walt Disney Co.,02/05/2023,"Walt Disney Co. stock rises Wednesday, outperforms market",still open
Walt Disney Co.,02/05/2023,"Despite a Chaotic Year, Disney Ranks for a Prestigious Award",still open
Walt Disney Co.,02/05/2023,Video Disneyland Resort celebrates 100th anniversary of Walt ...,still open
Walt Disney Co.,02/05/2023,Disney Is Bringing Employees Back Four Days a Week,still open
Walt Disney Co.,02/05/2023,"Walt Disney Co. stock rises Thursday, outperforms market",still open
Walt Disney Co.,02/05/2023,"Walt Disney Co. stock rises Friday, still underperforms market",still open
Walt Disney Co.,02/05/2023,Analysts Offer Predictions for The Walt Disney Company's Q2 2023 ...,still open
Walt Disney Co.,02/05/2023,"Big Tech added to a shrinking forecast, but maybe Bob Iger can brighten the mood",still open
Walt Disney Co.,02/05/2023,The Walt Disney Company (NYSE:DIS) EVP Sells $1783110.60 in ...,still open
Walt Disney Co.,02/05/2023,These Disney characters are fan favorites among Disneyland employees,still open
Walt Disney Co.,02/05/2023,'Avatar 2' Toppled by 'Knock at the Cabin' After Seven Weeks,still open
Walt Disney Co.,02/05/2023,"With Walt Disney Co. turning 100 this year, dress for your Disneyland trip in style with these items",still open
Walt Disney Co.,02/05/2023,Report: The Walt Disney Company And Marvel Studios To Educate ...,still open
Walt Disney Co.,02/05/2023,Walt Disney Co. board elects Nike exec Mark Parker chairman,still open
Walt Disney Co.,02/05/2023,Disney's Bob Iger Praises James Cameron For Preserving His ...,still open
Walt Disney Co.,02/05/2023,"Disneyland, California Adventure celebrating Disney's 100th anniversary with several new attractions, shows",still open
Walt Disney Co.,02/05/2023,"American Airlines, Walt Disney rise; KB Home, Logitech fall",still open
Walt Disney Co.,02/05/2023,Cottage Road Cinema: Walt Disney Company names Leeds venue's ...,still open
Walt Disney Co.,02/05/2023,Nobody Wants to Buy Walt Disney's Former Estate. But Don't Blame ...,still open
Walt Disney Co.,02/05/2023,Bob Iger's First Quarterly Earnings Call Since His Reinstatement to ...,still open
Walt Disney Co.,02/05/2023,"Hollywood Analyst Claims ""Disney Reckoning—Sorry ...",still open
Walt Disney Co.,02/05/2023,Disney+ Debuts ‘Star Wars: The Mandalorian’ Season 3 Trailer,still open
Walt Disney Co.,02/05/2023,Glenmede Trust Co. NA Has $38.79 Million Position in The Walt ...,still open
Walt Disney Co.,02/05/2023,New 'World of Color — One' at Disney California Adventure,still open
Walt Disney Co.,02/05/2023,"New Disney100 Phone Cases, Magnets, Ornaments, and More at ...",still open
Walt Disney Co.,02/05/2023,"Scaffolds Installed in Flume at Splash Mountain, Disney Responds ...",still open
Walt Disney Co.,02/05/2023,Review: Chicken Jambalaya Dog B.B. Wolf's Sausage Co. Disney ...,still open
Walt Disney Co.,02/05/2023,"Subway Sandwich's Potential Sale, Walt Disney's CEO Faces New Challenge, Second Day of Flight Delays After System Outage: Today's Top Stories",still open
Walt Disney Co.,02/05/2023,This Company Is Wearing a Buyout Bull's Eye,still open
Walt Disney Co.,02/05/2023,The walls are closing in on corporate employees as CEOs at Disney and Starbucks demand that workers start returning to the office,still open
Walt Disney Co.,02/05/2023,Breaking News - ESPN and The Walt Disney Company Descend ...,still open
Walt Disney Co.,02/05/2023,Walt Disney's 'Avatar : The Way of Water' Becomes Fourth Highest-grossing Movie Globally,still open
Walt Disney Co.,02/05/2023,Dole celebrates 100 years of Walt Disney with top Disney-inspired recipes,still open
Walt Disney Co.,02/05/2023,IST Career Spotlight: Ryan Hartzfeld,still open
Walt Disney Co.,02/05/2023,Board Of Directors Appoints Robert A. Iger As Chief Executive ...,still open
Walt Disney Co.,02/05/2023,Penny Stocks & What To Watch in the Stock Market This Week 2/6-2/10,still open
Walt Disney Co.,02/05/2023,Republicans elevate 'parental rights' as top issue while looking to outflank each other heading into 2024,still open
Walt Disney Co.,02/05/2023,Appoints Veteran Media And Technology Executive Carolyn ...,still open
Walt Disney Co.,02/05/2023,Remembering Disney Legend Alice Davis,still open
Walt Disney Co.,02/05/2023,Announces $1 Million Multi-Year Grant for the Disney Storytellers ...,still open
Walt Disney Co.,02/05/2023,M&M'S characters now appearing for meet and greets at Walt ...,still open
Walt Disney Co.,02/05/2023,Reports Fourth Quarter and Full Year Earnings for Fiscal 2022 - The ...,still open
Walt Disney Co.,02/05/2023,Launches Disney Ultimate Toy Drive to Provide Toys and Hope to ...,still open
Walt Disney Co.,02/05/2023,Oswald the Lucky Rabbit Stars in a New Walt Disney Animation ...,still open
Walt Disney Co.,02/05/2023,Remembering Disney Legend Ron Logan,still open
Walt Disney Co.,02/05/2023,Remembering Disney Legend Barbara Walters,still open
Walt Disney Co.,02/05/2023,Ad-Supported Disney+ Subscription Tier To Launch In The U.S. On ...,still open
Walt Disney Co.,02/05/2023,Are Any 'Beverly Hillbillies' Cast Members Still Alive?,still open
Walt Disney Co.,02/05/2023,14 New Disney Legends to Be Honored During D23 Expo 2022,still open
Walt Disney Co.,02/05/2023,Reports Third Quarter and Nine Months Earnings for Fiscal 2022 ...,still open
Walt Disney Co.,02/05/2023,Disney Grants to Benefit Communities and Wildlife in 25 Countries,still open
Walt Disney Co.,02/05/2023,"Disney Live Action, Pixar, and Walt Disney Animation Studios ...",still open
Walt Disney Co.,02/05/2023,Remembering Disney Legend Angela Lansbury,still open
Walt Disney Co.,02/05/2023,Walt Disney Animation Studios Debuts 'Strange World' Trailer,still open
Walt Disney Co.,02/05/2023,"Disney Delivers 75,000 Toys to Children in Need Through the ...",still open
Walt Disney Co.,02/05/2023,"Disney plans to freeze hiring and cut some jobs, memo shows",still open
Walt Disney Co.,02/05/2023,How the Extraordinary Environments of 'Strange World' Break New ...,still open
Walt Disney Co.,02/05/2023,Reports Second Quarter and Six Months Earnings for Fiscal 2022 ...,still open
Walt Disney Co.,02/05/2023,"Marvel Actor Gets Volatile Again, Savagely Attacks Dwayne Johnson",still open
Walt Disney Co.,02/05/2023,Remembering Disney Legend Tom Murphy,still open
Walt Disney Co.,02/05/2023,Disney Launches New Business to Develop Residential Communities,still open
Walt Disney Co.,02/05/2023,"Disney Profit Jumps 50%, Buoyed by Theme Parks",still open
Walt Disney Co.,02/05/2023,Disney CEO lays out early plan for digital future,still open
Walt Disney Co.,02/05/2023,"Walt Disney Company Presents $1 Million Grant to Exceptional Minds, the Nonprofit Academy for Young Creators on the Spectrum",still open
Walt Disney Co.,02/05/2023,Professor: Walt Disney Co. Chose Values Over Politics; Other ...,still open
Walt Disney Co.,02/05/2023,How Disney Made It to Its 100th Year,still open
Walt Disney Co.,02/05/2023,Walt Disney Co. stock outperforms competitors on strong trading day,still open
Walt Disney Co.,02/05/2023,Joins Propel Education Center In Support Of The Next Generation Of ...,still open
Walt Disney Co.,02/05/2023,Walt Disney Co. stock outperforms competitors despite losses on the day,still open
Walt Disney Co.,02/05/2023,Walt Disney Co. Executive who reportedly spearheaded the move to ...,still open
Walt Disney Co.,02/05/2023,Unclear How Iger Can Turn Around The Walt Disney Co. In The ...,still open
Walt Disney Co.,02/05/2023,Disney Pays $900M for MLB’s Remaining Stake in Streaming Company BAMTech,still open
Walt Disney Co.,02/05/2023,Givenchy Offers New Capsule Collection Recognizing Walt Disney ...,still open
Walt Disney Co.,02/05/2023,Breaking Down The Many Businesses Of Disney (DIS): The Most Magical Stock On Earth,still open
Walt Disney Co.,02/05/2023,Disney CEO Iger makes profitable streaming a priority,still open
Walt Disney Co.,02/05/2023,Disney CEO Chapek Considering Merging Company's Hulu and ...,still open
Walt Disney Co.,02/05/2023,The Walt Disney Company: The Magic Of Bob Iger (NYSE:DIS),still open
Walt Disney Co.,02/05/2023,The Walt Disney Company issues a new statement about ...,still open
Walt Disney Co.,02/05/2023,The Walt Disney Company (NYSE:DIS) Receives Consensus ...,still open
Walt Disney Co.,02/05/2023,Walt Disney Co. stock underperforms Friday when compared to competitors,still open
Walt Disney Co.,02/05/2023,Should You Add Walt Disney Co (DIS) Stock to Your Portfolio Friday?,still open
Walt Disney Co.,02/05/2023,Metis Global Partners LLC Boosts Stock Position in The Walt Disney ...,still open
Walt Disney Co.,02/05/2023,Walt Disney (DIS) Set to Announce Earnings on Wednesday,still open
Walt Disney Co.,02/05/2023,What is the Market's View on Walt Disney Co (DIS) Stock's Price and Volume Trends Monday?,still open
Walt Disney Co.,02/05/2023,Walt Disney Co. stock underperforms Tuesday when compared to competitors despite daily gains,still open
Walt Disney Co.,02/05/2023,The Walt Disney Company (NYSE:DIS) EVP Sells $1783110.60 in ...,still open
Walt Disney Co.,02/05/2023,Analysts Offer Predictions for The Walt Disney Company's Q2 2023 ...,still open
Walt Disney Co.,02/05/2023,"Walt Disney Co. stock rises Friday, still underperforms market",still open
Walt Disney Co.,02/05/2023,Peltz's Trian seeks to rally Disney shareholders against board ...,still open
Walt Disney Co.,02/05/2023,Simon Quick Advisors LLC owns $687000 in The Walt Disney ...,still open
Walt Disney Co.,02/05/2023,Simon Quick Advisors LLC Has $687000 Stock Holdings in The Walt ...,still open
Walt Disney Co.,02/05/2023,"Carnival Corp. stock rises Thursday, outperforms market",still open
Walt Disney Co.,02/05/2023,Glenmede Trust Co. NA Has $38.79 Million Position in The Walt ...,still open
Walt Disney Co.,02/05/2023,How High Will Disney Stock Go in 2023?,still open
Walt Disney Co.,02/05/2023,"Comcast Corp. Cl A stock falls Friday, underperforms market",still open
Walt Disney Co.,02/05/2023,Disney and activist investor Nelson Peltz gear up for a proxy fight,still open
Walt Disney Co.,02/05/2023,JTC Employer Solutions Trustee Ltd Has $2.60 Million Stock ...,still open
Walt Disney Co.,02/05/2023,Disney Says Investor Seeking Board Seat ‘Does Not Understand’ Company,still open
Walt Disney Co.,02/05/2023,This Company Is Wearing a Buyout Bull's Eye,still open
Walt Disney Co.,02/05/2023,Disney could license content to rivals as part of Iger's new direction ...,still open
Walt Disney Co.,02/05/2023,Disney Revises Pricing Policies at Its Parks,still open
Walt Disney Co.,02/05/2023,DISH Network Corp. Cl A stock outperforms market on strong trading day,still open
Walt Disney Co.,02/05/2023,AT&T Inc. stock underperforms Friday when compared to competitors,still open
Walt Disney Co.,02/05/2023,Penny Stocks & What To Watch in the Stock Market This Week 2/6-2/10,still open
Walt Disney Co.,02/05/2023,Norwegian Cruise Line Holdings Ltd. stock underperforms Friday when compared to competitors,still open
Walt Disney Co.,02/05/2023,"Up 57% and Climbing, This Stock Is Still a Bargain Buy in 2023",still open
Walt Disney Co.,02/05/2023,"Barron's Top Weekend Stock Picks: Apple, Disney, Pfizer And Tesla's Price Cuts Are Leading To Growth - Ap",still open
Walt Disney Co.,02/05/2023,"Big Tech added to a shrinking forecast, but maybe Bob Iger can brighten the mood",still open
Walt Disney Co.,02/05/2023,Disney Is Bringing Employees Back Four Days a Week,still open
Walt Disney Co.,02/05/2023,8 Million Reasons to Like Netflix Stock,still open
Walt Disney Co.,02/05/2023,3 Stocks Rising Amid Red-Hot Call Activity,still open
Walt Disney Co.,02/05/2023,Carnival Corp. stock outperforms market on strong trading day,still open
Walt Disney Co.,02/05/2023,"Bob Chapek’s Disney Severance Deal Valued at More Than $20M, 2022 Pay Package Was $24.2M",still open
Walt Disney Co.,02/05/2023,"Why Disney, Boeing And CVS Are This Investor's Top Stocks For 2023 - Walt Disney (NYSE:DIS)",still open
Walt Disney Co.,02/05/2023,"Despite a Chaotic Year, Disney Ranks for a Prestigious Award",still open
Walt Disney Co.,02/05/2023,The walls are closing in on corporate employees as CEOs at Disney and Starbucks demand that workers start returning to the office,still open
Walt Disney Co.,02/05/2023,"Subway Sandwich's Potential Sale, Walt Disney's CEO Faces New Challenge, Second Day of Flight Delays After System Outage: Today's Top Stories",still open
Walt Disney Co.,02/05/2023,"STOCK MARKET NEWS: Apple, Amazon, Starbucks report earnings ...",still open
Walt Disney Co.,02/05/2023,"Why Disney Shares Are Moving After Netflix's Earnings Report - Netflix (NASDAQ:NFLX), Walt Disney (NYSE:D",still open
Walt Disney Co.,02/05/2023,Walt Disney's 'Avatar : The Way of Water' Becomes Fourth Highest-grossing Movie Globally,still open
Walt Disney Co.,02/05/2023,North American Morning Briefing : Stock Futures Drop Ahead of Fed Decision,still open
Walt Disney Co.,02/05/2023,"Montis Financial, LLC Buys 3,",still open
Walt Disney Co.,02/05/2023,Walt Disney Co. stock outperforms market despite losses on the day,still open
Walt Disney Co.,02/05/2023,"Walt Disney Co. stock falls Tuesday, underperforms market",still open
Walt Disney Co.,02/05/2023,"Walt Disney Co. stock rises Thursday, still underperforms market",still open
Walt Disney Co.,02/05/2023,Walt Disney Co. stock outperforms competitors on strong trading day,still open
Walt Disney Co.,02/05/2023,"Walt Disney Co. stock rises Friday, outperforms market",still open
Walt Disney Co.,02/05/2023,3 Best Large-Cap Stocks for 2023,still open
Walt Disney Co.,02/05/2023,Walt Disney Stock: No Fairy Tale (NYSE:DIS),still open
Walt Disney Co.,02/05/2023,"Walt Disney Co. stock rises Thursday, outperforms market",still open
Walt Disney Co.,02/05/2023,"Walt Disney Co. stock rises Monday, still underperforms market",still open
Walt Disney Co.,02/05/2023,Walt Disney Co. stock underperforms Monday when compared to competitors,still open
Walt Disney Co.,02/05/2023,Is Walt Disney Co (DIS) Stock a Smart Investment Thursday?,still open
Walt Disney Co.,02/05/2023,Is Now the Perfect Time to Buy Disney Stock?,still open
Walt Disney Co.,02/05/2023,Why Disney Stock Is Down 37% This Year,still open
Walt Disney Co.,02/05/2023,Meta stocks soar in ‘Year of Efficiency’,still open
Walt Disney Co.,02/05/2023,Unclear How Iger Can Turn Around The Walt Disney Co. In The ...,still open
Walt Disney Co.,02/05/2023,Disney Erases Almost All Its Pandemic Gains After Earnings Miss,still open
Walt Disney Co.,02/05/2023,Walt Disney Co. stock underperforms Wednesday when compared to competitors,still open
Walt Disney Co.,02/05/2023,Disney Drop Sends Media Stocks Toward Worst Decline in 30 Years,still open
Walt Disney Co.,02/05/2023,"Bob Iger returns as Disney CEO, replacing Bob Chapek after a brief, tumultuous tenure",still open
Walt Disney Co.,02/05/2023,Disney Stock Price Drops Below $100 For First Time Since March ...,still open
Walt Disney Co.,02/05/2023,"The Walt Disney Company Had Significant Changes In 2022, Here's ...",still open
Walt Disney Co.,02/05/2023,Why Disney Stock is a Top Buy Right Now,still open
Walt Disney Co.,02/05/2023,The Walt Disney Company: The Magic Of Bob Iger (NYSE:DIS),still open
Walt Disney Co.,02/05/2023,How Will the Market React to Walt Disney Co (DIS) Stock Getting a Bullish Rating,still open
Walt Disney Co.,02/05/2023,"Disney stock falls to eight-year low, all pandemic gains have been wiped away",still open
Walt Disney Co.,02/05/2023,Why Is Disney Stock Down 37% This Year?,still open
Walt Disney Co.,02/05/2023,Disney stock on its way to worst year since 1974 after 'Avatar' sequel disappoints,still open
Walt Disney Co.,02/05/2023,Cramer picks favorite down-and-out stock for 2023 and calls a ...,still open
Walt Disney Co.,02/05/2023,Here's what we expect to hear during the Walt Disney Co.'s earnings ...,still open
Walt Disney Co.,02/05/2023,"Disney plans to freeze hiring and cut some jobs, memo shows",still open
Walt Disney Co.,02/05/2023,Breaking Down The Many Businesses Of Disney (DIS): The Most Magical Stock On Earth,still open
Walt Disney Co.,02/05/2023,Is Disney Stock a Buy?,still open
Walt Disney Co.,02/05/2023,"Disney’s stock did not drop 70%, contrary to social media claims",still open
Walt Disney Co.,02/05/2023,"2022 was tough for media stocks like Netflix and Disney, and 2023 doesn't look good, either",still open
Walt Disney Co.,02/05/2023,"Disney Could Turn Around, But Investors Urge A Stronghold On DIS ...",still open
Walt Disney Co.,02/05/2023,"Tesla, Amazon, Walt Disney, Zoom, Agilent: Why These 5 Stocks Are Drawing Investors' Attention Today - Te",still open
Walt Disney Co.,02/05/2023,Remembering Disney Legend Barbara Walters,still open
Walt Disney Co.,02/05/2023,The Rise Of Artificial Intelligence In Movies: How The Tom Cruise Deepfake Company Is Helping - Microsoft,still open
Walt Disney Co.,02/05/2023,Is Now An Opportune Moment To Examine The Walt Disney Company (NYSE:DIS)?,still open
Walt Disney Co.,02/05/2023,Disney Bulls Stay Put Even After Netflix Streaming Slump,still open
Walt Disney Co.,02/05/2023,Disney stock surges toward best weekly performance in 20 months,still open
Walt Disney Co.,02/05/2023,Investing In Disney Stock Is A Dilemma (NYSE:DIS),still open
