Name,Data,News,Evaluation
Xerox Corp.,02/05/2023,Ex-Xerox Exec Claims He's Owed $15M After Icahn Takeover,still open
Xerox Corp.,02/05/2023,"Xerox Holdings Corp. stock rises Friday, outperforms market",still open
Xerox Corp.,02/05/2023,Xerox Acquires Advanced UK,still open
Xerox Corp.,02/05/2023,Xerox Corp. Q4 Earnings Summary,still open
Xerox Corp.,02/05/2023,Texas High Court Won't Review Xerox's $4.3M Tax Win,still open
Xerox Corp.,02/05/2023,Xerox Holdings Corporation (NASDAQ:XRX) Q4 2022 Earnings Call Transcript,still open
Xerox Corp.,02/05/2023,Retirement Systems of Alabama Has $1.92 Million Stock Position in ...,still open
Xerox Corp.,02/05/2023,Xerox Holdings Corporation Plans Webcast to Discuss 2022 Fourth ...,still open
Xerox Corp.,02/05/2023,Xerox Holdings Corp. stock outperforms market on strong trading day,still open
Xerox Corp.,02/05/2023,Xerox Holdings Corporation (XRX) Q4 Earnings and Revenues Beat Estimates,still open
Xerox Corp.,02/05/2023,Firm won $147.7M state contract after settling fraud suit,still open
Xerox Corp.,02/05/2023,"Rockefeller Capital Management L.P. acquires 20,886 Xerox ...",still open
Xerox Corp.,02/05/2023,This supply chain startup is using AI and IoT to predict food spoilage,still open
Xerox Corp.,02/05/2023,Xerox Holdings Corp. stock underperforms Thursday when compared to competitors,still open
Xerox Corp.,02/05/2023,Levin Capital Strategies L.P. Increases Holdings in Xerox Holdings ...,still open
Xerox Corp.,02/05/2023,"Despite Fast-paced Momentum, Xerox Holdings Corporation (XRX ...",still open
Xerox Corp.,02/05/2023,Global Healthcare Payer Services Strategic Business Report 2023 ...,still open
Xerox Corp.,02/05/2023,Is Xerox Holdings (NASDAQ:XRX) A Risky Investment?,still open
Xerox Corp.,02/05/2023,"Managed Print Services Market Granular View Of Industry From Various End-Use Segments | Xerox Corporation,",still open
Xerox Corp.,02/05/2023,Xerox Corp. Tops Q4 EPS by 37c By Investing.com,still open
Xerox Corp.,02/05/2023,Facebook Punctures Patent Xerox Unit Says It and Twitter Copied,still open
Xerox Corp.,02/05/2023,Xerox Financing Business Fittle Inks Metal 3-D Printing Pact With ...,still open
Xerox Corp.,02/05/2023,Icahn Stuck With Xerox Investors' Suit Over Nixed HP Merger,still open
Xerox Corp.,02/05/2023,Call Center Outsourcing Market Opportunities 2023-2030 | IBM ...,still open
Xerox Corp.,02/05/2023,3 High-Yield Dividend Tech Stocks for Income Investors,still open
Xerox Corp.,02/05/2023,Parking Management Market demand and future scope with Russia ...,still open
Xerox Corp.,02/05/2023,Emma Clarke Awarded Pake Fellowship,still open
Xerox Corp.,02/05/2023,"Xerox CEO incorporates AI, augmented reality to change future of servicing equipment",still open
Xerox Corp.,02/05/2023,Stock Traders Buy Large Volume of Put Options on Xerox (NYSE:XRX),still open
Xerox Corp.,02/05/2023,Xerox Emirates commits to a green future with its sustainability initiatives,still open
Xerox Corp.,02/05/2023,Hui Chang Obituary (1942 - 2023),still open
Xerox Corp.,02/05/2023,Xerox Appoints John Bruno as President and Chief Operating Officer,still open
Xerox Corp.,02/05/2023,"Printed Electronics Market to Eyewitness Massive Growth, Latest Advancement and Detail Analysis 2023-2030",still open
Xerox Corp.,02/05/2023,e-Discovery Market Is Booming Worldwide 2023-2027 and Industry ...,still open
Xerox Corp.,02/05/2023,Patent Filings Roundup: Latest Mohan Rao Vehicle Semiconductor ...,still open
Xerox Corp.,02/05/2023,Ralph Takeo Matsumoto | Obituaries | independentnews.com,still open
Xerox Corp.,02/05/2023,Apple Lisa: the 'OK' Computer,still open
Xerox Corp.,02/05/2023,"Daniel McAvoy Obituary (2023) - Aiken, SC - The Aiken Standard",still open
Xerox Corp.,02/05/2023,JS Color Lab takes photo printing to the next level with Ricoh Pro,still open
Xerox Corp.,02/05/2023,Sentra Raises $30 Million Series A Financing to Meet Growing ...,still open
Xerox Corp.,02/05/2023,"Xerox's PARC Spins Out Novity, a Breakthrough Predictive ...",still open
Xerox Corp.,02/05/2023,Xerox Announces the Unexpected Passing of Vice Chairman and ...,still open
Xerox Corp.,02/05/2023,"Enterprise Content Management (Ecm) Software Market Size, 2023 ...",still open
Xerox Corp.,02/05/2023,Xerox Corp. to shell out $4.1 million to settle ERISA lawsuit,still open
Xerox Corp.,02/05/2023,Xerox Announces Entry into Forward Funding Solution with PEAC ...,still open
Xerox Corp.,02/05/2023,Xerox Reports Progress on Environmental and Societal Roadmap,still open
Xerox Corp.,02/05/2023,John Yanusz Obituary (1942 - 2023),still open
Xerox Corp.,02/05/2023,Packaging Tape Printing Market worth US$36.2 billion by 2027 at a growth rate of 4.8% - IndustryARC,still open
Xerox Corp.,02/05/2023,Xerox Board of Directors Appoints Fred Beljaars as Executive Vice ...,still open
Xerox Corp.,02/05/2023,"Harvey Garrett Obituary (1955 - 2023) - Muskegon Heights, MI ...",still open
Xerox Corp.,02/05/2023,Xerox Board of Directors Appoints Steven Bandrowczak as Chief ...,still open
Xerox Corp.,02/05/2023,"Google, Facebook, and Microsoft want to be scrappy startups again",still open
Xerox Corp.,02/05/2023,Xerox Holdings Corporation Declares Dividend on Common and ...,still open
Xerox Corp.,02/05/2023,Al Sharpton to speak at funeral for Franklin Florence,still open
Xerox Corp.,02/05/2023,Xerox Announces Early Results of Tender Offer,still open
Xerox Corp.,02/05/2023,Xerox Announces Strategic Partnership with LinkSquares to Deliver ...,still open
Xerox Corp.,02/05/2023,Xerox Acquires Go Inspire to Grow Digital Services Presence in UK,still open
Xerox Corp.,02/05/2023,Xerox Releases First-Quarter Results,still open
Xerox Corp.,02/05/2023,P2P Carsharing Market – A Comprehensive Study by Key Players ...,still open
Xerox Corp.,02/05/2023,Learning Management Systems Market demand and future scope ...,still open
Xerox Corp.,02/05/2023,Xerox Appoints Philip Giordano to Board of Directors,still open
Xerox Corp.,02/05/2023,Intelligent Transportation System Market Worth $52.24 Billion by ...,still open
Xerox Corp.,02/05/2023,Xerox Promotes Joanne Collins Smee to Executive Vice President ...,still open
Xerox Corp.,02/05/2023,"Powerland, a Xerox Business Solutions Company, Named Canada ...",still open
Xerox Corp.,02/05/2023,"'It Was A War Zone': Man Stabbed 93 Times In Murder Orchestrated By Wife, Her Boyfriend And Teen Tattoo Artist",still open
Xerox Corp.,02/05/2023,Xerox Hosts 'Now & Next' Premier Partner Forum in London,still open
Xerox Corp.,02/05/2023,Xerox settles ERISA lawsuit over record-keeping fees,still open
Xerox Corp.,02/05/2023,"Process Automation Market Size, Share, Statistics, Demand and ...",still open
Xerox Corp.,02/05/2023,UCLA Anderson School of Management Honors Target Board ...,still open
Xerox Corp.,02/05/2023,Xerox Introduces FITTLE at Investor Day,still open
Xerox Corp.,02/05/2023,"Hepatitis Viruses Diagnostic Tests Market Size, Development Data ...",still open
