Ticker Symbol: ALE
Name: Allete Inc.
Market Cap: 3330251012.00
Country: United States
IPO Year: 
Volume: 188983
Sector: Utilities
Industry: Power Generation

First year of data: 1973.0
Chance;Buy_Day;Buy_Month;Sell_Day;Sell_Month
0.8125;19.0;2.0;27.0;6.0
0.8125;29.0;11.0;28.0;4.0
0.8125;29.0;11.0;28.0;4.0
0.8125;29.0;11.0;29.0;4.0
0.8125;26.0;11.0;28.0;4.0
0.8125;25.0;11.0;28.0;4.0
0.8125;11.0;1.0;17.0;6.0
0.8125;14.0;1.0;18.0;6.0
0.8125;23.0;1.0;1.0;7.0
0.8125;19.0;11.0;30.0;4.0
0.8125;2.0;12.0;13.0;5.0
0.8125;18.0;12.0;30.0;5.0
0.8125;2.0;12.0;14.0;5.0
0.8125;29.0;11.0;14.0;5.0
0.8333333333333334;2.0;12.0;15.0;5.0
0.8125;27.0;11.0;14.0;5.0
0.8333333333333334;29.0;11.0;15.0;5.0
0.8333333333333334;29.0;11.0;15.0;5.0
0.8125;26.0;11.0;14.0;5.0
0.8125;2.0;12.0;19.0;5.0
0.8125;18.0;12.0;5.0;6.0
0.8125;25.0;11.0;14.0;5.0
0.8125;29.0;11.0;19.0;5.0
0.8125;29.0;11.0;21.0;5.0
0.8125;26.0;11.0;20.0;5.0
0.8125;29.0;11.0;22.0;5.0
0.8125;21.0;11.0;16.0;5.0
0.8125;29.0;11.0;23.0;5.0
0.8125;22.0;11.0;20.0;5.0
0.8125;29.0;11.0;27.0;5.0
0.8333333333333334;29.0;11.0;27.0;5.0
0.8125;2.0;12.0;28.0;5.0
0.8125;3.0;12.0;29.0;5.0
0.8125;4.0;12.0;30.0;5.0
0.8125;5.0;12.0;2.0;6.0
0.8125;22.0;11.0;21.0;5.0
0.8125;27.0;11.0;27.0;5.0
0.8125;29.0;11.0;28.0;5.0
0.8333333333333334;29.0;11.0;28.0;5.0
0.8333333333333334;2.0;12.0;29.0;5.0
0.8125;3.0;12.0;30.0;5.0
0.8125;4.0;12.0;2.0;6.0
0.8125;21.0;11.0;21.0;5.0
0.8125;25.0;11.0;23.0;5.0
0.8125;26.0;11.0;27.0;5.0
0.8333333333333334;27.0;11.0;28.0;5.0
0.8125;29.0;11.0;29.0;5.0
0.8333333333333334;29.0;11.0;29.0;5.0
0.8125;2.0;12.0;30.0;5.0
0.8333333333333334;2.0;12.0;30.0;5.0
0.8125;18.0;11.0;19.0;5.0
0.8333333333333334;25.0;11.0;27.0;5.0
0.8125;26.0;11.0;28.0;5.0
0.8125;27.0;11.0;29.0;5.0
0.8125;29.0;11.0;30.0;5.0
0.8125;2.0;12.0;2.0;6.0
0.8125;3.0;12.0;3.0;6.0
0.8125;4.0;12.0;4.0;6.0
0.8125;21.0;11.0;23.0;5.0
0.8125;25.0;11.0;28.0;5.0
0.8333333333333334;25.0;11.0;28.0;5.0
0.8333333333333334;26.0;11.0;29.0;5.0
0.8333333333333334;27.0;11.0;30.0;5.0
0.8125;29.0;11.0;2.0;6.0
0.8125;29.0;11.0;2.0;6.0
0.8125;2.0;12.0;3.0;6.0
0.8125;2.0;12.0;3.0;6.0
0.8125;15.0;11.0;20.0;5.0
0.8125;18.0;11.0;21.0;5.0
0.8125;18.0;11.0;21.0;5.0
0.8125;19.0;11.0;22.0;5.0
0.8333333333333334;21.0;11.0;27.0;5.0
0.8333333333333334;22.0;11.0;28.0;5.0
0.8333333333333334;25.0;11.0;29.0;5.0
0.8541666666666666;25.0;11.0;29.0;5.0
0.8541666666666666;25.0;11.0;29.0;5.0
0.8333333333333334;26.0;11.0;30.0;5.0
0.8125;27.0;11.0;2.0;6.0
0.8125;29.0;11.0;3.0;6.0
0.8125;2.0;12.0;4.0;6.0
0.8125;2.0;12.0;4.0;6.0
0.8125;11.0;11.0;15.0;5.0
0.8125;15.0;11.0;21.0;5.0
0.8125;18.0;11.0;22.0;5.0
0.8125;19.0;11.0;23.0;5.0
0.8333333333333334;21.0;11.0;28.0;5.0
0.8333333333333334;22.0;11.0;29.0;5.0
0.8125;25.0;11.0;30.0;5.0
0.8125;25.0;11.0;30.0;5.0
