Ticker Symbol: BPT
Name: BP Prudhoe Bay Royalty Trust Common Stock
Market Cap: 243790940.00
Country: United States
IPO Year: 
Volume: 104629
Sector: Energy
Industry: Integrated oil Companies

First year of data: 1989.0
Chance;Buy_Day;Buy_Month;Sell_Day;Sell_Month
0.90625;24.0;12.0;2.0;1.0
0.90625;26.0;12.0;3.0;1.0
0.90625;26.0;12.0;3.0;1.0
0.9375;27.0;12.0;4.0;1.0
0.875;28.0;12.0;7.0;1.0
0.875;31.0;12.0;8.0;1.0
0.84375;31.0;12.0;8.0;1.0
0.8125;22.0;3.0;30.0;3.0
0.8125;23.0;3.0;2.0;4.0
0.9375;24.0;12.0;3.0;1.0
0.90625;26.0;12.0;4.0;1.0
0.90625;26.0;12.0;4.0;1.0
0.875;27.0;12.0;7.0;1.0
0.8125;28.0;12.0;8.0;1.0
0.8125;31.0;12.0;9.0;1.0
0.8125;31.0;12.0;9.0;1.0
0.8125;5.0;3.0;14.0;3.0
0.8125;22.0;3.0;2.0;4.0
0.90625;24.0;12.0;4.0;1.0
0.875;24.0;12.0;4.0;1.0
0.9375;24.0;12.0;4.0;1.0
0.9375;26.0;12.0;7.0;1.0
0.9375;26.0;12.0;7.0;1.0
0.90625;27.0;12.0;8.0;1.0
0.875;28.0;12.0;9.0;1.0
0.8125;31.0;12.0;10.0;1.0
0.8125;20.0;3.0;30.0;3.0
0.8125;22.0;3.0;3.0;4.0
0.84375;21.0;12.0;4.0;1.0
0.90625;24.0;12.0;7.0;1.0
0.875;24.0;12.0;7.0;1.0
0.90625;24.0;12.0;7.0;1.0
0.90625;26.0;12.0;8.0;1.0
0.90625;26.0;12.0;8.0;1.0
0.90625;27.0;12.0;9.0;1.0
0.875;28.0;12.0;10.0;1.0
0.8125;19.0;3.0;30.0;3.0
0.875;19.0;3.0;30.0;3.0
0.84375;20.0;3.0;2.0;4.0
0.8125;23.0;3.0;5.0;4.0
0.84375;19.0;12.0;3.0;1.0
0.875;20.0;12.0;4.0;1.0
0.875;21.0;12.0;7.0;1.0
0.84375;24.0;12.0;8.0;1.0
0.9375;24.0;12.0;8.0;1.0
0.90625;24.0;12.0;8.0;1.0
0.8125;26.0;12.0;9.0;1.0
0.8125;26.0;12.0;9.0;1.0
0.8125;27.0;12.0;10.0;1.0
0.84375;28.0;12.0;11.0;1.0
0.8125;31.0;12.0;14.0;1.0
0.8125;19.0;3.0;2.0;4.0
0.84375;19.0;3.0;2.0;4.0
0.8125;20.0;3.0;3.0;4.0
0.8125;17.0;12.0;2.0;1.0
0.875;18.0;12.0;3.0;1.0
0.90625;19.0;12.0;4.0;1.0
0.90625;20.0;12.0;7.0;1.0
0.875;21.0;12.0;8.0;1.0
0.875;24.0;12.0;9.0;1.0
0.84375;24.0;12.0;9.0;1.0
0.84375;24.0;12.0;9.0;1.0
0.8125;26.0;12.0;10.0;1.0
0.8125;26.0;12.0;10.0;1.0
0.8125;27.0;12.0;11.0;1.0
0.8125;28.0;12.0;14.0;1.0
0.8125;31.0;12.0;15.0;1.0
0.84375;31.0;12.0;15.0;1.0
0.8125;19.0;3.0;3.0;4.0
0.8125;19.0;3.0;3.0;4.0
0.84375;19.0;3.0;3.0;4.0
0.8125;23.0;3.0;9.0;4.0
0.8125;17.0;12.0;3.0;1.0
0.84375;17.0;12.0;3.0;1.0
0.84375;18.0;12.0;4.0;1.0
0.875;19.0;12.0;7.0;1.0
0.90625;20.0;12.0;8.0;1.0
0.90625;21.0;12.0;9.0;1.0
0.875;24.0;12.0;10.0;1.0
0.8125;24.0;12.0;10.0;1.0
0.8125;24.0;12.0;10.0;1.0
0.84375;26.0;12.0;11.0;1.0
0.84375;26.0;12.0;11.0;1.0
0.84375;27.0;12.0;14.0;1.0
0.8125;28.0;12.0;15.0;1.0
0.8125;19.0;3.0;4.0;4.0
0.84375;20.0;3.0;5.0;4.0
0.8125;22.0;3.0;9.0;4.0
0.8125;21.0;6.0;10.0;7.0
0.8125;22.0;6.0;11.0;7.0
0.84375;17.0;12.0;4.0;1.0
0.8125;17.0;12.0;4.0;1.0
0.9375;18.0;12.0;7.0;1.0
0.9375;19.0;12.0;8.0;1.0
0.90625;20.0;12.0;9.0;1.0
0.84375;21.0;12.0;10.0;1.0
0.8125;24.0;12.0;11.0;1.0
0.8125;24.0;12.0;11.0;1.0
0.84375;24.0;12.0;11.0;1.0
0.84375;26.0;12.0;14.0;1.0
0.84375;26.0;12.0;14.0;1.0
0.8125;27.0;12.0;15.0;1.0
