Ticker Symbol: KMDA
Name: Kamada Ltd. Ordinary Shares
Market Cap: 194877712.00
Country: Israel
IPO Year: 2013
Volume: 31490
Sector: Health Care
Industry: Biotechnology: Pharmaceutical Preparations

First year of data: 2013.0
Chance;Buy_Day;Buy_Month;Sell_Day;Sell_Month
0.875;2.0;1.0;9.0;1.0
0.875;2.0;1.0;9.0;1.0
0.875;29.0;1.0;5.0;2.0
0.875;31.0;3.0;7.0;4.0
0.875;31.0;3.0;7.0;4.0
0.875;27.0;5.0;3.0;6.0
0.875;29.0;5.0;5.0;6.0
0.875;30.0;5.0;6.0;6.0
0.875;2.0;6.0;9.0;6.0
0.875;20.0;8.0;27.0;8.0
0.875;21.0;8.0;28.0;8.0
0.875;25.0;8.0;2.0;9.0
0.875;26.0;8.0;3.0;9.0
0.875;21.0;11.0;1.0;12.0
0.875;24.0;11.0;2.0;12.0
0.875;22.0;12.0;30.0;12.0
0.875;2.0;1.0;10.0;1.0
0.875;2.0;1.0;10.0;1.0
0.875;31.0;3.0;8.0;4.0
0.875;31.0;3.0;8.0;4.0
0.875;27.0;5.0;4.0;6.0
1.0;27.0;5.0;4.0;6.0
0.875;28.0;5.0;5.0;6.0
0.875;29.0;5.0;6.0;6.0
0.875;30.0;5.0;9.0;6.0
0.875;2.0;6.0;10.0;6.0
0.875;22.0;8.0;2.0;9.0
0.875;25.0;8.0;3.0;9.0
0.875;20.0;11.0;1.0;12.0
1.0;24.0;11.0;3.0;12.0
0.875;15.0;12.0;23.0;12.0
0.875;22.0;12.0;31.0;12.0
0.875;31.0;3.0;9.0;4.0
0.875;14.0;4.0;24.0;4.0
1.0;27.0;5.0;5.0;6.0
0.875;28.0;5.0;6.0;6.0
0.875;30.0;5.0;10.0;6.0
0.875;2.0;6.0;11.0;6.0
0.875;20.0;8.0;29.0;8.0
0.875;22.0;8.0;3.0;9.0
0.875;20.0;11.0;2.0;12.0
1.0;15.0;12.0;24.0;12.0
1.0;15.0;12.0;24.0;12.0
0.875;22.0;12.0;2.0;1.0
1.0;22.0;12.0;2.0;1.0
0.875;31.0;12.0;12.0;1.0
0.875;28.0;5.0;9.0;6.0
0.875;15.0;12.0;26.0;12.0
0.875;16.0;12.0;29.0;12.0
0.875;19.0;12.0;2.0;1.0
0.875;22.0;12.0;5.0;1.0
0.875;31.0;12.0;13.0;1.0
0.875;24.0;1.0;6.0;2.0
0.875;27.0;1.0;7.0;2.0
0.875;10.0;4.0;24.0;4.0
0.875;11.0;4.0;25.0;4.0
0.875;14.0;4.0;28.0;4.0
0.875;28.0;5.0;10.0;6.0
0.875;18.0;12.0;2.0;1.0
0.875;19.0;12.0;5.0;1.0
0.875;22.0;12.0;6.0;1.0
0.875;31.0;3.0;14.0;4.0
0.875;10.0;4.0;25.0;4.0
0.875;11.0;4.0;28.0;4.0
