Ticker Symbol: FWONA
Name: Liberty Media Corporation Series A Liberty Formula One Common Stock
Market Cap: 14941230656.00
Country: United States
IPO Year: 
Volume: 52077
Sector: Consumer Discretionary
Industry: Movies/Entertainment

First year of data: 2013.0
Chance;Buy_Day;Buy_Month;Sell_Day;Sell_Month
0.875;14.0;1.0;22.0;1.0
0.875;15.0;1.0;23.0;1.0
0.875;13.0;2.0;21.0;2.0
0.875;14.0;2.0;24.0;2.0
0.875;15.0;5.0;22.0;5.0
1.0;19.0;5.0;27.0;5.0
0.875;23.0;5.0;2.0;6.0
0.875;27.0;5.0;3.0;6.0
0.875;27.0;5.0;3.0;6.0
0.875;30.0;5.0;6.0;6.0
0.875;2.0;6.0;9.0;6.0
0.875;2.0;6.0;9.0;6.0
0.875;25.0;6.0;2.0;7.0
0.875;25.0;8.0;2.0;9.0
0.875;26.0;8.0;3.0;9.0
0.875;27.0;8.0;4.0;9.0
0.875;13.0;10.0;20.0;10.0
0.875;15.0;10.0;22.0;10.0
0.875;10.0;11.0;17.0;11.0
0.875;11.0;11.0;18.0;11.0
0.875;22.0;12.0;30.0;12.0
0.875;22.0;12.0;30.0;12.0
1.0;22.0;12.0;30.0;12.0
0.875;23.0;12.0;31.0;12.0
0.875;17.0;4.0;28.0;4.0
0.875;14.0;5.0;22.0;5.0
0.875;15.0;5.0;23.0;5.0
0.875;19.0;5.0;28.0;5.0
0.875;27.0;5.0;4.0;6.0
0.875;28.0;5.0;5.0;6.0
1.0;29.0;5.0;6.0;6.0
1.0;30.0;5.0;9.0;6.0
1.0;2.0;6.0;10.0;6.0
0.875;2.0;6.0;10.0;6.0
0.875;25.0;6.0;3.0;7.0
0.875;26.0;6.0;7.0;7.0
0.875;6.0;8.0;14.0;8.0
0.875;25.0;8.0;3.0;9.0
0.875;26.0;8.0;4.0;9.0
0.875;14.0;10.0;22.0;10.0
0.875;15.0;10.0;23.0;10.0
0.875;10.0;11.0;18.0;11.0
0.875;10.0;11.0;18.0;11.0
0.875;22.0;12.0;31.0;12.0
0.875;22.0;12.0;31.0;12.0
0.875;22.0;12.0;31.0;12.0
0.875;17.0;4.0;29.0;4.0
0.875;14.0;5.0;23.0;5.0
0.875;15.0;5.0;27.0;5.0
0.875;19.0;5.0;29.0;5.0
0.875;27.0;5.0;5.0;6.0
0.875;28.0;5.0;6.0;6.0
1.0;29.0;5.0;9.0;6.0
1.0;30.0;5.0;10.0;6.0
0.875;2.0;6.0;11.0;6.0
0.875;4.0;8.0;13.0;8.0
0.875;4.0;8.0;13.0;8.0
0.875;6.0;8.0;15.0;8.0
0.875;11.0;8.0;20.0;8.0
0.875;21.0;8.0;2.0;9.0
